Title,Year,Source,Authors,Class,topic
Scalable Evaluation of Multi-Agent Reinforcement Learning with Melting Pot,2021,ICML,In Reinforcement Learning (Multi-agent),Joel Z Leibo · Edgar Duenez-Guzman · Alexander Vezhnevets · John Agapiou · Peter Sunehag · Raphael Koster · Jayd Matyas · Charles Beattie · Igor Mordatch · Thore Graepel,reinforcement learning/multi-agent
Deeply-Debiased Off-Policy Interval Estimation,2021,ICML,In Deep Reinforcement Learning 2,Chengchun Shi · Runzhe Wan · Victor Chernozhukov · Rui Song,reinforcement learning
Attention is not all you need: pure attention loses rank doubly exponentially with depth,2021,ICML,In Deep Learning Applications,Yihe Dong · Jean-Baptiste Cordonnier · Andreas Loukas,transformer
BORE: Bayesian Optimization by Density-Ratio Estimation,2021,ICML,In Auto-ML and Optimization,Louis Chi-Chun Tiao · Aaron Klein · Matthias W Seeger · Edwin V Bonilla · Cedric Archambeau · Fabio Ramos,optimization/bayesian
Offline Contextual Bandits with Overparameterized Models,2021,ICML,In Deep Reinforcement Learning 2,David Brandfonbrener · William Whitney · Rajesh Ranganath · Joan Bruna,
Consistent Nonparametric Methods for Network Assisted Covariate Estimation,2021,ICML,In Graph Learning,Xueyu Mao · Deepayan Chakrabarti · Purnamrita Sarkar,metric
Navigation Turing Test (NTT): Learning to Evaluate Human-Like Navigation,2021,ICML,In Deep Learning Applications,Sam Devlin · Raluca Georgescu · Ida Momennejad · Jaroslaw Rzepecki · Evelyn Zuniga · Gavin Costello · Guy Leroy · Ali Shaw · Katja Hofmann,
Outlier-Robust Optimal Transport,2021,ICML,In Optimal Transport,Debarghya Mukherjee · Aritra Guha · Justin Solomon · Yuekai Sun · Mikhail Yurochkin,
In Deep Learning Architectures,2021,ICML,Yuhang Li · Shikuang Deng · Xin Dong · Ruihao Gong · Shi Gu,Spotlight,
Stochastic Sign Descent Methods: New Algorithms and Better Theory,2021,ICML,In Optimization (Distributed),Mher Safaryan · Peter Richtarik,
AutoSampling: Search for Effective Data Sampling Schedules,2021,ICML,In Auto-ML and Optimization,MING SUN · Haoxuan Dou · Baopu Li · Junjie Yan · Wanli Ouyang · Lei Cui,
Reinforcement Learning with Prototypical Representations,2021,ICML,In Deep Reinforcement Learning 1,Denis Yarats · Rob Fergus · Alessandro Lazaric · Lerrel Pinto,reinforcement learning/representation
UneVEn: Universal Value Exploration for Multi-Agent Reinforcement Learning,2021,ICML,In Reinforcement Learning (Multi-agent),Tarun Gupta · Anuj Mahajan · Bei Peng · Wendelin Boehmer · Shimon Whiteson,reinforcement learning/multi-agent
Bias-Variance Reduced Local SGD for Less Heterogeneous Federated Learning,2021,ICML,In Optimization (Distributed),Tomoya Murata · Taiji Suzuki,federated learning
A Policy Gradient Algorithm for Learning to Learn in Multiagent Reinforcement Learning,2021,ICML,In Reinforcement Learning (Multi-agent),Dong Ki Kim · Miao Liu · Matthew Riemer · Chuangchuang Sun · Marwa Abdulhai · Golnaz Habibi · Sebastian Lopez-Cot · Gerald Tesauro · Jonathan How,reinforcement learning
A Unified Lottery Ticket Hypothesis for Graph Neural Networks,2021,ICML,In Deep Learning Architectures,Tianlong Chen · Yongduo Sui · Xuxi Chen · Aston Zhang · Zhangyang Wang,graph
Efficient Generative Modelling of Protein Structure Fragments using a Deep Markov Model,2021,ICML,In Deep Learning Applications,Christian Thygesen · Christian Skjødt Steenmans · Ahmad Salim Al-Sibahi · Lys Sanz Moreta · Anders Bundgård Sørensen · Thomas Hamelryck,generative model
Explainable Automated Graph Representation Learning with Hyperparameter Importance,2021,ICML,In Graph Learning,Xin Wang · Shuyi Fan · Kun Kuang · wenwu zhu,graph/representation
Dataset Dynamics via Gradient Flows in Probability Space,2021,ICML,In Optimal Transport,David Alvarez-Melis · Nicolo Fusi,zero_few-shot/flow
Demonstration-Conditioned Reinforcement Learning for Few-Shot Imitation,2021,ICML,In Deep Reinforcement Learning 2,Christopher Dance · Perez Julien · Théo Cachet,reinforcement learning
HardCoRe-NAS: Hard Constrained diffeRentiable Neural Architecture Search,2021,ICML,In Auto-ML and Optimization,Niv Nayman · Yonathan Aflalo · Asaf Noy · Lihi Zelnik,optimization
Diversity Actor-Critic: Sample-Aware Entropy Regularization for Sample-Efficient Exploration,2021,ICML,In Deep Reinforcement Learning 1,Seungyul Han · Youngchul Sung,
Multi-Agent Training beyond Zero-Sum with Correlated Equilibrium Meta-Solvers,2021,ICML,In Reinforcement Learning (Multi-agent),Luke Marris · Paul Muller · Marc Lanctot · Karl Tuyls · Thore Graepel,reinforcement learning/meta-learning/multi-agent
Generative Adversarial Transformers,2021,ICML,In Deep Learning Architectures,Drew A. Hudson · Larry Zitnick,transformer/generative model
Sliced Iterative Normalizing Flows,2021,ICML,In Optimal Transport,Biwei Dai · Uros Seljak,zero_few-shot/flow
A New Representation of Successor Features for Transfer across Dissimilar Environments,2021,ICML,In Deep Reinforcement Learning 2,Majid Abdolshah · Hung Le · Thommen Karimpanal George · Sunil Gupta · Santu Rana · Svetha Venkatesh,representation/transfer learning
Bias-Robust Bayesian Optimization via Dueling Bandits,2021,ICML,In Auto-ML and Optimization,Johannes Kirschner · Andreas Krause,optimization/bayesian
Exploiting structured data for learning contagious diseases under incomplete testing,2021,ICML,In Deep Learning Applications,Maggie Makar · Lauren R West · David C Hooper · Eric Horvitz · Erica Shenoy · John Guttag,
Breaking the Limits of Message Passing Graph Neural Networks,2021,ICML,In Graph Learning,Muhammet Balcilar · Pierre Heroux · Benoit Gauzere · Pascal Vasseur · Sebastien Adam · Paul Honeine,graph
A Hybrid Variance-Reduced Method for Decentralized Stochastic Non-Convex Optimization,2021,ICML,In Optimization (Distributed),Ran Xin · Usman Khan · Soummya Kar,optimization
Muesli: Combining Improvements in Policy Optimization,2021,ICML,In Deep Reinforcement Learning 1,Matteo Hessel · Ivo Danihelka · Fabio Viola · Arthur Guez · Simon Schmitt · Laurent Sifre · Theophane Weber · David Silver · Hado van Hasselt,optimization
Strategic Classification Made Practical,2021,ICML,In Deep Learning Applications,Sagi Levanon · Nir Rosenfeld,
Zeroth-Order Non-Convex Learning via Hierarchical Dual Averaging,2021,ICML,In Auto-ML and Optimization,Amélie Héliou · Matthieu Martin · Panayotis Mertikopoulos · Thibaud J Rahier,
Low-Rank Sinkhorn Factorization,2021,ICML,In Optimal Transport,Meyer Scetbon · Marco Cuturi · Gabriel Peyré,zero_few-shot/low-rank
Asynchronous Decentralized Optimization With Implicit Stochastic Variance Reduction,2021,ICML,In Optimization (Distributed),Kenta Niwa · Guoqiang Zhang · W. Bastiaan Kleijn · Noboru Harada · Hiroshi Sawada · Akinori Fujino,optimization
From Local Structures to Size Generalization in Graph Neural Networks,2021,ICML,In Graph Learning,Gilad Yehudai · Ethan Fetaya · eli meirom · Gal Chechik · Haggai Maron,graph
PC-MLP: Model-based Reinforcement Learning with Policy Cover Guided Exploration,2021,ICML,In Reinforcement Learning (Multi-agent),Yuda Song · Wen Sun,reinforcement learning
Preferential Temporal Difference Learning,2021,ICML,In Deep Reinforcement Learning 2,Nishanth Anand · Doina Precup,
Evolving Attention with Residual Convolutions,2021,ICML,In Deep Learning Architectures,Yujing Wang · Yaming Yang · Jiangang Bai · Mingliang Zhang · Jing Bai · JING YU · Ce Zhang · Gao Huang · Yunhai Tong,transformer
Unsupervised Learning of Visual 3D Keypoints for Control,2021,ICML,In Deep Reinforcement Learning 1,Boyuan Chen · Pieter Abbeel · Deepak Pathak,
Zoo-Tuning: Adaptive Transfer from A Zoo of Models,2021,ICML,In Deep Learning Architectures,Yang Shu · Zhi Kou · Zhangjie Cao · Jianmin Wang · Mingsheng Long,adaptive/transfer learning
Interpretable Stability Bounds for Spectral Graph Filters,2021,ICML,In Graph Learning,Henry Kenlay · Dorina Thanou · Xiaowen Dong,graph
Imitation by Predicting Observations,2021,ICML,In Reinforcement Learning (Multi-agent),Andrew Jaegle · Yury Sulsky · Arun Ahuja · Jake Bruce · Rob Fergus · Greg Wayne,
Unbalanced minibatch Optimal Transport; applications to Domain Adaptation,2021,ICML,In Optimal Transport,Kilian Fatras · Thibault Séjourné · Rémi Flamary · Nicolas Courty,
Learning Task Informed Abstractions,2021,ICML,In Deep Reinforcement Learning 1,Xiang Fu · Ge Yang · Pulkit Agrawal · Tommi Jaakkola,
Large-Margin Contrastive Learning with Distance Polarization Regularizer,2021,ICML,In Deep Learning Applications,Shuo Chen · Gang Niu · Chen Gong · Jun Li · Jian Yang · Masashi Sugiyama,contrastive learning
On the Optimality of Batch Policy Optimization Algorithms,2021,ICML,In Deep Reinforcement Learning 2,Chenjun Xiao · Yifan Wu · Jincheng Mei · Bo Dai · Tor Lattimore · Lihong Li · Csaba Szepesvari · Dale Schuurmans,optimization
Sparsifying Networks via Subdifferential Inclusion,2021,ICML,In Auto-ML and Optimization,Sagar Verma · Jean-Christophe Pesquet,
Newton Method over Networks is Fast up to the Statistical Precision,2021,ICML,In Optimization (Distributed),Amir Daneshmand · Gesualdo Scutari · Pavel Dvurechenskii · Alexander Gasnikov,
Q&A,2021,ICML,In Auto-ML and Optimization,Q&A,
UnICORNN: A recurrent model for learning very long time dependencies,2021,ICML,In Deep Learning Architectures,T. Konstantin Rusch · Siddhartha Mishra,
Making transport more robust and interpretable by moving data through a small number of anchor points,2021,ICML,In Optimal Transport,Chi-Heng Lin · Mehdi Azabou · Eva Dyer,
State Entropy Maximization with Random Encoders for Efficient Exploration,2021,ICML,In Deep Reinforcement Learning 1,Younggyo Seo · Lili Chen · Jinwoo Shin · Honglak Lee · Pieter Abbeel · Kimin Lee,
SPADE: A Spectral Method for Black-Box Adversarial Robustness Evaluation,2021,ICML,In Deep Learning Applications,Wuxinlin Cheng · Chenhui Deng · Zhiqiang Zhao · Yaohui Cai · Zhiru Zhang · Zhuo Feng,
Federated Learning under Arbitrary Communication Patterns,2021,ICML,In Optimization (Distributed),Dmitrii Avdiukhin · Shiva Kasiviswanathan,federated learning
Learning Node Representations Using Stationary Flow Prediction on Large Payment and Cash Transaction Networks,2021,ICML,In Graph Learning,Ciwan Ceylan · Salla Franzén · Florian T. Pokorny,zero_few-shot/representation/flow
Risk-Sensitive Reinforcement Learning with Function Approximation: A Debiasing Approach,2021,ICML,In Reinforcement Learning 1,Yingjie Fei · Zhuoran Yang · Zhaoran Wang,reinforcement learning
Variance Reduction via Primal-Dual Accelerated Dual Averaging for Nonsmooth Convex Finite-Sums,2021,ICML,In Optimization (Convex) 1,Chaobing Song · Stephen Wright · Jelena Diakonikolas,
Principled Simplicial Neural Networks for Trajectory Prediction,2021,ICML,In Deep Learning Algorithms 2,T. Mitchell Roddenberry · Nicholas Glaze · Santiago Segarra,
PAGE: A Simple and Optimal Probabilistic Gradient Estimator for Nonconvex Optimization,2021,ICML,In Optimization 1,Zhize Li · Hongyan Bao · Xiangliang Zhang · Peter Richtarik,optimization
Let's Agree to Degree: Comparing Graph Convolutional Networks in the Message-Passing Framework,2021,ICML,In Deep Learning Theory 1,Floris Geerts · Filip Mazowiecki · Guillermo Perez,graph
Oops I Took A Gradient: Scalable Sampling for Discrete Distributions,2021,ICML,In Deep Generative Model 1,Will Grathwohl · Kevin Swersky · Milad Hashemi · David Duvenaud · Chris Maddison,
Leveraging Sparse Linear Layers for Debuggable Deep Networks,2021,ICML,In Deep Learning Algorithms 1,Eric Wong · Shibani Santurkar · Aleksander Madry,sparse
Neural Architecture Search without Training,2021,ICML,In AutoML and Deep Architecture,Joe Mellor · Jack Turner · Amos Storkey · Elliot Crowley,
What Are Bayesian Neural Network Posteriors Really Like?,2021,ICML,In Deep Learning (Bayesian),Pavel Izmailov · Sharad Vikram · Matthew Hoffman · Andrew Wilson,bayesian
Is Space-Time Attention All You Need for Video Understanding?,2021,ICML,In AutoML and Deep Architecture,Gedas Bertasius · Heng Wang · Lorenzo Torresani,transformer
Voice2Series: Reprogramming Acoustic Models for Time Series Classification,2021,ICML,In Deep Learning Algorithms 1,Huck Yang · Yun-Yun Tsai · Pin-Yu Chen,
Projection Robust Wasserstein Barycenters,2021,ICML,In Optimization 1,Minhui Huang · Shiqian Ma · Lifeng Lai,
Dueling Convex Optimization,2021,ICML,In Optimization (Convex) 1,Aadirupa Saha · Tomer Koren · Yishay Mansour,optimization
Multiscale Invertible Generative Networks for High-Dimensional Bayesian Inference,2021,ICML,In Deep Generative Model 1,Shumao Zhang · Pengchuan Zhang · Thomas Hou,generative model/bayesian/inference
Scalable Marginal Likelihood Estimation for Model Selection in Deep Learning,2021,ICML,In Deep Learning (Bayesian),Alexander Immer · Matthias Bauer · Vincent Fortuin · Gunnar Ratsch · Khan Emtiyaz,
Model-Free Reinforcement Learning: from Clipped Pseudo-Regret to Sample Complexity,2021,ICML,In Reinforcement Learning 1,Zhang Zihan · Yuan Zhou · Xiangyang Ji,reinforcement learning
Efficient Differentiable Simulation of Articulated Bodies,2021,ICML,In Deep Learning Algorithms 2,Yi-Ling Qiao · Junbang Liang · Vladlen Koltun · Ming Lin,
Fundamental Tradeoffs in Distributionally Adversarial Training,2021,ICML,In Deep Learning Theory 1,Mohammad Mehrabi · Adel Javanmard · Ryan A. Rossi · Anup Rao · Tung Mai,
GraphDF: A Discrete Flow Model for Molecular Graph Generation,2021,ICML,In Deep Generative Model 1,Youzhi Luo · Keqiang Yan · Shuiwang Ji,graph/zero_few-shot/generative model/flow
Neuro-algorithmic Policies Enable Fast Combinatorial Generalization,2021,ICML,In Reinforcement Learning 1,Marin Vlastelica · Michal Rolinek · Georg Martius,
Self-Tuning for Data-Efficient Deep Learning,2021,ICML,In Deep Learning Algorithms 1,Ximei Wang · Jinghan Gao · Mingsheng Long · Jianmin Wang,
Amortized Conditional Normalized Maximum Likelihood: Reliable Out of Distribution Uncertainty Estimation,2021,ICML,In Deep Learning (Bayesian),Aurick Zhou · Sergey Levine,
A Probabilistic Approach to Neural Network Pruning,2021,ICML,In AutoML and Deep Architecture,Xin Qian · Diego Klabjan,
On Monotonic Linear Interpolation of Neural Network Parameters,2021,ICML,In Deep Learning Algorithms 2,James Lucas · Juhan Bae · Michael Zhang · Stanislav Fort · Richard Zemel · Roger Grosse,
Efficient Message Passing for 0–1 ILPs with Binary Decision Diagrams,2021,ICML,In Optimization 1,Jan-Hendrik Lange · Paul Swoboda,
Towards Understanding Learning in Neural Networks with Linear Teachers,2021,ICML,In Deep Learning Theory 1,Roei Sarussi · Alon Brutzkus · Amir Globerson,
Global Optimality Beyond Two Layers: Training Deep ReLU Networks via Convex Programs,2021,ICML,In Optimization (Convex) 1,Tolga Ergen · Mert Pilanci,
Hierarchical VAEs Know What They Don’t Know,2021,ICML,In Deep Generative Model 1,Jakob D. Havtorn · Jes Frellsen · Søren Hauberg · Lars Maaløe,
PID Accelerated Value Iteration Algorithm,2021,ICML,In Reinforcement Learning 1,Amir-massoud Farahmand · Mohammad Ghavamzadeh,
Distributionally Robust Optimization with Markovian Data,2021,ICML,In Optimization 1,Mengmeng Li · Tobias Sutter · Daniel Kuhn,optimization
Deep kernel processes,2021,ICML,In Deep Learning (Bayesian),Laurence Aitchison · Adam Yang · Sebastian Ober,
KNAS: Green Neural Architecture Search,2021,ICML,In AutoML and Deep Architecture,Jingjing Xu · Liang Zhao · Junyang Lin · Rundong Gao · Xu SUN · Hongxia Yang,
Connecting Sphere Manifolds Hierarchically for Regularization,2021,ICML,In Deep Learning Algorithms 2,Damien Scieur · Youngsung Kim,
Continual Learning in the Teacher-Student Setup: Impact of Task Similarity,2021,ICML,In Deep Learning Theory 1,Sebastian Lee · Sebastian Goldt · Andrew Saxe,
Parameter-free Locally Accelerated Conditional Gradients,2021,ICML,In Optimization (Convex) 1,Alejandro Carderera · Jelena Diakonikolas · Cheuk Yin Lin · Sebastian Pokutta,
How Framelets Enhance Graph Neural Networks,2021,ICML,In Deep Learning Algorithms 1,Xuebin Zheng · Bingxin Zhou · Junbin Gao · Yuguang Wang · Pietro Lió · Ming Li · Guido Montufar,graph
Global inducing point variational posteriors for Bayesian neural networks and deep Gaussian processes,2021,ICML,In Deep Learning (Bayesian),Sebastian Ober · Laurence Aitchison,bayesian
Controlling Graph Dynamics with Reinforcement Learning and Graph Neural Networks,2021,ICML,In Deep Learning Algorithms 2,Eli Meirom · Haggai Maron · Shie Mannor · Gal Chechik,reinforcement learning/graph
Federated Continual Learning with Weighted Inter-client Transfer,2021,ICML,In Deep Learning Algorithms 1,Jaehong Yoon · Wonyong Jeong · GiWoong Lee · Eunho Yang · Sung Ju Hwang,transfer learning
Principal Component Hierarchy for Sparse Quadratic Programs,2021,ICML,In Optimization (Convex) 1,Robbie Vreugdenhil · Viet Anh Nguyen · Armin Eftekhari · Peyman Mohajerin Esfahani,sparse
Order Matters: Probabilistic Modeling of Node Sequence for Graph Generation,2021,ICML,In Deep Generative Model 1,Xiaohui Chen · Xu Han · Jiajing Hu · Francisco R Ruiz · Liping Liu,graph/generative model
Provably Efficient Learning of Transferable Rewards,2021,ICML,In Reinforcement Learning 1,Alberto Maria Metelli · Giorgia Ramponi · Alessandro Concetti · Marcello Restelli,transfer learning
Efficient Lottery Ticket Finding: Less Data is More,2021,ICML,In AutoML and Deep Architecture,Zhenyu Zhang · Xuxi Chen · Tianlong Chen · Zhangyang Wang,
Acceleration via Fractal Learning Rate Schedules,2021,ICML,In Optimization 1,Naman Agarwal · Surbhi Goel · Cyril Zhang,
A Functional Perspective on Learning Symmetric Functions with Neural Networks,2021,ICML,In Deep Learning Theory 1,Aaron Zweig · Joan Bruna,metric
ConViT: Improving Vision Transformers with Soft Convolutional Inductive Biases,2021,ICML,In AutoML and Deep Architecture,Stéphane d'Ascoli · Hugo Touvron · Matthew Leavitt · Ari Morcos · Giulio Biroli · Levent Sagun,transformer
Weisfeiler and Lehman Go Topological: Message Passing Simplicial Networks,2021,ICML,In Deep Learning Theory 1,Cristian Bodnar · Fabrizio Frasca · Yuguang Wang · Nina Otter · Guido Montufar · Pietro Lió · Michael Bronstein,
Thinking Like Transformers,2021,ICML,In Deep Learning Algorithms 2,Gail Weiss · Yoav Goldberg · Eran Yahav,transformer
A Novel Sequential Coreset Method for Gradient Descent Algorithms,2021,ICML,In Optimization 1,Jiawei Huang · Ruomin Huang · wenjie liu · Nikolaos Freris · Hu Ding,
Self Normalizing Flows,2021,ICML,In Deep Learning Algorithms 1,T. Anderson Keller · Jorn Peters · Priyank Jaini · Emiel Hoogeboom · Patrick Forré · Max Welling,zero_few-shot/flow
One-sided Frank-Wolfe algorithms for saddle problems,2021,ICML,In Optimization (Convex) 1,Vladimir Kolmogorov · Thomas Pock,
Generative Video Transformer: Can Objects be the Words?,2021,ICML,In Deep Generative Model 1,Yi-Fu Wu · Jaesik Yoon · Sungjin Ahn,transformer/generative model
Bayesian Deep Learning via Subnetwork Inference,2021,ICML,In Deep Learning (Bayesian),Erik Daxberger · Eric Nalisnick · James Allingham · Javier Antorán · Jose Miguel Hernandez-Lobato,bayesian/inference
Reinforcement Learning for Cost-Aware Markov Decision Processes,2021,ICML,In Reinforcement Learning 1,Wesley A Suttle · Kaiqing Zhang · Zhuoran Yang · Ji Liu · David N Kraemer,reinforcement learning
Provably Strict Generalisation Benefit for Equivariant Models,2021,ICML,In AutoML and Deep Architecture,Bryn Elesedy · Sheheryar Zaidi,
Value Alignment Verification,2021,ICML,In Reinforcement Learning 1,Daniel Brown · Jordan Schneider · Anca Dragan · Scott Niekum,
Poisson-Randomised DirBN: Large Mutation is Needed in Dirichlet Belief Networks,2021,ICML,In Deep Generative Model 1,Xuhui Fan · Bin Li · Yaqiong Li · Scott SIsson,
Federated Learning of User Verification Models Without Sharing Embeddings,2021,ICML,In Deep Learning Algorithms 2,Hossein Hosseini · Hyunsin Park · Sungrack Yun · Christos Louizos · Joseph B Soriaga · Max Welling,federated learning
Loss Surface Simplexes for Mode Connecting Volumes and Fast Ensembling,2021,ICML,In Deep Learning Algorithms 1,Gregory Benton · Wesley Maddox · Sanae Lotfi · Andrew Wilson,
"Scalable Optimal Transport in High Dimensions for Graph Distances, Embedding Alignment, and More",2021,ICML,In Optimization 1,Johannes Klicpera · Marten Lienen · Stephan Günnemann,graph
Generative Particle Variational Inference via Estimation of Functional Gradients,2021,ICML,In Deep Learning (Bayesian),Neale Ratzlaff · Jerry Bai · Fuxin Li · Wei Xu,generative model/inference
ConvexVST: A Convex Optimization Approach to Variance-stabilizing Transformation,2021,ICML,In Optimization (Convex) 1,Mengfan Wang · Boyu Lyu · Guoqiang Yu,optimization
On the Random Conjugate Kernel and Neural Tangent Kernel,2021,ICML,In Deep Learning Theory 1,Zhengmian Hu · Heng Huang,
OmniNet: Omnidirectional Representations from Transformers,2021,ICML,In AutoML and Neural Network Architectures 1,Yi Tay · Mostafa Dehghani · Vamsi Aribandi · Jai Gupta · Philip Pham · Zhen Qin · Dara Bahri · Da-Cheng Juan · Don Metzler,transformer/representation
Stability and Convergence of Stochastic Gradient Clipping: Beyond Lipschitz Continuity and Smoothness,2021,ICML,In Optimization 2,Vien Mai · Mikael Johansson,
Spectral Smoothing Unveils Phase Transitions in Hierarchical Variational Autoencoders,2021,ICML,In Deep Generative Model 2,Adeel Pervez · Efstratios Gavves,
Coach-Player Multi-agent Reinforcement Learning for Dynamic Team Composition,2021,ICML,In Reinforcement Learning 2,Bo Liu · Qiang Liu · Peter Stone · Animesh Garg · Yuke Zhu · Anima Anandkumar,reinforcement learning/multi-agent
Not All Memories are Created Equal: Learning to Forget by Expiring,2021,ICML,In Deep Learning 1,Sainbayar Sukhbaatar · Da JU · Spencer Poff · Stephen Roller · Arthur Szlam · Jason Weston · Angela Fan,
Skill Discovery for Exploration and Planning using Deep Skill Graphs,2021,ICML,In Reinforcement Learning and Planning 2,Akhil Bagaria · Jason Senthil · George Konidaris,graph
ViLT: Vision-and-Language Transformer Without Convolution or Region Supervision,2021,ICML,In Deep Learning Algorithms 3,Wonjae Kim · Bokyung Son · Ildoo Kim,transformer
World Model as a Graph: Learning Latent Landmarks for Planning,2021,ICML,In Reinforcement Learning and Planning 1,Lunjun Zhang · Ge Yang · Bradly Stadie,graph
Directional Graph Networks,2021,ICML,In Deep Learning Algorithms 4,Dominique Beaini · Saro Passaro · Vincent Létourneau · Will Hamilton · Gabriele Corso · Pietro Lió,graph
Lapsed Physicists Wine-and-Cheese,2021,ICML,Jennifer Hobbs · Sujoy Ganguly,Spotlight,
Winograd Algorithm for AdderNet,2021,ICML,In Deep Learning Algorithms 4,Wenshuo Li · Hanting Chen · Mingqiang Huang · Xinghao Chen · Chunjing Xu · Yunhe Wang,
Riemannian Convex Potential Maps,2021,ICML,In Deep Generative Model 2,samuel cohen · Brandon Amos · Yaron Lipman,
