title,year,source,authors,class,keywords,abstract,pdf_link
Deep Signature Statistics for Likelihood-free Time-series Models,2021,ICML,"['Joel Dyer', 'Patrick W Cannon', 'Sebastian M Schmon']",poster,[],"Simulation-based inference (SBI) has emerged as a family of methods for performing inference on complex simulation models with intractable likelihood functions. A common bottleneck in SBI is the construction of low-dimensional summary statistics of the data. In this respect, time-series data, often being high-dimensional, multivariate, and complex in structure, present a particular challenge. To address this we introduce deep signature statistics, a principled and automated method for combining summary statistic selection for time-series data with neural SBI methods. Our approach leverages deep signature transforms, trained concurrently with a neural density estimator, to produce informative statistics for multivariate sequential data that encode important geometric properties of the underlying path. We obtain competitive results across benchmark models.",https://api.openreview.net/pdf/710130b7b994b6c4c12e77d53348470bd1aba8e4.pdf
On the expressivity of bi-Lipschitz normalizing flows,2021,ICML,"['Alexandre Verine', 'Yann Chevaleyre', 'Fabrice Rossi', 'benjamin negrevergne']",poster,"['Machine Learning', 'Invertible Networks', 'Normalizing Flow', 'Bilipschitz', 'Bi-Lipschitz', 'Expressivity']","An invertible function is bi-Lipschitz if both the function and its inverse have bounded Lipschitz constants. Nowadays, most Normalizing Flows are bi-Lipschitz by design or by training to limit numerical errors (among other things). In this paper, we discuss the expressivity of bi-Lipschitz Normalizing Flows and identify several target distributions that are difficult to approximate using such models. Then, we characterize the expressivity of bi-Lipschitz Normalizing Flows by giving several lower bounds on the Total Variation distance between these particularly unfavorable distributions and their best possible approximation. Finally, we discuss potential remedies which include using more complex latent distributions.",https://api.openreview.net/pdf/403daf6887f29b69d44982795c7b664c7121f047.pdf
Semantic Perturbations with Normalizing Flows for Improved Generalization,2021,ICML,"['Oğuz Kaan Yüksel', 'Sebastian U Stich', 'Martin Jaggi', 'Tatjana Chavdarova']",poster,"['Machine Learning', 'Latent Space Perturbations', 'Semantic Perturbations', 'Adversarial Perturbations', 'Normalizing Flows', 'ICML']","Several methods from two separate lines of works, namely, data augmentation (DA) and adversarial training techniques, rely on perturbations done in latent space. Often, these methods are either non-interpretable due to their non-invertibility or are notoriously difficult to train due to their numerous hyperparameters. We exploit the exactly reversible encoder-decoder structure of normalizing flows to perform perturbations in the latent space. We demonstrate that these on-manifold perturbations match the performance of advanced DA techniques---reaching $96.6\%$ test accuracy for CIFAR-10 using ResNet-18 and outperform existing methods particularly in low data regimes---yielding $10$--$25\%$ relative improvement of test accuracy from classical training. We find our latent adversarial perturbations, adaptive to the classifier throughout its training, are most effective.",https://api.openreview.net/pdf/cff29865fbaf3213d730ef5b8489c6e5874069b8.pdf
Copula-Based Normalizing Flows,2021,ICML,"['Mike Laszkiewicz', 'Johannes Lederer', 'Asja Fischer']",poster,"['Base Distribution', 'Copula', 'Expressiveness']","Normalizing flows, which learn a distribution by transforming the data to samples from a Gaussian base distribution, have proven powerful density approximations. But their expressive power is limited by this choice of the base distribution. We, therefore, propose to generalize the base distribution to a more elaborate copula distribution to capture the properties of the target distribution more accurately. In a first empirical analysis, we demonstrate that this replacement can dramatically improve the vanilla normalizing flows in terms of flexibility, stability, and effectivity for heavy-tailed data. Our results suggest that the improvements are related to an increased local Lipschitz-stability of the learned flow.",https://api.openreview.net/pdf/c5b36809cea2e0d9212642187d1a4170c262d427.pdf
Generalization of the Change of Variables Formula with Applications to Residual Flows,2021,ICML,"['Niklas Koenen', 'Marvin N. Wright', 'Peter Maass', 'Jens Behrmann']",poster,"['Machine Learning', 'ICML', 'Change of Variables', 'Generalization of Flows', 'Residual Flows', 'Measure Theory']","Normalizing flows leverage the Change of Variables Formula (CVF) to define flexible density models. Yet, the requirement of smooth transformations (diffeomorphisms) in the CVF poses a significant challenge in the construction of these models. To enlarge the design space of flows, we introduce $\mathcal{L}$-diffeomorphisms as generalized transformations which may violate these requirements on zero Lebesgue-measure sets. This relaxation allows e.g. the use of non-smooth activation functions such as ReLU. Finally, we apply the obtained results to planar, radial, and contractive residual flows.",https://api.openreview.net/pdf/ee9f61dff51f8d33fe609a48740b117be95578b0.pdf
A Variational Perspective on Diffusion-Based Generative Models and Score Matching,2021,ICML,"['Chin-Wei Huang', 'Jae Hyun Lim', 'Aaron Courville']",poster,"['SDE', 'score matching', 'diffusion models', 'ODE', 'likelihood estimation', 'variational autoencoder', 'continuous-time flow']","Discrete-time diffusion-based generative models and score matching methods have shown promising results in modeling high-dimensional image data. Recently, Song et al. (2021) show that diffusion processes can be reverted via learning the score function, i.e. the gradient of the log-density of the perturbed data. They propose to plug the learned score function into an inverse formula to define a generative diffusion process. Despite the empirical success, a theoretical underpinning of this procedure is still lacking. In this work, we approach the (continuous-time) generative diffusion directly and derive a variational framework for likelihood estimation, which includes continuous-time normalizing flows as a special case, and can be seen as an infinitely deep variational autoencoder. Under this framework, we show that minimizing the score-matching loss is equivalent to maximizing the ELBO of the plug-in reverse SDE proposed by Song et al. (2021), bridging the theoretical gap.",https://api.openreview.net/pdf/e546417b8c8eeaddb070150227a9dc536c179d40.pdf
Manifold Density Estimation via Generalized Dequantization,2021,ICML,"['James Brofos', 'Marcus A Brubaker', 'Roy R Lederman']",poster,"['density estimation', 'embedded manifolds', 'dequantization']","Density estimation is an important technique for characterizing distributions given observations. Much existing research on density estimation has focused on cases wherein the data lies in a Euclidean space. However, some kinds of data are not well-modeled by supposing that their underlying geometry is Euclidean. Instead, it can be useful to model such data as lying on a {\it manifold} with some known structure. For instance, some kinds of data may be known to lie on the surface of a sphere. We study the problem of estimating densities on manifolds. We propose a method, inspired by the literature on ""dequantization,"" which we interpret through the lens of a coordinate transformation of an ambient Euclidean space and a smooth manifold of interest. Using methods from normalizing flows, we apply this method to the dequantization of smooth manifold structures in order to model densities on the sphere, tori, and the orthogonal group.",https://api.openreview.net/pdf/e9894fc55da04cc035b589d40f93a0eacbcb9a69.pdf
General Invertible Transformations for Flow-based Generative Modeling,2021,ICML,['Jakub Mikolaj Tomczak'],poster,"['Invertible Neural Networks', 'Deep Generative Modeling', 'Normalizing Flows']","In this paper, we present a new class of invertible transformations with an application to flow-based generative models. We indicate that many well-known invertible transformations in reversible logic and reversible neural networks could be derived from our proposition. Next, we propose two new coupling layers that are important building blocks of flow-based generative models. In the experiments on digit data, we present how these new coupling layers could be used in Integer Discrete Flows (IDF), and that they achieve better results than standard coupling layers used in IDF and RealNVP.",https://api.openreview.net/pdf/06ff25a8e2a6aff9897e1e69f95c31d3048d2b5b.pdf
The DEformer: An Order-Agnostic Distribution Estimating Transformer,2021,ICML,"['Michael A. Alcorn', 'Anh Nguyen']",poster,[],"Order-agnostic autoregressive distribution (density) estimation (OADE), i.e., autoregressive distribution estimation where the features can occur in an arbitrary order, is a challenging problem in generative machine learning. Prior work on OADE has encoded feature identity by assigning each feature to a distinct fixed position in an input vector. As a result, architectures built for these inputs must strategically mask either the input or model weights to learn the various conditional distributions necessary for inferring the full joint distribution of the dataset in an order-agnostic way. In this paper, we propose an alternative approach for encoding feature identities, where each feature's identity is included alongside its value in the input. This feature identity encoding strategy allows neural architectures designed for sequential data to be applied to the OADE task without modification. As a proof of concept, we show that a Transformer trained on this input (which we refer to as ""the DEformer"", i.e., the distribution estimating Transformer) can effectively model binarized-MNIST, approaching the performance of fixed-order autoregressive distribution estimating algorithms while still being entirely order-agnostic. Additionally, we find that the DEformer surpasses the performance of recent flow-based architectures when modeling a tabular dataset.",https://api.openreview.net/pdf/7eed5135db809da6575aadfee8eac48d98308b75.pdf
Recurrent Flow Networks: A Recurrent Latent Variable Model for Density Modelling of Urban Mobility,2021,ICML,"['Daniele Gammelli', 'Filipe Rodrigues']",poster,"['Urban Mobility', 'Latent variable models', 'amortized inference', 'normalizing flows']","Mobility-on-demand (MoD) systems represent a rapidly developing mode of transportation wherein travel requests are dynamically handled by a coordinated fleet of vehicles. Crucially, the efficiency of an MoD system highly depends on how well supply and demand distributions are aligned in spatio-temporal space (i.e., to satisfy user demand, cars have to be available in the correct place and at the desired time). When modelling urban mobility as temporal sequences, current approaches typically rely on either (i) a spatial discretization (e.g. ConvLSTMs), or (ii) a Gaussian mixture model to describe the conditional output distribution.
In this paper, we argue that both of these approaches could exhibit structural limitations when faced with highly complex data distributions such as for urban mobility densities. To address this issue, we introduce recurrent flow networks which combine deterministic and stochastic recurrent hidden states with conditional normalizing flows and show how the added flexibility allows our model to generate distributions matching potentially complex urban topologies. ",https://api.openreview.net/pdf/d356ee091b0384b0365659bc9b96c425f8344945.pdf
Representation Learning in Continuous-Time Score-Based Generative Models,2021,ICML,"['Korbinian Abstreiter', 'Stefan Bauer', 'Arash Mehrjou']",poster,"['representation learning', 'score-based', 'diffusion models', 'generative modeling']","Score-based methods represented as stochastic differential equations on a continuous time domain have recently proven successful as a non-adversarial generative model.
Training such models relies on denoising score matching, which can be seen as multi-scale denoising autoencoders.
Here, we augment the denoising score-matching framework to enable representation learning without any supervised signal.
GANs and VAEs learn representations by directly transforming latent codes to data samples.
In contrast, score-based representation learning relies on a new formulation of the denoising score-matching objective and thus encodes information needed for denoising.
We show how this difference allows for manual control of the level of detail encoded in the representation.",https://api.openreview.net/pdf/4358d03c3bae5a468259f1245308a02362d68ac5.pdf
Understanding Event-Generation Networks via Uncertainties,2021,ICML,"['Marco Bellagente', 'Michel Luchmann', 'Manuel Haussmann', 'Tilman Plehn']",poster,"['normalizing flow', 'bayesian neural network', 'LHC']","Generative models and normalizing flow based models have made great progress in recent years both in their theoretical development as well as in a growing number of applications. As such models become applied more and more with it increases the desire for predictive uncertainty to know when to trust the underlying model. In this extended abstract we target the application area of Large Hadron Collider (LHC) simulations and show how to extend normalizing flows with probabilistic Bayesian Neural Network based transformations to model LHC events with uncertainties. 
",https://api.openreview.net/pdf/114b11e5c6361c550d7ef96b98ef4c0057d7e278.pdf
Disentangled Predictive Representation for Meta-Reinforcement Learning,2021,ICML,"['Sephora Madjiheurem', 'Laura Toni']",poster,"['reinforcement learning', 'representation learning', 'unsupervised learning', 'meta-learning']","A major challenge in reinforcement learning is the design of agents that are able to generalize across tasks that share common  dynamics. A viable solution is  meta-reinforcement learning,   which identifies common structures among past tasks to be then generalized to new tasks (meta-test). Prior works learn meta-representation jointly while solving tasks, resulting in representations that not generalize  well across policies, leading to sampling-inefficiency during   meta-test phases. In this work, we introduce state2vec, an efficient and low-complexity unsupervised framework for learning disentangled representations that are more general.  
The state embedding vectors learned with state2vec capture the geometry of the underlying state space, resulting in high-quality basis functions for linear value function approximation. ",https://api.openreview.net/pdf/ada5c3307a6d9cb135038d79f06d906e1624ac4a.pdf
Decoupling Exploration and Exploitation in Reinforcement Learning,2021,ICML,"['Lukas Schäfer', 'Filippos Christianos', 'Josiah Hanna', 'Stefano V Albrecht']",poster,"['Reinforcement Learning', 'Exploration', 'Intrinsic Rewards', 'Decoupling']","Intrinsic rewards are commonly applied to improve exploration in reinforcement learning. However, these approaches suffer from instability caused by non-stationary reward shaping and strong dependency on hyperparameters. In this work, we propose Decoupled RL (DeRL) which trains separate policies for exploration and exploitation. DeRL can be applied with on-policy and off-policy RL algorithms. We evaluate DeRL algorithms in two sparse-reward environments with multiple types of intrinsic rewards. We show that DeRL is more robust to scaling and speed of decay of intrinsic rewards and converges to the same evaluation returns than intrinsically motivated baselines in fewer interactions.",https://api.openreview.net/pdf/46220385a893173c54e1564b867ab04e8ab67ac7.pdf
Density-Based Bonuses on Learned Representations for Reward-Free Exploration in Deep Reinforcement Learning,2021,ICML,"['Omar Darwiche Domingues', 'Corentin Tallec', 'Remi Munos', 'Michal Valko']",poster,"['reinforcement learning', 'exploration', 'reward-free', 'representation learning']","In this paper, we study the problem of representation learning and exploration in reinforcement learning. We propose a framework to compute exploration bonuses based on density estimation, that can be used with any representation learning method, and that allows the agent to explore without extrinsic rewards. In the special case of tabular Markov decision processes (MDPs), this approach mimics the behavior of theoretically sound algorithms. In continuous and partially observable MDPs, the same approach can be applied by learning a latent representation, on which a probability density is estimated.",https://api.openreview.net/pdf/7fc06e37c9f3dd23b6c3cc41e89705f4d0d1dbd4.pdf
Tangent Space Least Adaptive Clustering,2021,ICML,"['James Buenfil', 'Samson J Koelle', 'Marina Meila']",poster,[],"The biasing of dynamical simulations along collective variables uncovered by unsupervised learning has become a standard approach in analysis of molecular systems. However, despite parallels with reinforcement learning (RL), state of the art RL methods have yet to reach the molecular dynamics community. The interaction between unsupervised learning, dynamical simulations, and RL is therefore a promising area of research. We introduce a method for enhanced sampling that uses nonlinear geometry estimated by an unsupervised learning algorithm in a reinforcement-learning enhanced sampler. We give theoretical background justifying this method, and show results on data.",https://api.openreview.net/pdf/d81f964af9488c15c395659b12831483e5b717a5.pdf
Representation Learning for Out-of-distribution Generalization in Reinforcement Learning,2021,ICML,"['Frederik Träuble', 'Andrea Dittadi', 'Manuel Wuthrich', 'Felix Widmaier', 'Peter Vincent Gehler', 'Ole Winther', 'Francesco Locatello', 'Olivier Bachem', 'Bernhard Schölkopf', 'Stefan Bauer']",poster,"['representations', 'robustness', 'out-of-distribution', 'generalization', 'reinforcement learning']","Learning data representations that are useful for various downstream tasks is a cornerstone of artificial intelligence. While existing methods are typically evaluated on downstream tasks such as classification or generative image quality, we propose to assess representations through their usefulness in downstream control tasks, such as reaching or pushing objects. By training over 10,000 reinforcement learning policies, we extensively evaluate to what extent different representation properties affect out-of-distribution (OOD) generalization. Finally, we demonstrate zero-shot transfer of these policies from simulation to the real world, without any domain randomization or fine-tuning. This paper aims to establish the first systematic characterization of the usefulness of learned representations for real-world OOD downstream tasks.",https://api.openreview.net/pdf/126671cd362894052eaf114f9f45161638eb312b.pdf
SparseDice: Imitation Learning for Temporally Sparse Data via Regularization,2021,ICML,"['Alberto Camacho', 'Izzeddin Gur', 'Marcin Lukasz Moczulski', 'Ofir Nachum', 'Aleksandra Faust']",poster,['imitation learning'],"Imitation learning learns how to act by observing the behavior of an expert demonstrator. We are concerned with a setting where the demonstrations comprise only a subset of state-action pairs (as opposed to the whole trajectories). Our setup reflects the limitations of real-world problems when accessing the expert data. For example, user logs may contain incomplete traces of behavior, or in robotics non-technical human demonstrators may describe trajectories using only a subset of all state-action pairs. A recent approach to imitation learning via distribution matching, ValueDice, tends to overfit when demonstrations are temporally sparse. We counter the overfitting by contributing regularization losses. Our empirical evaluation with Mujoco benchmarks shows that we can successfully learn from very sparse and scarce expert data. Moreover, (i) the quality of the learned policies is often comparable to those learned with full expert trajectories, and (ii) the number of training steps required to learn from sparse data is similar to the number of training steps when the agent has access to full expert trajectories.",https://api.openreview.net/pdf/387f3ef0a3195a53b0cadbdad3fbd58e2720e78e.pdf
CoBERL: Contrastive BERT for Reinforcement Learning,2021,ICML,"['Andrea Banino', 'Adria Puigdomenech Badia', 'Jacob C Walker', 'Tim Scholtes', 'Jovana Mitrovic', 'Charles Blundell']",poster,"['Reinforcement Learning', 'Contrastive Learning', 'Representation Learning', 'Transformer', 'Deep Reinforcement Learning']","Many reinforcement learning (RL) agents require a large amount of experience to solve tasks.  We propose Contrastive BERT for RL (CoBERL), an agent that combines a new contrastive loss and a hybrid LSTM-transformer architecture to tackle the challenge of improving data efficiency. CoBERL enables efficient, robust learning from pixels across a wide range of domains. We use bidirectional masked prediction in combination with a generalization of recent contrastive methods to learn better representations for transformers in RL, without the need of hand engineered data augmentations. We find that CoBERL consistently improves performance across the full Atari suite, a set of control tasks and a challenging 3D environment.",https://api.openreview.net/pdf/d64f621a30662642992e481cb47403f562e646e6.pdf
Control-Oriented Model-Based Reinforcement Learning with Implicit Differentiation,2021,ICML,"['Evgenii Nikishin', 'Romina Abachi', 'Rishabh Agarwal', 'Pierre-Luc Bacon']",poster,"['reinforcement learning', 'model-based reinforcement learning', 'bi-level optimization']","The shortcomings of maximum likelihood estimation in the context of model-based reinforcement learning have been highlighted by an increasing number of papers. When the model class is misspecified or has a limited representational capacity, model parameters with high likelihood might not necessarily result in high performance of the agent on a downstream control task. To alleviate this problem, we propose an end-to-end approach for model learning which directly optimizes the expected returns using implicit differentiation. We treat a value function that satisfies the Bellman optimality operator induced by the model as an implicit function of model parameters and show how to differentiate the function. We provide theoretical and empirical evidence highlighting the benefits of our approach in the model misspecification regime compared to likelihood-based methods.",https://api.openreview.net/pdf/8584ab9ae04bd6d59f04e9555a159fcfabe50e54.pdf
Visual Adversarial Imitation Learning using Variational Models,2021,ICML,"['Rafael Rafailov', 'Tianhe Yu', 'Aravind Rajeswaran', 'Chelsea Finn']",poster,"['imitation learning', 'generative models', 'vision', 'POMDP', 'self-supervised reinforcement learning']","Reward function specification, which requires considerable human effort and iteration, remains a major impediment for learning behaviors through deep reinforcement learning. In contrast, providing visual demonstrations of desired behaviors presents an easier and more natural way to teach agents. We consider a setting where an agent is provided a fixed dataset of visual demonstrations illustrating how to perform a task, and must learn to solve the task using the provided demonstrations and unsupervised environment interactions. This setting presents a number of challenges including representation learning for visual observations, sample complexity due to high dimensional spaces, and learning instability due to the lack of a fixed reward or learning signal. Towards addressing these challenges, we develop a variational model-based adversarial imitation learning (V-MAIL) algorithm. The model-based approach provides a strong signal for representation learning, enables sample efficiency, and improves the stability of adversarial training by enabling on-policy learning. Through experiments involving several vision-based locomotion and manipulation tasks, we find that V-MAIL learns successful visuomotor policies in a sample-efficient manner, has better stability compared to prior work, and also achieves higher asymptotic performance. We further find that by transferring the learned models, V-MAIL can learn new tasks from visual demonstrations without any additional environment interactions. All results including videos can be found online at \url{https://sites.google.com/view/variational-mail}.",https://api.openreview.net/pdf/bed1841517fd845fe7598b93dc477f2ce5e126cb.pdf
Decision Transformer: Reinforcement Learning via Sequence Modeling,2021,ICML,"['Lili Chen', 'Kevin Lu', 'Aravind Rajeswaran', 'Kimin Lee', 'Aditya Grover', 'Michael Laskin', 'Pieter Abbeel', 'Aravind Srinivas', 'Igor Mordatch']",poster,"['transformers', 'reinforcement learning', 'deep learning', 'generative modeling']","We present a framework that abstracts Reinforcement Learning (RL) as a sequence modeling problem. This allows us to draw upon the simplicity and scalability of the Transformer architecture, and associated advances in language modeling such as GPT-x and BERT. In particular, we present Decision Transformer, an architecture that casts the problem of RL as conditional sequence modeling. Unlike prior approaches to RL that fit value functions or compute policy gradients, Decision Transformer simply outputs the optimal actions by leveraging a causally masked Transformer. By conditioning an autoregressive model on the desired return (reward), past states, and actions, our Decision Transformer model can generate future actions that achieve the desired return. Despite its simplicity, Decision Transformer matches or exceeds the performance of state-of-the-art model-free offline RL baselines on Atari, OpenAI Gym, and Key-to-Door tasks.",https://api.openreview.net/pdf/c3efdd0b44aca06cc2aa3d74c39ec20ff33240b3.pdf
