title,year,source,authors,class,keywords,abstract,pdf_link,topic,google_scholar_link
Dynamic Dual-Output Diffusion Models,2022,CVPR,Yaniv Benny;Lior Wolf,,,,https://openaccess.thecvf.com/content/CVPR2022/papers/Benny_Dynamic_Dual-Output_Diffusion_Models_CVPR_2022_paper.pdf,diffusion models,https://scholar.google.com/scholar?q=Dynamic+Dual-Output+Diffusion+Models
High-Resolution Image Synthesis With Latent Diffusion Models,2022,CVPR,Robin Rombach;Andreas Blattmann;Dominik Lorenz;Patrick Esser;Björn Ommer,,,,https://openaccess.thecvf.com/content/CVPR2022/papers/Rombach_High-Resolution_Image_Synthesis_With_Latent_Diffusion_Models_CVPR_2022_paper.pdf,diffusion models,https://scholar.google.com/scholar?q=High-Resolution+Image+Synthesis+With+Latent+Diffusion+Models
Generating High Fidelity Data From Low-Density Regions Using Diffusion Models,2022,CVPR,Vikash Sehwag;Caner Hazirbas;Albert Gordo;Firat Ozgenel;Cristian Canton,,,,https://openaccess.thecvf.com/content/CVPR2022/papers/Sehwag_Generating_High_Fidelity_Data_From_Low-Density_Regions_Using_Diffusion_Models_CVPR_2022_paper.pdf,zero_few-shot;diffusion models,https://scholar.google.com/scholar?q=Generating+High+Fidelity+Data+From+Low-Density+Regions+Using+Diffusion+Models
Come-Closer-Diffuse-Faster: Accelerating Conditional Diffusion Models for Inverse Problems Through Stochastic Contraction,2022,CVPR,Hyungjin Chung;Byeongsu Sim;Jong Chul Ye,,,,https://openaccess.thecvf.com/content/CVPR2022/papers/Chung_Come-Closer-Diffuse-Faster_Accelerating_Conditional_Diffusion_Models_for_Inverse_Problems_Through_Stochastic_CVPR_2022_paper.pdf,diffusion models,https://scholar.google.com/scholar?q=Come-Closer-Diffuse-Faster:+Accelerating+Conditional+Diffusion+Models+for+Inverse+Problems+Through+Stochastic+Contraction
Perception Prioritized Training of Diffusion Models,2022,CVPR,Jooyoung Choi;Jungbeom Lee;Chaehun Shin;Sungwon Kim;Hyunwoo Kim;Sungroh Yoon,,,,https://openaccess.thecvf.com/content/CVPR2022/papers/Choi_Perception_Prioritized_Training_of_Diffusion_Models_CVPR_2022_paper.pdf,diffusion models,https://scholar.google.com/scholar?q=Perception+Prioritized+Training+of+Diffusion+Models
DiffusionCLIP: Text-Guided Diffusion Models for Robust Image Manipulation,2022,CVPR,Gwanghyun Kim;Taesung Kwon;Jong Chul Ye,,,,https://openaccess.thecvf.com/content/CVPR2022/papers/Kim_DiffusionCLIP_Text-Guided_Diffusion_Models_for_Robust_Image_Manipulation_CVPR_2022_paper.pdf,diffusion models,https://scholar.google.com/scholar?q=DiffusionCLIP:+Text-Guided+Diffusion+Models+for+Robust+Image+Manipulation
Vector Quantized Diffusion Model for Text-to-Image Synthesis,2022,CVPR,Shuyang Gu;Dong Chen;Jianmin Bao;Fang Wen;Bo Zhang;Dongdong Chen;Lu Yuan;Baining Guo,,,,https://openaccess.thecvf.com/content/CVPR2022/papers/Gu_Vector_Quantized_Diffusion_Model_for_Text-to-Image_Synthesis_CVPR_2022_paper.pdf,diffusion models,https://scholar.google.com/scholar?q=Vector+Quantized+Diffusion+Model+for+Text-to-Image+Synthesis
CARD: Classification and Regression Diffusion Models,2022,NIPS,"['Xizewen Han', 'Huangjie Zheng', 'Mingyuan Zhou']",poster,[],"Learning the distribution of a continuous or categorical response variable y given its covariates x is a fundamental problem in statistics and machine learning. Deep neural network-based supervised learning algorithms have made great progress in predicting the mean of y given x, but they are often criticized for their ability to accurately capture the uncertainty of their predictions. In this paper, we introduce classification and regression diffusion (CARD) models, which combine a denoising diffusion-based conditional generative model and a pre-trained conditional mean estimator, to accurately predict the distribution of y given x.  We demonstrate the outstanding ability of CARD in conditional distribution prediction with both toy examples and real-world datasets, the experimental results on which show that CARD, in general, outperforms state-of-the-art methods, including Bayesian neural network-based one, designed for uncertainty estimation, especially when the conditional distribution of y given x is multi-modal. In addition, we utilize the stochastic nature of the generative model outputs to obtain a finer granularity in model confidence assessment at the instance level for classification tasks.",https://api.openreview.net/pdf/aad8cc52d1ab38485c05dbb5577ca801955ea620.pdf,generative model;bayesian;multimodal;diffusion models,https://scholar.google.com/scholar?q=CARD:+Classification+and+Regression+Diffusion+Models
Diffusion Models as Plug-and-Play Priors,2022,NIPS,"['Alexandros Graikos', 'Nikolay Malkin', 'Nebojsa Jojic', 'Dimitris Samaras']",poster,"['diffusion models', 'conditional generation', 'image segmentation']","We consider the problem of inferring high-dimensional data $x$ in a model that consists of a prior $p(x)$ and an auxiliary differentiable constraint $c(x,y)$ on $x$ given some additional information $y$. In this paper, the prior is an independently trained denoising diffusion generative model. The auxiliary constraint is expected to have a differentiable form, but can come from diverse sources. The possibility of such inference turns diffusion models into plug-and-play modules, thereby allowing a range of potential applications in adapting models to new domains and tasks, such as conditional generation or image segmentation. The structure of diffusion models allows us to perform approximate inference by iterating differentiation through the fixed denoising network enriched with different amounts of noise at each step. Considering many noised versions of $x$ in evaluation of its fitness is a novel search mechanism that may lead to new algorithms for solving combinatorial optimization problems. The code is available at https://github.com/AlexGraikos/diffusion_priors.",https://api.openreview.net/pdf/0118a2f5ccd38ec90c6225a8a72f4c3f1a6fec7a.pdf,optimization;zero_few-shot;generative model;inference;segmentation;diffusion models,https://scholar.google.com/scholar?q=Diffusion+Models+as+Plug-and-Play+Priors
Deep Equilibrium Approaches to Diffusion Models,2022,NIPS,"['Ashwini Pokle', 'Zhengyang Geng', 'J Zico Kolter']",poster,"['diffusion models', 'deep equilibrium models', 'model inversion']","Diffusion-based generative models are extremely effective in generating high-quality images, with generated samples often surpassing the quality of those produced by other models under several metrics.  One distinguishing feature of these models, however, is that they typically require long sampling chains in order to produce high-fidelity images.  This presents a challenge not only from the lenses of sampling time, but also from the inherent difficulty in backpropagating through these chains in order to accomplish tasks such as model inversion, i.e., approximately finding latent states that generate known images.  In this paper, we look at diffusion models through a different perspective, that of a (deep) equilibrium (DEQ) fixed point model. Specifically, we extend the recent denoising diffusion implicit model (DDIM), and model the entire sampling chain as a joint, multi-variate fixed point system. This setup provides an elegant unification of diffusion and equilibrium models, and shows benefits in 1) single-shot image sampling, as it replaces the fully-serial typical sampling process with a parallel one; and 2) model inversion, where we can leverage fast gradients in the DEQ setting to much more quickly find the noise that generates a given image.  The approach is also orthogonal and thus complementary to other methods used to reduce the sampling time, or improve model inversion.  We demonstrate our method's strong performance across several datasets, including CIFAR10, CelebA, and LSUN Bedroom and Churches.",https://api.openreview.net/pdf/0ca15db2f78d0e731f11f1e36c4f3071cd864f9d.pdf,generative model;metric;diffusion models,https://scholar.google.com/scholar?q=Deep+Equilibrium+Approaches+to+Diffusion+Models
BinauralGrad: A Two-Stage Conditional Diffusion Probabilistic Model for Binaural Audio Synthesis,2022,NIPS,"['Yichong Leng', 'Zehua Chen', 'Junliang Guo', 'Haohe Liu', 'Jiawei Chen', 'Xu Tan', 'Danilo Mandic', 'Lei He', 'Xiangyang Li', 'Tao Qin', 'sheng zhao', 'Tie-Yan Liu']",poster,"['Binaural audio synthesis', 'Audio warping', 'Two-stage framework', 'Conditional diffusion probabilistic model']","Binaural audio plays a significant role in constructing immersive augmented and virtual realities. As it is expensive to record binaural audio from the real world, synthesizing them from mono audio has attracted increasing attention. This synthesis process involves not only the basic physical warping of the mono audio, but also room reverberations and head/ear related filtration, which, however, are difficult to accurately simulate in traditional digital signal processing. In this paper, we formulate the synthesis process from a different perspective by decomposing the binaural audio into a common part that shared by the left and right channels as well as a specific part that differs in each channel. Accordingly, we propose BinauralGrad, a novel two-stage framework equipped with diffusion models to synthesize them respectively. Specifically, in the first stage, the common information of the binaural audio is generated with a single-channel diffusion model conditioned on the mono audio, based on which the binaural audio is generated by a two-channel diffusion model in the second stage. Combining this novel perspective of two-stage synthesis with advanced generative models (i.e., the diffusion models), the proposed BinauralGrad is able to generate accurate and high-fidelity binaural audio samples. Experiment results show that on a benchmark dataset, BinauralGrad outperforms the existing baselines by a large margin in terms of both object and subject evaluation metrics (Wave L2: $0.128$ vs. $0.157$, MOS: $3.80$ vs. $3.61$). The generated audio samples\footnote{\url{https://speechresearch.github.io/binauralgrad}} and code\footnote{\url{https://github.com/microsoft/NeuralSpeech/tree/master/BinauralGrad}} are available online.",https://api.openreview.net/pdf/604d31618224981d44640e82a08046b6c5f06266.pdf,graph;transformer;generative model;online learning;metric;augmentation;diffusion models,https://scholar.google.com/scholar?q=BinauralGrad:+A+Two-Stage+Conditional+Diffusion+Probabilistic+Model+for+Binaural+Audio+Synthesis
Flexible Diffusion Modeling of Long Videos,2022,NIPS,"['William Harvey', 'Saeid Naderiparizi', 'Vaden Masrani', 'Christian Dietrich Weilbach', 'Frank Wood']",poster,"['generative modeling', 'denoising diffusion probabilistic model', 'video modeling']",We present a framework for video modeling based on denoising diffusion probabilistic models that produces long-duration video completions in a variety of realistic environments. We introduce a generative model that can at test-time sample any arbitrary subset of video frames conditioned on any other subset and present an architecture adapted for this purpose. Doing so allows us to efficiently compare and optimize a variety of schedules for the order in which frames in a long video are sampled and use selective sparse and long-range conditioning on previously sampled frames.  We demonstrate improved video modeling over prior work on a number of datasets and sample temporally coherent videos over 25 minutes in length.  We additionally release a new video modeling dataset and semantically meaningful metrics based on videos generated in the CARLA autonomous driving simulator.,https://api.openreview.net/pdf/758bc7d447bbd3b46f16006486f88a7b12a24562.pdf,zero_few-shot;generative model;metric;sparse;diffusion models,https://scholar.google.com/scholar?q=Flexible+Diffusion+Modeling+of+Long+Videos
Improving Diffusion Models for Inverse Problems using Manifold Constraints,2022,NIPS,"['Hyungjin Chung', 'Byeongsu Sim', 'Dohoon Ryu', 'Jong Chul Ye']",poster,"['Diffusion model', 'Inverse problem', 'Manifold constraint']","Recently, diffusion models have been used to solve various inverse problems in an unsupervised manner with appropriate modifications to the sampling process. However, the current solvers, which recursively apply a reverse diffusion step followed by a projection-based measurement consistency step, often produce sub-optimal results. By studying the generative sampling path, here we show that current solvers throw the sample path off the data manifold, and hence the error accumulates. To address this, we propose an additional correction term inspired by the manifold constraint, which can be used synergistically with the previous solvers to make the iterations close to the manifold. The proposed manifold constraint is straightforward to implement within a few lines of code, yet boosts the performance by a surprisingly large margin. With extensive experiments, we show that our method is superior to the previous methods both theoretically and empirically, producing promising results in many applications such as image inpainting, colorization, and sparse-view computed tomography. Code available https://github.com/HJ-harry/MCG_diffusion",https://api.openreview.net/pdf/f2338580f32aae78d068cb65c4723e358746b8b8.pdf,graph;optimization;zero_few-shot;generative model;sparse;diffusion models,https://scholar.google.com/scholar?q=Improving+Diffusion+Models+for+Inverse+Problems+using+Manifold+Constraints
Maximum Likelihood Training of Implicit Nonlinear Diffusion Model,2022,NIPS,"['Dongjun Kim', 'Byeonghu Na', 'Se Jung Kwon', 'Dongsoo Lee', 'Wanmo Kang', 'Il-chul Moon']",poster,"['Diffusion Model', 'Score-based Model', 'Generative Model', 'Image Generation']","Whereas diverse variations of diffusion models exist, extending the linear diffusion into a nonlinear diffusion process is investigated by very few works. The nonlinearity effect has been hardly understood, but intuitively, there would be promising diffusion patterns to efficiently train the generative distribution towards the data distribution. This paper introduces a data-adaptive nonlinear diffusion process for score-based diffusion models. The proposed Implicit Nonlinear Diffusion Model (INDM) learns by combining a normalizing flow and a diffusion process. Specifically, INDM implicitly constructs a nonlinear diffusion on the data space by leveraging a linear diffusion on the latent space through a flow network. This flow network is key to forming a nonlinear diffusion, as the nonlinearity depends on the flow network. This flexible nonlinearity improves the learning curve of INDM to nearly Maximum Likelihood Estimation (MLE) against the non-MLE curve of DDPM++, which turns out to be an inflexible version of INDM with the flow fixed as an identity mapping. Also, the discretization of INDM shows the sampling robustness. In experiments, INDM achieves the state-of-the-art FID of 1.75 on CelebA. We release our code at https://github.com/byeonghu-na/INDM.",https://api.openreview.net/pdf/bfd050f3af752cba05f980f98e3da8ffee8cce13.pdf,graph;zero_few-shot;generative model;online learning;adaptive;flow;diffusion models,https://scholar.google.com/scholar?q=Maximum+Likelihood+Training+of+Implicit+Nonlinear+Diffusion+Model
Conditional Diffusion Process for Inverse Halftoning,2022,NIPS,"['Hao Jiang', 'Yadong MU']",poster,[],"Inverse halftoning is a technique used to recover realistic images from ancient prints (\textit{e.g.}, photographs, newspapers, books). The rise of deep learning has led to the gradual incorporation of neural network designs into inverse halftoning methods. Most of existing inverse halftoning approaches adopt the U-net architecture, which uses an encoder to encode halftone prints, followed by a decoder for image reconstruction. However, the mainstream supervised learning paradigm with element-wise regression commonly adopted in U-net based methods has poor generalization ability in practical applications. Specifically, when there is a large gap between the dithering patterns of the training and test halftones, the reconstructed continuous-tone images have obvious artifacts. This is an important issue in practical applications, since the algorithms for generating halftones are ever-evolving. Even for the same algorithm, different parameter choices will result in different halftone dithering patterns. In this paper, we propose the first generative halftoning method in the literature, which regards the black pixels in halftones as physically moving particles, and makes the randomly distributed particles move under some certain guidance through reverse diffusion process, so as to obtain desired halftone patterns. In particular, we propose a Conditional Diffusion model for image Halftoning (CDH), which consists of a halftone dithering process and an inverse halftoning process. By changing the initial state of the diffusion model, our method can generate visually plausible halftones with different dithering patterns under the condition of image gray level and Laplacian prior. To avoid introducing redundant patterns and undesired artifacts, we propose a meta-halftone guided network to incorporate blue noise guidance in the diffusion process. In this way, halftone images subject to more diverse distributions are fed into the inverse halftoning model, which helps the model to learn a more robust mapping from halftone distributions to continuous-tone distributions, thereby improving the generalization ability to unseen samples. Quantitative and qualitative experimental results demonstrate that the proposed method achieves state-of-the-art results.",https://api.openreview.net/pdf/55e76913a7239520c9e768d0a18b51699def3fd7.pdf,graph;zero_few-shot;generative model;meta-learning;diffusion models,https://scholar.google.com/scholar?q=Conditional+Diffusion+Process+for+Inverse+Halftoning
Diffusion-LM Improves Controllable Text Generation,2022,NIPS,"['Xiang Lisa Li', 'John Thickstun', 'Ishaan Gulrajani', 'Percy Liang', 'Tatsunori Hashimoto']",poster,"['controllable text generation', 'controlled generation', 'infilling', 'language model', 'diffusion model']","Controlling the behavior of language models (LMs) without re-training is a major open problem in natural language generation. While recent works have demonstrated successes on controlling simple sentence attributes (e.g., sentiment), there has been little progress on complex, fine-grained controls (e.g., syntactic structure). To address this challenge, we develop a new non-autoregressive language model based on continuous diffusions that we call Diffusion-LM. Building upon the recent successes of diffusion models in continuous domains, Diffusion-LM iteratively denoises a sequence of Gaussian vectors into word vectors, yielding a sequence of intermediate latent variables. The continuous, hierarchical nature of these intermediate variables enables a simple gradient-based algorithm to perform complex, controllable generation tasks. We demonstrate successful control of Diffusion-LM for six challenging fine-grained control tasks, significantly outperforming prior work.",https://api.openreview.net/pdf/22d95846dcf1ef4a64faf610534b3d5d41776897.pdf,graph;generative model;diffusion models,https://scholar.google.com/scholar?q=Diffusion-LM+Improves+Controllable+Text+Generation
Score-based Generative Modeling Secretly Minimizes the Wasserstein Distance,2022,NIPS,"['Dohyun Kwon', 'Ying Fan', 'Kangwook Lee']",poster,"['score-based generative models', 'optimal transport', 'Wasserstein distance']","Score-based generative models are shown to achieve remarkable empirical performances in various applications such as image generation and audio synthesis. However, a theoretical understanding of score-based diffusion models is still incomplete. Recently, Song et al. showed that the training objective of score-based generative models is equivalent to minimizing the Kullback-Leibler divergence of the generated distribution from the data distribution. In this work, we show that score-based models also minimize the Wasserstein distance between them. Specifically, we prove that the Wasserstein distance is upper bounded by the square root of the objective function up to multiplicative constants and a fixed constant offset. Our proof is based on a novel application of the theory of optimal transport, which can be of independent interest to the society. Our numerical experiments support our findings. By analyzing our upper bounds, we provide a few techniques to obtain tighter upper bounds. ",https://api.openreview.net/pdf/86ab5fb1577ee8e97e4d5226025d9ff07d78cda3.pdf,generative model;diffusion models,https://scholar.google.com/scholar?q=Score-based+Generative+Modeling+Secretly+Minimizes+the+Wasserstein+Distance
