title,year,source,authors,class,keywords,abstract,pdf_link,topic,google_scholar_link
Few-Shot Image Generation via Cross-Domain Correspondence,2021,CVPR,Utkarsh Ojha;Yijun Li;Jingwan Lu;Alexei A. Efros;Yong Jae Lee;Eli Shechtman;Richard Zhang,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Ojha_Few-Shot_Image_Generation_via_Cross-Domain_Correspondence_CVPR_2021_paper.pdf,generative model;multimodal,https://scholar.google.com/scholar?q=Few-Shot+Image+Generation+via+Cross-Domain+Correspondence
Cross-Modal Collaborative Representation Learning and a Large-Scale RGBT Benchmark for Crowd Counting,2021,CVPR,Lingbo Liu;Jiaqi Chen;Hefeng Wu;Guanbin Li;Chenglong Li;Liang Lin,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Liu_Cross-Modal_Collaborative_Representation_Learning_and_a_Large-Scale_RGBT_Benchmark_for_CVPR_2021_paper.pdf,representation;multimodal,https://scholar.google.com/scholar?q=Cross-Modal+Collaborative+Representation+Learning+and+a+Large-Scale+RGBT+Benchmark+for+Crowd+Counting
Multimodal Contrastive Training for Visual Representation Learning,2021,CVPR,Xin Yuan;Zhe Lin;Jason Kuen;Jianming Zhang;Yilin Wang;Michael Maire;Ajinkya Kale;Baldo Faieta,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Yuan_Multimodal_Contrastive_Training_for_Visual_Representation_Learning_CVPR_2021_paper.pdf,representation;contrastive learning;multimodal,https://scholar.google.com/scholar?q=Multimodal+Contrastive+Training+for+Visual+Representation+Learning
Learning From the Master: Distilling Cross-Modal Advanced Knowledge for Lip Reading,2021,CVPR,Sucheng Ren;Yong Du;Jianming Lv;Guoqiang Han;Shengfeng He,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Ren_Learning_From_the_Master_Distilling_Cross-Modal_Advanced_Knowledge_for_Lip_CVPR_2021_paper.pdf,distillation;multimodal,https://scholar.google.com/scholar?q=Learning+From+the+Master:+Distilling+Cross-Modal+Advanced+Knowledge+for+Lip+Reading
Multi-Modal Fusion Transformer for End-to-End Autonomous Driving,2021,CVPR,Aditya Prakash;Kashyap Chitta;Andreas Geiger,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Prakash_Multi-Modal_Fusion_Transformer_for_End-to-End_Autonomous_Driving_CVPR_2021_paper.pdf,transformer;multimodal,https://scholar.google.com/scholar?q=Multi-Modal+Fusion+Transformer+for+End-to-End+Autonomous+Driving
Multi-Scale Aligned Distillation for Low-Resolution Detection,2021,CVPR,Lu Qi;Jason Kuen;Jiuxiang Gu;Zhe Lin;Yi Wang;Yukang Chen;Yanwei Li;Jiaya Jia,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Qi_Multi-Scale_Aligned_Distillation_for_Low-Resolution_Detection_CVPR_2021_paper.pdf,zero_few-shot;distillation;multimodal,https://scholar.google.com/scholar?q=Multi-Scale+Aligned+Distillation+for+Low-Resolution+Detection
Adaptive Cross-Modal Prototypes for Cross-Domain Visual-Language Retrieval,2021,CVPR,Yang Liu;Qingchao Chen;Samuel Albanie,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Liu_Adaptive_Cross-Modal_Prototypes_for_Cross-Domain_Visual-Language_Retrieval_CVPR_2021_paper.pdf,adaptive;multimodal,https://scholar.google.com/scholar?q=Adaptive+Cross-Modal+Prototypes+for+Cross-Domain+Visual-Language+Retrieval
Self-Aligned Video Deraining With Transmission-Depth Consistency,2021,CVPR,Wending Yan;Robby T. Tan;Wenhan Yang;Dengxin Dai,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Yan_Self-Aligned_Video_Deraining_With_Transmission-Depth_Consistency_CVPR_2021_paper.pdf,multimodal,https://scholar.google.com/scholar?q=Self-Aligned+Video+Deraining+With+Transmission-Depth+Consistency
Progressive Modality Reinforcement for Human Multimodal Emotion Recognition From Unaligned Multimodal Sequences,2021,CVPR,Fengmao Lv;Xiang Chen;Yanyong Huang;Lixin Duan;Guosheng Lin,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Lv_Progressive_Modality_Reinforcement_for_Human_Multimodal_Emotion_Recognition_From_Unaligned_CVPR_2021_paper.pdf,reinforcement learning;multimodal,https://scholar.google.com/scholar?q=Progressive+Modality+Reinforcement+for+Human+Multimodal+Emotion+Recognition+From+Unaligned+Multimodal+Sequences
Single Pair Cross-Modality Super Resolution,2021,CVPR,Guy Shacht;Dov Danon;Sharon Fogel;Daniel Cohen-Or,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Shacht_Single_Pair_Cross-Modality_Super_Resolution_CVPR_2021_paper.pdf,multimodal,https://scholar.google.com/scholar?q=Single+Pair+Cross-Modality+Super+Resolution
Learning Cross-Modal Retrieval With Noisy Labels,2021,CVPR,Peng Hu;Xi Peng;Hongyuan Zhu;Liangli Zhen;Jie Lin,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Hu_Learning_Cross-Modal_Retrieval_With_Noisy_Labels_CVPR_2021_paper.pdf,multimodal,https://scholar.google.com/scholar?q=Learning+Cross-Modal+Retrieval+With+Noisy+Labels
Cross-Domain Adaptive Clustering for Semi-Supervised Domain Adaptation,2021,CVPR,Jichang Li;Guanbin Li;Yemin Shi;Yizhou Yu,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Li_Cross-Domain_Adaptive_Clustering_for_Semi-Supervised_Domain_Adaptation_CVPR_2021_paper.pdf,adaptive;multimodal,https://scholar.google.com/scholar?q=Cross-Domain+Adaptive+Clustering+for+Semi-Supervised+Domain+Adaptation
OTCE: A Transferability Metric for Cross-Domain Cross-Task Representations,2021,CVPR,Yang Tan;Yang Li;Shao-Lun Huang,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Tan_OTCE_A_Transferability_Metric_for_Cross-Domain_Cross-Task_Representations_CVPR_2021_paper.pdf,representation;metric;transfer learning;multimodal,https://scholar.google.com/scholar?q=OTCE:+A+Transferability+Metric+for+Cross-Domain+Cross-Task+Representations
Cross-Modal Center Loss for 3D Cross-Modal Retrieval,2021,CVPR,Longlong Jing;Elahe Vahdani;Jiaxing Tan;Yingli Tian,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Jing_Cross-Modal_Center_Loss_for_3D_Cross-Modal_Retrieval_CVPR_2021_paper.pdf,multimodal;3d,https://scholar.google.com/scholar?q=Cross-Modal+Center+Loss+for+3D+Cross-Modal+Retrieval
Cross-Modal Contrastive Learning for Text-to-Image Generation,2021,CVPR,Han Zhang;Jing Yu Koh;Jason Baldridge;Honglak Lee;Yinfei Yang,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Zhang_Cross-Modal_Contrastive_Learning_for_Text-to-Image_Generation_CVPR_2021_paper.pdf,generative model;contrastive learning;multimodal,https://scholar.google.com/scholar?q=Cross-Modal+Contrastive+Learning+for+Text-to-Image+Generation
Defending Multimodal Fusion Models Against Single-Source Adversaries,2021,CVPR,Karren Yang;Wan-Yi Lin;Manash Barman;Filipe Condessa;Zico Kolter,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Yang_Defending_Multimodal_Fusion_Models_Against_Single-Source_Adversaries_CVPR_2021_paper.pdf,multimodal,https://scholar.google.com/scholar?q=Defending+Multimodal+Fusion+Models+Against+Single-Source+Adversaries
PointAugmenting: Cross-Modal Augmentation for 3D Object Detection,2021,CVPR,Chunwei Wang;Chao Ma;Ming Zhu;Xiaokang Yang,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Wang_PointAugmenting_Cross-Modal_Augmentation_for_3D_Object_Detection_CVPR_2021_paper.pdf,augmentation;multimodal;3d,https://scholar.google.com/scholar?q=PointAugmenting:+Cross-Modal+Augmentation+for+3D+Object+Detection
There Is More Than Meets the Eye: Self-Supervised Multi-Object Detection and Tracking With Sound by Distilling Multimodal Knowledge,2021,CVPR,Francisco Rivera Valverde;Juana Valeria Hurtado;Abhinav Valada,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Valverde_There_Is_More_Than_Meets_the_Eye_Self-Supervised_Multi-Object_Detection_CVPR_2021_paper.pdf,zero_few-shot;distillation;multimodal,https://scholar.google.com/scholar?q=There+Is+More+Than+Meets+the+Eye:+Self-Supervised+Multi-Object+Detection+and+Tracking+With+Sound+by+Distilling+Multimodal+Knowledge
Discover Cross-Modality Nuances for Visible-Infrared Person Re-Identification,2021,CVPR,Qiong Wu;Pingyang Dai;Jie Chen;Chia-Wen Lin;Yongjian Wu;Feiyue Huang;Bineng Zhong;Rongrong Ji,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Wu_Discover_Cross-Modality_Nuances_for_Visible-Infrared_Person_Re-Identification_CVPR_2021_paper.pdf,multimodal,https://scholar.google.com/scholar?q=Discover+Cross-Modality+Nuances+for+Visible-Infrared+Person+Re-Identification
Cross-Domain Gradient Discrepancy Minimization for Unsupervised Domain Adaptation,2021,CVPR,Zhekai Du;Jingjing Li;Hongzu Su;Lei Zhu;Ke Lu,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Du_Cross-Domain_Gradient_Discrepancy_Minimization_for_Unsupervised_Domain_Adaptation_CVPR_2021_paper.pdf,multimodal,https://scholar.google.com/scholar?q=Cross-Domain+Gradient+Discrepancy+Minimization+for+Unsupervised+Domain+Adaptation
Robust Multimodal Vehicle Detection in Foggy Weather Using Complementary Lidar and Radar Signals,2021,CVPR,Kun Qian;Shilin Zhu;Xinyu Zhang;Li Erran Li,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Qian_Robust_Multimodal_Vehicle_Detection_in_Foggy_Weather_Using_Complementary_Lidar_CVPR_2021_paper.pdf,multimodal,https://scholar.google.com/scholar?q=Robust+Multimodal+Vehicle+Detection+in+Foggy+Weather+Using+Complementary+Lidar+and+Radar+Signals
M3P: Learning Universal Representations via Multitask Multilingual Multimodal Pre-Training,2021,CVPR,Minheng Ni;Haoyang Huang;Lin Su;Edward Cui;Taroon Bharti;Lijuan Wang;Dongdong Zhang;Nan Duan,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Ni_M3P_Learning_Universal_Representations_via_Multitask_Multilingual_Multimodal_Pre-Training_CVPR_2021_paper.pdf,representation;multimodal,https://scholar.google.com/scholar?q=M3P:+Learning+Universal+Representations+via+Multitask+Multilingual+Multimodal+Pre-Training
VisualVoice: Audio-Visual Speech Separation With Cross-Modal Consistency,2021,CVPR,Ruohan Gao;Kristen Grauman,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Gao_VisualVoice_Audio-Visual_Speech_Separation_With_Cross-Modal_Consistency_CVPR_2021_paper.pdf,multimodal,https://scholar.google.com/scholar?q=VisualVoice:+Audio-Visual+Speech+Separation+With+Cross-Modal+Consistency
Partially View-Aligned Representation Learning With Noise-Robust Contrastive Loss,2021,CVPR,Mouxing Yang;Yunfan Li;Zhenyu Huang;Zitao Liu;Peng Hu;Xi Peng,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Yang_Partially_View-Aligned_Representation_Learning_With_Noise-Robust_Contrastive_Loss_CVPR_2021_paper.pdf,representation;contrastive learning;multimodal,https://scholar.google.com/scholar?q=Partially+View-Aligned+Representation+Learning+With+Noise-Robust+Contrastive+Loss
StEP: Style-Based Encoder Pre-Training for Multi-Modal Image Synthesis,2021,CVPR,Moustafa Meshry;Yixuan Ren;Larry S. Davis;Abhinav Shrivastava,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Meshry_StEP_Style-Based_Encoder_Pre-Training_for_Multi-Modal_Image_Synthesis_CVPR_2021_paper.pdf,multimodal,https://scholar.google.com/scholar?q=StEP:+Style-Based+Encoder+Pre-Training+for+Multi-Modal+Image+Synthesis
Multimodal Motion Prediction With Stacked Transformers,2021,CVPR,Yicheng Liu;Jinghuai Zhang;Liangji Fang;Qinhong Jiang;Bolei Zhou,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Liu_Multimodal_Motion_Prediction_With_Stacked_Transformers_CVPR_2021_paper.pdf,transformer;multimodal,https://scholar.google.com/scholar?q=Multimodal+Motion+Prediction+With+Stacked+Transformers
EvDistill: Asynchronous Events To End-Task Learning via Bidirectional Reconstruction-Guided Cross-Modal Knowledge Distillation,2021,CVPR,Lin Wang;Yujeong Chae;Sung-Hoon Yoon;Tae-Kyun Kim;Kuk-Jin Yoon,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Wang_EvDistill_Asynchronous_Events_To_End-Task_Learning_via_Bidirectional_Reconstruction-Guided_Cross-Modal_CVPR_2021_paper.pdf,distillation;multimodal,https://scholar.google.com/scholar?q=EvDistill:+Asynchronous+Events+To+End-Task+Learning+via+Bidirectional+Reconstruction-Guided+Cross-Modal+Knowledge+Distillation
LaPred: Lane-Aware Prediction of Multi-Modal Future Trajectories of Dynamic Agents,2021,CVPR,ByeoungDo Kim;Seong Hyeon Park;Seokhwan Lee;Elbek Khoshimjonov;Dongsuk Kum;Junsoo Kim;Jeong Soo Kim;Jun Won Choi,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Kim_LaPred_Lane-Aware_Prediction_of_Multi-Modal_Future_Trajectories_of_Dynamic_Agents_CVPR_2021_paper.pdf,reinforcement learning;multimodal,https://scholar.google.com/scholar?q=LaPred:+Lane-Aware+Prediction+of+Multi-Modal+Future+Trajectories+of+Dynamic+Agents
Unbiased Mean Teacher for Cross-Domain Object Detection,2021,CVPR,Jinhong Deng;Wen Li;Yuhua Chen;Lixin Duan,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Deng_Unbiased_Mean_Teacher_for_Cross-Domain_Object_Detection_CVPR_2021_paper.pdf,multimodal,https://scholar.google.com/scholar?q=Unbiased+Mean+Teacher+for+Cross-Domain+Object+Detection
How2Sign: A Large-Scale Multimodal Dataset for Continuous American Sign Language,2021,CVPR,Amanda Duarte;Shruti Palaskar;Lucas Ventura;Deepti Ghadiyaram;Kenneth DeHaan;Florian Metze;Jordi Torres;Xavier Giro-i-Nieto,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Duarte_How2Sign_A_Large-Scale_Multimodal_Dataset_for_Continuous_American_Sign_Language_CVPR_2021_paper.pdf,multimodal,https://scholar.google.com/scholar?q=How2Sign:+A+Large-Scale+Multimodal+Dataset+for+Continuous+American+Sign+Language
Shared Cross-Modal Trajectory Prediction for Autonomous Driving,2021,CVPR,Chiho Choi;Joon Hee Choi;Jiachen Li;Srikanth Malla,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Choi_Shared_Cross-Modal_Trajectory_Prediction_for_Autonomous_Driving_CVPR_2021_paper.pdf,multimodal,https://scholar.google.com/scholar?q=Shared+Cross-Modal+Trajectory+Prediction+for+Autonomous+Driving
Revamping Cross-Modal Recipe Retrieval With Hierarchical Transformers and Self-Supervised Learning,2021,CVPR,Amaia Salvador;Erhan Gundogdu;Loris Bazzani;Michael Donoser,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Salvador_Revamping_Cross-Modal_Recipe_Retrieval_With_Hierarchical_Transformers_and_Self-Supervised_Learning_CVPR_2021_paper.pdf,zero_few-shot;transformer;multimodal,https://scholar.google.com/scholar?q=Revamping+Cross-Modal+Recipe+Retrieval+With+Hierarchical+Transformers+and+Self-Supervised+Learning
Geo-FARM: Geodesic Factor Regression Model for Misaligned Pre-Shape Responses in Statistical Shape Analysis,2021,CVPR,Chao Huang;Anuj Srivastava;Rongjie Liu,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Huang_Geo-FARM_Geodesic_Factor_Regression_Model_for_Misaligned_Pre-Shape_Responses_in_CVPR_2021_paper.pdf,multimodal,https://scholar.google.com/scholar?q=Geo-FARM:+Geodesic+Factor+Regression+Model+for+Misaligned+Pre-Shape+Responses+in+Statistical+Shape+Analysis
Looking Into Your Speech: Learning Cross-Modal Affinity for Audio-Visual Speech Separation,2021,CVPR,Jiyoung Lee;Soo-Whan Chung;Sunok Kim;Hong-Goo Kang;Kwanghoon Sohn,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Lee_Looking_Into_Your_Speech_Learning_Cross-Modal_Affinity_for_Audio-Visual_Speech_CVPR_2021_paper.pdf,multimodal,https://scholar.google.com/scholar?q=Looking+Into+Your+Speech:+Learning+Cross-Modal+Affinity+for+Audio-Visual+Speech+Separation
Repurposing Pretrained Models for Robust Out-of-domain Few-Shot Learning,2021,ICLR,"['Namyeong Kwon', 'Hwidong Na', 'Gabriel Huang', 'Simon Lacoste-Julien']",poster,"['Meta-learning', 'Few-shot learning', 'Out-of-domain', 'Uncertainty', 'Ensemble', 'Adversarial training', 'Stepsize optimization']","Model-agnostic meta-learning (MAML) is a popular method for few-shot learning but assumes that we have access to the meta-training set. In practice, training on the meta-training set may not always be an option due to data privacy concerns, intellectual property issues, or merely lack of computing resources. In this paper, we consider the novel problem of repurposing pretrained MAML checkpoints to solve new few-shot classification tasks. Because of the potential distribution mismatch, the original MAML steps may no longer be optimal. Therefore we propose an alternative meta-testing procedure and combine MAML gradient steps with adversarial training and uncertainty-based stepsize adaptation. Our method outperforms ""vanilla"" MAML on same-domain and cross-domains benchmarks using both SGD and Adam optimizers and shows improved robustness to the choice of base stepsize.",/pdf/d7cdb4aa01e48fb3d0a82cabe99b8fe0b1c57f47.pdf,graph;zero_few-shot;meta-learning;multimodal,https://scholar.google.com/scholar?q=Repurposing+Pretrained+Models+for+Robust+Out-of-domain+Few-Shot+Learning
A Distributional Perspective on Actor-Critic Framework,2021,ICLR,"['Daniel Wontae Nam', 'Younghoon Kim', 'Chan Youn Park']",poster,"['Value distribution learning', 'reinforcement learning', 'deep learning', 'distributional reinforcement learning', 'distributional actor-critic']","Recent distributional reinforcement learning methods, despite their successes, still contain fundamental problems that can lead to inaccurate representations of value distributions, such as distributional instability, action type restriction, and conflation between samples and statistics. In this paper, we present a novel distributional actor-critic framework, GMAC, to address such problems. Adopting a stochastic policy removes the first two problems, and the conflation in the approximation is alleviated by minimizing the Crame ́r distance between the value distribution and its Bellman target distribution. In addition, GMAC improves data efficiency by generating the Bellman target distribution through the Sample-Replacement algorithm, denoted by SR(λ), which provides a distributional generalization of multi-step policy evaluation algorithms. We empirically show that our method captures the multimodality of value distributions and improves the performance of a conventional actor-critic method with low computational cost in both discrete and continuous action spaces, using Arcade Learning Environment (ALE) and PyBullet environment.",/pdf/a75d1906a44178f2a5a092af52c2c522af21faec.pdf,reinforcement learning;zero_few-shot;representation;multimodal,https://scholar.google.com/scholar?q=A+Distributional+Perspective+on+Actor-Critic+Framework
Cross-Probe BERT for Efficient and Effective Cross-Modal Search,2021,ICLR,"['TAN YU', 'Hongliang Fei', 'Ping Li']",poster,[],"Inspired by the great success of BERT in NLP tasks, many text-vision BERT models emerged recently. Benefited from cross-modal attention,  text-vision BERT models have achieved excellent performance in many language-vision tasks including text-image retrieval.   Nevertheless,  cross-modal attentions used in text-vision BERT models require too expensive computation cost when solving text-vision retrieval, which is impractical for large-scale search. In this work, we develop a novel architecture, Cross-Probe BERT.  It relies on devised text and vision probes, and cross-modal attentions are conducted on text and vision probes.  It takes lightweight computation cost, and meanwhile effectively exploits cross-modal attention.  Systematic experiments conducted on two public benchmarks demonstrate state-of-the-art effectiveness and efficiency of the proposed method.",/pdf/bfe1d62b8bfc84e8b127b5d895a48c66d4de5d0d.pdf,transformer;multimodal,https://scholar.google.com/scholar?q=Cross-Probe+BERT+for+Efficient+and+Effective+Cross-Modal+Search
