title,year,source,authors,class,keywords,abstract,pdf_link,topic,google_scholar_link
Evaluations and Methods for Explanation through Robustness Analysis,2021,ICLR,"['Cheng-Yu Hsieh', 'Chih-Kuan Yeh', 'Xuanqing Liu', 'Pradeep Kumar Ravikumar', 'Seungyeon Kim', 'Sanjiv Kumar', 'Cho-Jui Hsieh']",poster,"['Interpretability', 'Explanations', 'Adversarial Robustness']","Feature based explanations, that provide importance of each feature towards the model prediction, is arguably one of the most intuitive ways to explain a model. In this paper, we establish a novel set of evaluation criteria for such feature based explanations by robustness analysis. In contrast to existing evaluations which require us to specify some way to ""remove"" features that could inevitably introduces biases and artifacts, we make use of the subtler notion of smaller adversarial perturbations. By optimizing towards our proposed evaluation criteria, we obtain new explanations that are loosely necessary and sufficient for a prediction. We further extend the explanation to extract the set of features that would move the current prediction to a target class by adopting targeted adversarial attack for the robustness analysis. Through experiments across multiple domains and a user study, we validate the usefulness of our evaluation criteria and our derived explanations.",/pdf/d6f38258eb28ef886c3aee4efb08046abbe76e5a.pdf,llm,https://scholar.google.com/scholar?q=Evaluations+and+Methods+for+Explanation+through+Robustness+Analysis
BREEDS: Benchmarks for Subpopulation Shift,2021,ICLR,"['Shibani Santurkar', 'Dimitris Tsipras', 'Aleksander Madry']",poster,"['benchmarks', 'distribution shift', 'hierarchy', 'robustness']","We develop a methodology for assessing the robustness of models to subpopulation shift---specifically, their ability to generalize to novel data subpopulations that were not observed during training. Our approach leverages the class structure underlying existing datasets to control the data subpopulations that comprise the training and test distributions. This enables us to synthesize realistic distribution shifts whose sources can be precisely controlled and characterized, within existing
large-scale datasets. Applying this methodology to the ImageNet dataset, we create a suite of subpopulation shift benchmarks of varying granularity. We then validate that the corresponding shifts are tractable by obtaining human baselines. Finally, we utilize these benchmarks to measure the sensitivity of standard model architectures as well as the effectiveness of existing train-time robustness interventions. ",/pdf/267e1b0387f6edaaa3b1145def1009b6803d55b6.pdf,llm,https://scholar.google.com/scholar?q=BREEDS:+Benchmarks+for+Subpopulation+Shift
Selectivity considered harmful: evaluating the causal impact of class selectivity in DNNs,2021,ICLR,"['Matthew L Leavitt', 'Ari S. Morcos']",poster,"['interpretability', 'explainability', 'empirical analysis', 'deep learning', 'selectivity']","The properties of individual neurons are often analyzed in order to understand the biological and artificial neural networks in which they're embedded. Class selectivity—typically defined as how different a neuron's responses are across different classes of stimuli or data samples—is commonly used for this purpose. However, it remains an open question whether it is necessary and/or sufficient for deep neural networks (DNNs) to learn class selectivity in individual units. We investigated the causal impact of class selectivity on network function by directly regularizing for or against class selectivity. Using this regularizer to reduce class selectivity across units in convolutional neural networks increased test accuracy by over 2% in ResNet18 and 1% in ResNet50 trained on Tiny ImageNet. For ResNet20 trained on CIFAR10 we could reduce class selectivity by a factor of 2.5 with no impact on test accuracy, and reduce it nearly to zero with only a small (~2%) drop in test accuracy. In contrast, regularizing to increase class selectivity significantly decreased test accuracy across all models and datasets. These results indicate that class selectivity in individual units is neither sufficient nor strictly necessary, and can even impair DNN performance. They also encourage caution when focusing on the properties of single units as representative of the mechanisms by which DNNs function.",/pdf/17afa91e20d55de3a216e07f59e5ab74d27027a6.pdf,llm,https://scholar.google.com/scholar?q=Selectivity+considered+harmful:+evaluating+the+causal+impact+of+class+selectivity+in+DNNs
Mapping the Timescale Organization of Neural Language Models,2021,ICLR,"['Hsiang-Yun Sherry Chien', 'Jinhan Zhang', 'Christopher Honey']",poster,"['natural language processing', 'LSTM', 'timescale', 'hierarchy', 'temporal context']","In the human brain, sequences of language input are processed within a distributed and hierarchical architecture, in which higher stages of processing encode contextual information over longer timescales. In contrast, in recurrent neural networks which perform natural language processing, we know little about how the multiple timescales of contextual information are functionally organized. Therefore, we applied tools developed in neuroscience to map the “processing timescales” of individual units within a word-level LSTM language model. This timescale-mapping method assigned long timescales to units previously found to track long-range syntactic dependencies. Additionally, the mapping revealed a small subset of the network (less than 15% of units) with long timescales and whose function had not previously been explored. We next probed the functional organization of the network by examining the relationship between the processing timescale of units and their network connectivity. We identified two classes of long-timescale units: “controller” units composed a densely interconnected subnetwork and strongly projected to the rest of the network, while “integrator” units showed the longest timescales in the network, and expressed projection profiles closer to the mean projection profile. Ablating integrator and controller units affected model performance at different positions within a sentence, suggesting distinctive functions of these two sets of units. Finally, we tested the generalization of these results to a character-level LSTM model and models with different architectures. In summary, we demonstrated a model-free technique for mapping the timescale organization in recurrent neural networks, and we applied this method to reveal the timescale and functional organization of neural language models",/pdf/13cd0af93335a87135e32f629677ce93f146f5bb.pdf,llm,https://scholar.google.com/scholar?q=Mapping+the+Timescale+Organization+of+Neural+Language+Models
Learning to live with Dale's principle: ANNs with separate excitatory and inhibitory units,2021,ICLR,"['Jonathan Cornford', 'Damjan Kalajdzievski', 'Marco Leite', 'Amélie Lamarquette', 'Dimitri Michael Kullmann', 'Blake Aaron Richards']",poster,[]," The units in artificial neural networks (ANNs) can be thought of as abstractions of biological neurons, and ANNs are increasingly used in neuroscience research. However, there are many important differences between ANN units and real neurons. One of the most notable is the absence of Dale's principle, which ensures that biological neurons are either exclusively excitatory or inhibitory. Dale's principle is typically left out of ANNs because its inclusion impairs learning. This is problematic, because one of the great advantages of ANNs for neuroscience research is their ability to learn complicated, realistic tasks. Here, by taking inspiration from feedforward inhibitory interneurons in the brain we show that we can develop ANNs with separate populations of excitatory and inhibitory units that learn just as well as standard ANNs. We call these networks Dale's ANNs (DANNs). We present two insights that enable DANNs to learn well: (1) DANNs are related to normalization schemes, and can be initialized such that the inhibition centres and standardizes the excitatory activity, (2) updates to inhibitory neuron parameters should be scaled using corrections based on the Fisher Information matrix. These results demonstrate how ANNs that respect Dale's principle can be built without sacrificing learning performance, which is important for future work using ANNs as models of the brain. The results may also have interesting implications for how inhibitory plasticity in the real brain operates.",/pdf/4ec70d1b966600fcb426c0ea0982e93dd870f226.pdf,llm,https://scholar.google.com/scholar?q=Learning+to+live+with+Dale's+principle:+ANNs+with+separate+excitatory+and+inhibitory+units
H-divergence: A Decision-Theoretic Probability Discrepancy Measure ,2021,ICLR,"['Shengjia Zhao', 'Abhishek Sinha', 'Yutong He', 'Aidan Perreault', 'Jiaming Song', 'Stefano Ermon']",poster,"['probability divergence', 'two sample test', 'maximum mean discrepancy']","Measuring the discrepancy between two probability distributions is a fundamental problem in machine learning and statistics. Based on ideas from decision theory, we investigate a new class of discrepancies that are based on the optimal decision loss. Two probability distributions are different if the optimal decision loss is higher on the mixture distribution than on each individual distribution. We show that this generalizes popular notions of discrepancy measurements such as the Jensen Shannon divergence and the maximum mean discrepancy. We apply our approach to two-sample tests, which evaluates whether two sets of samples come from the same distribution. On various benchmark and real datasets, we demonstrate that tests based on our generalized notion of discrepancy is able to achieve superior test power. We also apply our approach to sample quality evaluation as an alternative to the FID score, and to understanding the effects of climate change on different social and economic activities.",/pdf/29ba5a99028c5547427fa70d85282376463a9d0c.pdf,llm,https://scholar.google.com/scholar?q=H-divergence:+A+Decision-Theoretic+Probability+Discrepancy+Measure+
Gradient Starvation: A Learning Proclivity in Neural Networks,2021,NIPS,"['Mohammad Pezeshki', 'Sékou-Oumar Kaba', 'Yoshua Bengio', 'Aaron Courville', 'Doina Precup', 'Guillaume Lajoie']",poster,"['generalization', 'neural networks', 'dynamics', 'OOD']","We identify and formalize a fundamental gradient descent phenomenon resulting in a learning proclivity in over-parameterized neural networks. Gradient Starvation arises when cross-entropy loss is minimized by capturing only a subset of features relevant for the task, despite the presence of other predictive features that fail to be discovered. This work provides a theoretical explanation for the emergence of such feature imbalance in neural networks. Using tools from Dynamical Systems theory, we identify simple properties of learning dynamics during gradient descent that lead to this imbalance, and prove that such a situation can be expected given certain statistical structure in training data. Based on our proposed formalism, we develop guarantees for a novel regularization method aimed at decoupling feature learning dynamics, improving accuracy and robustness in cases hindered by gradient starvation. We illustrate our findings with simple and real-world out-of-distribution (OOD) generalization experiments.",https://api.openreview.net/pdf/21c50d2f86dc6f460965f26c29beb5681b6e510d.pdf,llm,https://scholar.google.com/scholar?q=Gradient+Starvation:+A+Learning+Proclivity+in+Neural+Networks
Uniform Concentration Bounds toward a Unified  Framework for Robust Clustering,2021,NIPS,"['Debolina Paul', 'Saptarshi Chakraborty', 'Swagatam Das', 'Jason Xu']",spotlight,"['k-means', 'median of means', 'metric entropy bounds', 'Bregman divergences', 'Iterative optimization']","Recent advances in center-based clustering continue to improve upon the drawbacks of Lloyd's celebrated $k$-means algorithm over $60$ years after its introduction. Various methods seek to address poor local minima, sensitivity to outliers, and data that are not well-suited to Euclidean measures of fit, but many are supported largely empirically. Moreover, combining such approaches in a piecemeal manner can result in ad hoc methods, and the limited theoretical results supporting each individual contribution may no longer hold. Toward addressing these issues in a principled way, this paper proposes a cohesive robust framework for center-based clustering under a general class of dissimilarity measures. In particular, we present a rigorous theoretical treatment within a Median-of-Means (MoM) estimation framework, showing that it subsumes several popular $k$-means variants. In addition to unifying existing methods, we derive uniform concentration bounds that complete their analyses, and bridge these results to the MoM framework via Dudley's chaining arguments. Importantly, we neither require any assumptions on the distribution of the outlying observations nor on the relative number of observations $n$ to features $p$. We establish strong consistency and an error rate of $O(n^{-1/2})$ under mild conditions, surpassing the best-known results in the literature. The methods are empirically validated thoroughly on real and synthetic datasets. ",https://api.openreview.net/pdf/453f82f5781b7ab06f4b1abdf295f913a9c0492a.pdf,llm,https://scholar.google.com/scholar?q=Uniform+Concentration+Bounds+toward+a+Unified++Framework+for+Robust+Clustering
Unadversarial Examples: Designing Objects for Robust Vision,2021,NIPS,"['Hadi Salman', 'Andrew Ilyas', 'Logan Engstrom', 'Sai Vemprala', 'Aleksander Madry', 'Ashish Kapoor']",poster,"['adversarial robustness', 'adversarial examples', 'computer vision']","We study a class of computer vision settings wherein one can modify the design of the objects being recognized. We develop a framework that leverages this capability---and deep networks' unusual sensitivity to input perturbations---to design ``robust objects,'' i.e., objects that are explicitly optimized to be confidently classified. Our framework yields improved performance on standard benchmarks, a simulated robotics environment, and physical-world experiments. ",https://api.openreview.net/pdf/1cc83c21b173d77ddd6cec1a946b38cd3219c62c.pdf,llm,https://scholar.google.com/scholar?q=Unadversarial+Examples:+Designing+Objects+for+Robust+Vision
Directed Spectrum Measures Improve Latent Network Models Of Neural Populations,2021,NIPS,"['Neil Gallagher', 'Kafui Dzirasa', 'David Carlson']",poster,"['functional brain networks', 'linear factor models', 'directed connectivity', 'directed spectrum']","Systems neuroscience aims to understand how networks of neurons distributed throughout the brain mediate computational tasks. One popular approach to identify those networks is to first calculate measures of neural activity (e.g. power spectra) from multiple brain regions, and then apply a linear factor model to those measures. Critically, despite the established role of directed communication between brain regions in neural computation, measures of directed communication have been rarely utilized in network estimation because they are incompatible with the implicit assumptions of the linear factor model approach. Here, we develop a novel spectral measure of directed communication called the Directed Spectrum (DS). We prove that it is compatible with the implicit assumptions of linear factor models, and we provide a method to estimate the DS. We demonstrate that latent linear factor models of DS measures better capture underlying brain networks in both simulated and real neural recording data compared to available alternatives. Thus, linear factor models of the Directed Spectrum offer neuroscientists a simple and effective way to explicitly model directed communication in networks of neural populations.",https://api.openreview.net/pdf/5d5942b8a57a1b4eca409476bdd28481b4329155.pdf,llm,https://scholar.google.com/scholar?q=Directed+Spectrum+Measures+Improve+Latent+Network+Models+Of+Neural+Populations
Instance-optimal Mean Estimation Under Differential Privacy,2021,NIPS,"['Ziyue Huang', 'Yuting Liang', 'Ke Yi']",poster,"['Mean estimation', 'differential privacy', 'instance optimality']","Mean estimation under differential privacy is a fundamental problem, but worst-case optimal mechanisms do not offer meaningful utility guarantees in practice when the global sensitivity is very large.  Instead, various heuristics have been proposed to reduce the error on real-world data that do not resemble the worst-case instance.  This paper takes a principled approach, yielding a mechanism that is instance-optimal in a strong sense.  In addition to its theoretical optimality, the mechanism is also simple and practical, and adapts to a variety of data characteristics without the need of parameter tuning.  It easily extends to the local and shuffle model as well.",https://api.openreview.net/pdf/3552edcb4c56eb621531e15c8bb69b6cb280f64a.pdf,llm,https://scholar.google.com/scholar?q=Instance-optimal+Mean+Estimation+Under+Differential+Privacy
Proxy-Normalizing Activations to Match Batch Normalization while Removing Batch Dependence,2021,NIPS,"['Antoine Labatie', 'Dominic Masters', 'Zach Eaton-Rosen', 'Carlo Luschi']",poster,"['Batch-Independent Normalization', 'Batch Normalization', 'Layer Normalization', 'Group Normalization', 'Instance Normalization', 'Deep Learning Theory', 'CNNs', 'ResNets', 'ResNeXts', 'EfficientNets']","We investigate the reasons for the performance degradation incurred with batch-independent normalization. We find that the prototypical techniques of layer normalization and instance normalization both induce the appearance of failure modes in the neural network's pre-activations: (i) layer normalization induces a collapse towards channel-wise constant functions; (ii) instance normalization induces a lack of variability in instance statistics, symptomatic of an alteration of the expressivity. To alleviate failure mode (i) without aggravating failure mode (ii), we introduce the technique ""Proxy Normalization"" that normalizes post-activations using a proxy distribution. When combined with layer normalization or group normalization, this batch-independent normalization emulates batch normalization's behavior and consistently matches or exceeds its performance.",https://api.openreview.net/pdf/7261daa0c245e94148ba4496f7ae3a06a7457b80.pdf,llm,https://scholar.google.com/scholar?q=Proxy-Normalizing+Activations+to+Match+Batch+Normalization+while+Removing+Batch+Dependence
Adversarial Neuron Pruning Purifies Backdoored Deep Models,2021,NIPS,"['Dongxian Wu', 'Yisen Wang']",poster,"['backdoor attacks', 'backdoor defense', 'AI security', 'trustworthy machine learning']","As deep neural networks (DNNs) are growing larger, their requirements for computational resources become huge, which makes outsourcing training more popular. Training in a third-party platform, however, may introduce potential risks that a malicious trainer will return backdoored DNNs, which behave normally on clean samples but output targeted misclassifications whenever a trigger appears at the test time. Without any knowledge of the trigger, it is difficult to distinguish or recover benign DNNs from backdoored ones. In this paper, we first identify an unexpected sensitivity of backdoored DNNs, that is, they are much easier to collapse and tend to predict the target label on clean samples when their neurons are adversarially perturbed. Based on these observations, we propose a novel model repairing method, termed Adversarial Neuron Pruning (ANP), which prunes some sensitive neurons to purify the injected backdoor. Experiments show, even with only an extremely small amount of clean data (e.g., 1%), ANP effectively removes the injected backdoor without causing obvious performance degradation.",https://api.openreview.net/pdf/d24a110cbbd5437697488a5e5906b77e31f725b9.pdf,llm,https://scholar.google.com/scholar?q=Adversarial+Neuron+Pruning+Purifies+Backdoored+Deep+Models
An Analysis of Constant Step Size SGD in the Non-convex Regime: Asymptotic Normality and Bias,2021,NIPS,"['Lu Yu', 'Krishna Balasubramanian', 'Stanislav Volgushev', 'Murat A Erdogdu']",poster,"['Constant Step Size SGD', 'Non-convex optimization', 'Polyak-Ruppert averaging', 'CLT']"," Structured non-convex learning problems, for which critical points have favorable statistical properties, arise frequently in statistical machine learning. Algorithmic convergence and statistical estimation rates are well-understood for such problems. However, quantifying the uncertainty associated with the underlying training algorithm is not well-studied in the non-convex setting. In order to address this shortcoming, in this work, we establish an asymptotic normality result for the constant step size stochastic gradient descent (SGD)  algorithm---a widely used algorithm in practice. Specifically, based on the relationship between SGD and Markov Chains  [DDB19], we show that the average of SGD iterates is asymptotically normally distributed around the expected value of their unique invariant distribution, as long as the non-convex and non-smooth objective function satisfies a dissipativity property. We also characterize the bias between this expected value and the critical points of the objective function under various local regularity conditions. Together, the above two results could be leveraged to construct confidence intervals for non-convex problems that are trained using the SGD algorithm.",https://api.openreview.net/pdf/ba96ed2cb9ba54ae274bb1c0f3ef7be07c8a2a8f.pdf,llm,https://scholar.google.com/scholar?q=An+Analysis+of+Constant+Step+Size+SGD+in+the+Non-convex+Regime:+Asymptotic+Normality+and+Bias
Remember What You Want to Forget: Algorithms for Machine Unlearning,2021,NIPS,"['Ayush Sekhari', 'Jayadev Acharya', 'Gautam Kamath', 'Ananda Theertha Suresh']",poster,"['Machine unlearning', 'theory', 'differential privacy', 'generalization guarantee', 'right to be forgotten']","We study the problem of unlearning datapoints from a learnt model. The learner first receives a dataset $S$ drawn i.i.d. from an unknown distribution, and outputs a model $\widehat{w}$ that performs well on  unseen samples from the same distribution. However, at some point in the future, any training datapoint $z \in S$ can request to be unlearned, thus prompting the learner to modify its output model while still ensuring the same accuracy guarantees.  We initiate a rigorous study of generalization in machine unlearning, where the goal is to perform well on previously unseen datapoints. Our focus is on both computational and storage complexity. 

For the setting of convex losses, we provide an unlearning algorithm that can unlearn up to $O(n/d^{1/4})$ samples, where $d$ is the problem dimension. In comparison, in general, differentially private learning (which implies unlearning) only guarantees deletion of $O(n/d^{1/2})$ samples. This demonstrates a novel separation between differential privacy and machine unlearning. ",https://api.openreview.net/pdf/9ffa59f7e3575ede5ea770a7fcc42de14ca52b44.pdf,llm,https://scholar.google.com/scholar?q=Remember+What+You+Want+to+Forget:+Algorithms+for+Machine+Unlearning
Learning Robust Hierarchical Patterns of Human Brain across Many fMRI Studies,2021,NIPS,"['Dushyant Sahoo', 'Christos Davatzikos']",poster,"['Hierarchical Latent Factor Modeling', 'Matrix Factorization', 'Domain Adaptation', 'fMRI analysis']","Multi-site fMRI studies face the challenge that the pooling introduces systematic non-biological site-specific variance due to hardware, software, and environment. In this paper, we propose to reduce site-specific variance in the estimation of hierarchical Sparsity Connectivity Patterns (hSCPs) in fMRI data via a simple yet effective matrix factorization while preserving biologically relevant variations. Our method leverages unsupervised adversarial learning to improve the reproducibility of the components. Experiments on simulated datasets display that the proposed method can estimate components with higher accuracy and reproducibility, while preserving age-related variation on a multi-center clinical data set. ",https://api.openreview.net/pdf/228f3c1726ff36275eb6606f0cd35966b4ceaad4.pdf,llm,https://scholar.google.com/scholar?q=Learning+Robust+Hierarchical+Patterns+of+Human+Brain+across+Many+fMRI+Studies
Bridge-Prompt: Towards Ordinal Action Understanding in Instructional Videos,2022,CVPR,Muheng Li;Lei Chen;Yueqi Duan;Zhilan Hu;Jianjiang Feng;Jie Zhou;Jiwen Lu,,,,https://openaccess.thecvf.com/content/CVPR2022/papers/Li_Bridge-Prompt_Towards_Ordinal_Action_Understanding_in_Instructional_Videos_CVPR_2022_paper.pdf,llm,https://scholar.google.com/scholar?q=Bridge-Prompt:+Towards+Ordinal+Action+Understanding+in+Instructional+Videos
Prompt Distribution Learning,2022,CVPR,Yuning Lu;Jianzhuang Liu;Yonggang Zhang;Yajing Liu;Xinmei Tian,,,,https://openaccess.thecvf.com/content/CVPR2022/papers/Lu_Prompt_Distribution_Learning_CVPR_2022_paper.pdf,llm,https://scholar.google.com/scholar?q=Prompt+Distribution+Learning
Learning To Prompt for Continual Learning,2022,CVPR,Zifeng Wang;Zizhao Zhang;Chen-Yu Lee;Han Zhang;Ruoxi Sun;Xiaoqi Ren;Guolong Su;Vincent Perot;Jennifer Dy;Tomas Pfister,,,,https://openaccess.thecvf.com/content/CVPR2022/papers/Wang_Learning_To_Prompt_for_Continual_Learning_CVPR_2022_paper.pdf,llm,https://scholar.google.com/scholar?q=Learning+To+Prompt+for+Continual+Learning
Align and Prompt: Video-and-Language Pre-Training With Entity Prompts,2022,CVPR,Dongxu Li;Junnan Li;Hongdong Li;Juan Carlos Niebles;Steven C.H. Hoi,,,,https://openaccess.thecvf.com/content/CVPR2022/papers/Li_Align_and_Prompt_Video-and-Language_Pre-Training_With_Entity_Prompts_CVPR_2022_paper.pdf,llm,https://scholar.google.com/scholar?q=Align+and+Prompt:+Video-and-Language+Pre-Training+With+Entity+Prompts
Learning To Recognize Procedural Activities With Distant Supervision,2022,CVPR,Xudong Lin;Fabio Petroni;Gedas Bertasius;Marcus Rohrbach;Shih-Fu Chang;Lorenzo Torresani,,,,https://openaccess.thecvf.com/content/CVPR2022/papers/Lin_Learning_To_Recognize_Procedural_Activities_With_Distant_Supervision_CVPR_2022_paper.pdf,llm,https://scholar.google.com/scholar?q=Learning+To+Recognize+Procedural+Activities+With+Distant+Supervision
Learning To Prompt for Open-Vocabulary Object Detection With Vision-Language Model,2022,CVPR,Yu Du;Fangyun Wei;Zihe Zhang;Miaojing Shi;Yue Gao;Guoqi Li,,,,https://openaccess.thecvf.com/content/CVPR2022/papers/Du_Learning_To_Prompt_for_Open-Vocabulary_Object_Detection_With_Vision-Language_Model_CVPR_2022_paper.pdf,llm,https://scholar.google.com/scholar?q=Learning+To+Prompt+for+Open-Vocabulary+Object+Detection+With+Vision-Language+Model
