,Title,Year,Source,Authors,Class,topic
81,Structure-preserving GANs,2022,ICML,Jennifer Gillenwater · Matthew Joseph · andres munoz · Monica Ribero Diaz,Spotlight,
82,A Joint Exponential Mechanism For Differentially Private Top-k In Social Aspects,2022,ICML,In Deep Learning,Ling Yang · Shenda Hong,
83,Omni-Granular Ego-Semantic Propagation for Self-Supervised Graph Representation Learning,2022,ICML,In Transfer/Multitask/Meta Learning,Zhenyi Wang · Li Shen · Le Fang · Qiuling Suo · Tiehang Duan · Mingchen Gao,graph/zero_few-shot/representation
84,Improving Task-free Continual Learning by Distributionally Robust Memory Evolution,2022,ICML,In Session 1 Track 6,Shipu Zhao · Zachary Frangella · Madeleine Udell,
85,NysADMM: faster composite convex optimization via low-rank approximation,2022,ICML,In Theory: Online Learning/Bandits,Fang Kong · Yichi Zhou · Shuai Li,optimization/zero_few-shot/low-rank
86,Simultaneously Learning Stochastic and Adversarial Bandits with General Graph Feedback,2022,ICML,In Session 1 Track 2,Chau Tran · Guo Yu,graph
87,A Completely Tuning-Free and Robust Approach to Sparse Precision Matrix Estimation,2022,ICML,In Deep Learning: Robustness,Václav Voráček · Matthias Hein,sparse
88,Provably Adversarially Robust Nearest Prototype Classifiers,2022,ICML,"In APP: Language, Speech and Dialog",Tianxiang Sun · Yunfan Shao · Hong Qian · Xuanjing Huang · Xipeng Qiu,
89,Black-Box Tuning for Language-Model-as-a-Service,2022,ICML,In Social Aspects,Refael Kohen · Or Sheffet,
90,Transfer Learning In Differential Privacy's Hybrid-Model,2022,ICML,In Reinforcement Learning,Jakub Grudzien Kuba · Christian Schroeder de Witt · Jakob Foerster,transfer learning
91,Mirror Learning: A Unifying Framework of Policy Optimisation,2022,ICML,In Deep Learning,Jin Xu · Xu Tan · Kaitao Song · Renqian Luo · Yichong Leng · Tao Qin · Tie-Yan Liu · Jian Li,
92,Analyzing and Mitigating Interference in Neural Architecture Search,2022,ICML,In Transfer/Multitask/Meta Learning,Michinari Momma · Chaosheng Dong · Jia Liu,
93,A Multi-objective / Multi-task Learning Framework Induced by Pareto Stationarity,2022,ICML,In Session 1 Track 10,Samyam Rajbhandari · Conglong Li · Zhewei Yao · Minjia Zhang · Reza Yazdani Aminabadi · Ammar Ahmad Awan · Jeff Rasley · Yuxiong He,multi-task
94,DeepSpeed-MoE: Advancing Mixture-of-Experts Inference and Training to Power Next-Generation AI Scale,2022,ICML,In Session 1 Track 3,Liyu Chen · Rahul Jain · Haipeng Luo,generative model/inference
95,Improved No-Regret Algorithms for Stochastic Shortest Path with Linear MDP,2022,ICML,V,-Usable Information,
96,Understanding Dataset Difficulty with,2022,ICML,In Optimization: Convex,Anis Elgabli · Chaouki Ben Issaid · Amrit Singh Bedi · Ketan Rajawat · Mehdi Bennis · Vaneet Aggarwal,
97,FedNew: A Communication-Efficient and Privacy-Preserving Newton-Type Method for Federated Learning,2022,ICML,In Theory: Online Learning/Bandits,Siwei Wang · Jun Zhu,federated learning
98,Thompson Sampling for (Combinatorial) Pure Exploration,2022,ICML,In Deep Learning: Robustness,Maurice Weber · Linyi Li · Boxin Wang · · Bo Li · Ce Zhang,
99,Certifying Out-of-Domain Generalization for Blackbox Functions,2022,ICML,In Session 1 Track 2,Lukas Köhs · Bastian Alt · Heinz Koeppl,
100,Markov Chain Monte Carlo for Continuous-Time Switching Dynamical Systems,2022,ICML,ℓ,p,
101,Reverse Engineering,2022,ICML,In Transfer/Multitask/Meta Learning,Xiao Zhou · Yong LIN · Weizhong Zhang · Tong Zhang,
102,Sparse Invariant Risk Minimization,2022,ICML,In Session 1 Track 10,Fan Bao · Chongxuan Li · Jiacheng Sun · Jun Zhu · Bo Zhang,sparse
103,Estimating the Optimal Covariance with Imperfect Mean in Diffusion Probabilistic Models,2022,ICML,In Session 1 Track 1,Pierre Humbert · Batiste Le Bars · Ludovic Minvielle,
104,Robust Kernel Density Estimation with Median-of-Means principle,2022,ICML,In Session 1 Track 1,Chuan Guo · Brian Karrer · Kamalika Chaudhuri · Laurens van der Maaten,
105,Bounding Training Data Reconstruction in Private (Deep) Learning,2022,ICML,In Deep Learning,Aidan Clark · Diego de Las Casas · Aurelia Guy · Arthur Mensch · Michela Paganini · Jordan Hoffmann · Bogdan Damoc · Blake Hechtman · Trevor Cai · Sebastian Borgeaud · George van den Driessche · Eliza Rutherford · Tom Hennigan · Matthew Johnson · Albin Cassirer · Chris Jones · Elena Buchatskaya · David Budden · Laurent Sifre · Simon Osindero · Oriol Vinyals · Marc'Aurelio Ranzato · Jack Rae · Erich Elsen · Koray Kavukcuoglu · Karen Simonyan,
106,Unified Scaling Laws for Routed Language Models,2022,ICML,In Transfer/Multitask/Meta Learning,Utku Evci · Vincent Dumoulin · Hugo Larochelle · Michael Mozer,transformer
107,Head2Toe: Utilizing Intermediate Representations for Better Transfer Learning,2022,ICML,In Deep Learning: Generative Models/Autoencoders,Emiel Hoogeboom · Victor Garcia Satorras · Clément Vignac · Max Welling,representation/transfer learning
108,Equivariant Diffusion for Molecule Generation in 3D,2022,ICML,In Optimization: Convex,Arda Sahiner · Tolga Ergen · Batu M Ozturkler · John Pauly · Morteza Mardani · Mert Pilanci,generative model
109,Unraveling Attention via Convex Duality: Analysis and Interpretations of Vision Transformers,2022,ICML,In Probabilistic Methods/Applications,Rajeev Verma · Eric Nalisnick,transformer
110,Calibrated Learning to Defer with One-vs-All Classifiers,2022,ICML,In Deep Learning: Robustness,Peter Súkeník · Aleksei Kuvshinov · Stephan Günnemann,
111,Intriguing Properties of Input-Dependent Randomized Smoothing,2022,ICML,In Theory: Online Learning/Bandits,Shinji Ito,
112,"Revisiting Online Submodular Minimization: Gap-Dependent Regret Bounds, Best of Both Worlds and Adversarial Robustness",2022,ICML,In Probabilistic Methods/Applications,Benjie Wang · Matthew Wicker · Marta Kwiatkowska,online learning
113,Tractable Uncertainty for Structure Learning,2022,ICML,In Session 1 Track 4,Jiaheng Wei · Hangyu Liu · Tongliang Liu · Gang Niu · Masashi Sugiyama · Yang Liu,
114,To Smooth or Not? When Label Smoothing Meets Noisy Labels,2022,ICML,In Theory: Online Learning/Bandits,Jung-hun Kim · Milan Vojnovic · Se-Young Yun,
115,Rotting Infinitely Many-Armed Bandits,2022,ICML,In Optimization: Convex,Kazuma Tsuji · Ken'ichiro Tanaka · Sebastian Pokutta,
116,Pairwise Conditional Gradients without Swap Steps and Sparser Kernel Herding,2022,ICML,In Optimization: Convex,Jaewook Suh · Gyumin Roh · Ernest Ryu,sparse
117,Continuous-Time Analysis of Accelerated Gradient Methods via Conservation Laws in Dilated Coordinate Systems,2022,ICML,In Theory: Online Learning/Bandits,Arpit Agarwal · Rohan Ghuge · viswanath nagarajan,
118,Batched Dueling Bandits,2022,ICML,"In APP: Language, Speech and Dialog",Hunter Lang · Monica Agrawal · Yoon Kim · David Sontag,
119,Co-training Improves Prompt-based Learning for Large Language Models,2022,ICML,In Session 1 Track 3,Liyu Chen · Rahul Jain · Haipeng Luo,
120,Learning Infinite-horizon Average-reward Markov Decision Process with Constraints,2022,ICML,In Deep Learning,Zhuang Wang · Zhaozhuo Xu · Xinyu Wu · Anshumali Shrivastava · T. S. Eugene Ng,optimization
121,DRAGONN: Distributed Randomized Approximate Gradients of Neural Networks,2022,ICML,In Transfer/Multitask/Meta Learning,Harsh Rangwani · Sumukh K Aithal · Mayank Mishra · Arihant Jain · Venkatesh Babu Radhakrishnan,
122,A Closer Look at Smoothness in Domain Adversarial Training,2022,ICML,In Social Aspects,Lukas Struppek · Dominik Hintersdorf · Antonio De Almeida Correia · Antonia Adler · Kristian Kersting,
123,Plug & Play Attacks: Towards Robust and Flexible Model Inversion Attacks,2022,ICML,In Deep Learning: Generative Models/Autoencoders,Zhichun Huang · Rudrasis Chakraborty · Vikas Singh,
124,Forward Operator Estimation in Generative Models with Kernel Transfer Operators,2022,ICML,In Reinforcement Learning,Archit Sharma · Rehaan Ahmad · Chelsea Finn,generative model/transfer learning
125,A State-Distribution Matching Approach to Non-Episodic Reinforcement Learning,2022,ICML,"In APP: Language, Speech and Dialog",Fei Huang · Hao Zhou · Yang Liu · Hang Li · Minlie Huang,reinforcement learning
126,Directed Acyclic Transformer for Non-Autoregressive Machine Translation,2022,ICML,In Deep Learning: Robustness,Francesco Croce · Sven Gowal · Thomas Brunner · Evan Shelhamer · Matthias Hein · Taylan Cemgil,transformer
127,Evaluating the Adversarial Robustness of Adaptive Test-time Defenses,2022,ICML,In Probabilistic Methods/Applications,Xu Chu · Yujie Jin · Wenwu Zhu · Yasha Wang · Xin Wang · Shanghang Zhang · Hong Mei,adaptive
128,DNA: Domain Generalization with Diversified Neural Averaging,2022,ICML,In Deep Learning,Brandon G Jacques · Zoran Tiganj · Aakash Sarkar · Marc Howard · Per Sederberg,
129,A deep convolutional neural network that is invariant to time rescaling,2022,ICML,In Session 1 Track 1,Eliad Tsfadia · Edith Cohen · Haim Kaplan · Yishay Mansour · Uri Stemmer,transformer
130,FriendlyCore: Practical Differentially Private Aggregation,2022,ICML,In Transfer/Multitask/Meta Learning,Jogendra Nath Kundu · Akshay Kulkarni · Suvaansh Bhambri · Deepesh Mehta · Shreyas Kulkarni · Varun Jampani · Venkatesh Babu Radhakrishnan,
131,Balancing Discriminability and Transferability for Source-Free Domain Adaptation,2022,ICML,In Session 1 Track 3,Pan Xu · Hongkai Zheng · Eric Mazumdar · Kamyar Azizzadenesheli · Animashree Anandkumar,transfer learning
132,Langevin Monte Carlo for Contextual Bandits,2022,ICML,"In APP: Language, Speech and Dialog",Adam Liska · Tomas Kocisky · Elena Gribovskaya · Tayfun Terzi · Eren Sezener · Devang Agrawal · Cyprien de Masson d'Autume · Tim Scholtes · Manzil Zaheer · Susannah Young · Ellen Gilsenan-McMahon · Sophia Austin · Phil Blunsom · Angeliki Lazaridou,
133,StreamingQA: A Benchmark for Adaptation to New Knowledge over Time in Question Answering Models,2022,ICML,In Deep Learning: Generative Models/Autoencoders,Liang Hou · Qi Cao · Huawei Shen · Siyuan Pan · Xiaoshuang Li · Xueqi Cheng,
134,Conditional GANs with Auxiliary Discriminative Classifier,2022,ICML,In Deep Learning: Robustness,Waleed Mustafa · Yunwen Lei · Marius Kloft,
135,On the Generalization Analysis of Adversarial Learning,2022,ICML,In Session 1 Track 6,LEONARDO CUNHA · Gauthier Gidel · Fabian Pedregosa · Damien Scieur · Courtney Paquette,
136,Only tails matter: Average-Case Universality and Robustness in the Convex Regime,2022,ICML,In Theory: Online Learning/Bandits,Weiming Liu · Huacong Jiang · Bin Li · Houqiang Li,
137,Equivalence Analysis between Counterfactual Regret Minimization and Online Mirror Descent,2022,ICML,In Session 1 Track 2,Yinshuang Xu · Jiahui Lei · Edgar Dobriban · Kostas Daniilidis,online learning
138,Unified Fourier-based Kernel and Nonlinearity Design for Equivariant Networks on Homogeneous Spaces,2022,ICML,In Deep Learning,Ivan Dario Jimenez Rodriguez · Aaron Ames · Yisong Yue,online learning
139,LyaNet: A Lyapunov Framework for Training Neural ODEs,2022,ICML,In Deep Learning: Generative Models/Autoencoders,Rakshith Subramanyam · Vivek Narayanaswamy · Mark Naufel · Andreas Spanias · Jayaraman J. Thiagarajan,
140,Improved StyleGAN-v2 based Inversion for Out-of-Distribution Images,2022,ICML,"In APP: Language, Speech and Dialog",Valentin Hofmann · Janet Pierrehumbert · Hinrich Schütze,
141,Unsupervised Detection of Contextualized Embedding Bias with Application to Ideology,2022,ICML,In Session 1 Track 8,Xiao Zhou · Yong LIN · Renjie Pi · Weizhong Zhang · Renzhe Xu · Peng Cui · Tong Zhang,
142,Model Agnostic Sample Reweighting for Out-of-Distribution Learning,2022,ICML,In Reinforcement Learning,Mengdi Xu · Yikang Shen · Shun Zhang · Yuchen Lu · Ding Zhao · Josh Tenenbaum · Chuang Gan,
143,Prompting Decision Transformer for Few-Shot Policy Generalization,2022,ICML,In Session 1 Track 1,Sangwon Kim · Jaeyeal Nam · Byoung Chul Ko,transformer
144,ViT-NeT: Interpretable Vision Transformers with Neural Tree Decoder,2022,ICML,In Session 1 Track 2,Ziyu Wang · Wenhao Jiang · Yiming Zhu · Li Yuan · Yibing Song · Wei Liu,transformer
145,DynaMixer: A Vision MLP Architecture with Dynamic Mixing,2022,ICML,In Deep Learning: Robustness,Chawin Sitawarin · Zachary Golan-Strieb · David Wagner,
146,Demystifying the Adversarial Robustness of Random Transformation Defenses,2022,ICML,In Optimization: Convex,Vladimir Kostic · Saverio Salzo · Massimiliano Pontil,
147,Batch Greenkhorn Algorithm for Entropic-Regularized Multimarginal Optimal Transport: Linear Rate of Convergence and Iteration Complexity,2022,ICML,In Theory: Online Learning/Bandits,Anish Thilagar · Rafael Frongillo · Jessie Finocchiaro · Emma Goodwill,
148,Consistent Polyhedral Surrogates for Top-k Classification and Variants,2022,ICML,In Deep Learning: Generative Models/Autoencoders,Heli Ben-Hamu · samuel cohen · Joey Bose · Brandon Amos · Maximilian Nickel · Aditya Grover · Ricky T. Q. Chen · Yaron Lipman,
149,Matching Normalizing Flows and Probability Paths on Manifolds,2022,ICML,"In APP: Language, Speech and Dialog",Sylvain Lamprier · Thomas Scialom · Antoine Chaffin · Vincent Claveau · Ewa Kijak · Jacopo Staiano · Benjamin Piwowarski,zero_few-shot/flow
150,Generative Cooperative Networks for Natural Language Generation,2022,ICML,In Reinforcement Learning,Shuang Qiu · Lingxiao Wang · Chenjia Bai · Zhuoran Yang · Zhaoran Wang,generative model
151,Contrastive UCB: Provably Efficient Contrastive Self-Supervised Learning in Online Reinforcement Learning,2022,ICML,In Session 1 Track 9,Mark Collier · Rodolphe Jenatton · Efi Kokiopoulou · Jesse Berent,reinforcement learning/zero_few-shot/online learning/contrastive learning
152,Transfer and Marginalize: Explaining Away Label Noise with Privileged Information,2022,ICML,In Transfer/Multitask/Meta Learning,Ekrem Öztürk · Fabio Ferreira · Hadi S Jomaa · Lars Schmidt-Thieme · Josif Grabocka · Frank Hutter,transfer learning
153,Zero-shot AutoML with Pretrained Models,2022,ICML,In Social Aspects,Yuxin Wen · Jonas Geiping · Liam Fowl · Micah Goldblum · Tom Goldstein,zero_few-shot
154,Fishing for User Data in Large-Batch Federated Learning via Gradient Magnification,2022,ICML,In Optimization: Convex,Baojian Zhou · Yifan Sun,federated learning
155,Approximate Frank-Wolfe Algorithms over Graph-structured Support Sets,2022,ICML,In Session 1 Track 2,Xu Luo · Jing Xu · ZENGLIN Xu,graph
156,Channel Importance Matters in Few-Shot Image Classification,2022,ICML,In Session 1 Track 7,Viktor Bengs · Aadirupa Saha · Eyke Hüllermeier,
157,Stochastic Contextual Dueling Bandits under Linear Stochastic Transitivity Models,2022,ICML,In Deep Learning: Robustness,Linyi Li · Jiawei Zhang · Tao Xie · Bo Li,
158,Double Sampling Randomized Smoothing,2022,ICML,In Deep Learning: Generative Models/Autoencoders,Hanjun Dai · Mengjiao Yang · Yuan Xue · Dale Schuurmans · Bo Dai,
159,Marginal Distribution Adaptation for Discrete Sets via Module-Oriented Divergence Minimization,2022,ICML,In Transfer/Multitask/Meta Learning,Hansi Yang · James Kwok,
160,Efficient Variance Reduction for Meta-learning,2022,ICML,In Reinforcement Learning,Xiaoyu Chen · Han Zhong · Zhuoran Yang · Zhaoran Wang · Liwei Wang,meta-learning
161,Human-in-the-loop: Provably Efficient Preference-based Reinforcement Learning with General Function Approximation,2022,ICML,"In APP: Language, Speech and Dialog",Thomas Wang · Adam Roberts · Daniel Hesslow · Teven Le Scao · Hyung Won Chung · Iz Beltagy · Julien Launay · Colin Raffel,reinforcement learning
162,What Language Model Architecture and Pretraining Objective Works Best for Zero-Shot Generalization?,2022,ICML,In Deep Learning,Ruoxin Chen · Zenan Li · Jie Li · Junchi Yan · Chentao Wu,zero_few-shot
163,On Collective Robustness of Bagging Against Data Poisoning,2022,ICML,In Session 1 Track 1,Ehsan Amid · Arun Ganesh · Rajiv Mathews · Swaroop Ramaswamy · Shuang Song · Thomas Steinke · Thomas Steinke · Vinith Suriyakumar · Om Thakkar · Abhradeep Guha Thakurta,
164,Public Data-Assisted Mirror Descent for Private Model Training,2022,ICML,In Deep Learning: Robustness,Wenda Chu · Linyi Li · Bo Li,
165,TPC: Transformation-Specific Smoothing for Point Cloud Models,2022,ICML,In Session 1 Track 6,Burak Bartan · Mert Pilanci,
166,Neural Fisher Discriminant Analysis: Optimal Neural Network Embeddings in Polynomial Time,2022,ICML,In Theory: Online Learning/Bandits,Aadirupa Saha · Shubham Gupta,
167,Optimal and Efficient Dynamic Regret Algorithms for Non-Stationary Dueling Bandits,2022,ICML,In Probabilistic Methods/Applications,Alexandre Rame · Corentin Dancette · Matthieu Cord,
168,Fishr: Invariant Gradient Variances for Out-of-Distribution Generalization,2022,ICML,"In APP: Language, Speech and Dialog",Yifan Peng · Siddharth Dalmia · Ian Lane · Shinji Watanabe,
169,Branchformer: Parallel MLP-Attention Architectures to Capture Local and Global Context for Speech Recognition and Understanding,2022,ICML,In Session 1 Track 10,Xiang Gao · Yuqi Zhang · Yingjie Tian,transformer
170,Learning to Incorporate Texture Saliency Adaptive Attention to Image Cartoonization,2022,ICML,In Social Aspects,Eunsang Lee · Joon-Woo Lee · Junghyun Lee · Young-Sik KIM · Yongjune Kim · Jong-Seon No · Woosuk Choi,transformer/adaptive
