,Title,Year,Source,Authors,Class,topic
85,UnICORNN: A recurrent model for learning very long time dependencies,2021,ICML,In Deep Learning Architectures,T. Konstantin Rusch · Siddhartha Mishra,
86,Making transport more robust and interpretable by moving data through a small number of anchor points,2021,ICML,In Optimal Transport,Chi-Heng Lin · Mehdi Azabou · Eva Dyer,
87,State Entropy Maximization with Random Encoders for Efficient Exploration,2021,ICML,In Deep Reinforcement Learning 1,Younggyo Seo · Lili Chen · Jinwoo Shin · Honglak Lee · Pieter Abbeel · Kimin Lee,
88,SPADE: A Spectral Method for Black-Box Adversarial Robustness Evaluation,2021,ICML,In Deep Learning Applications,Wuxinlin Cheng · Chenhui Deng · Zhiqiang Zhao · Yaohui Cai · Zhiru Zhang · Zhuo Feng,
89,Federated Learning under Arbitrary Communication Patterns,2021,ICML,In Optimization (Distributed),Dmitrii Avdiukhin · Shiva Kasiviswanathan,federated learning
90,Learning Node Representations Using Stationary Flow Prediction on Large Payment and Cash Transaction Networks,2021,ICML,In Graph Learning,Ciwan Ceylan · Salla Franzén · Florian T. Pokorny,zero_few-shot/representation/flow
97,Risk-Sensitive Reinforcement Learning with Function Approximation: A Debiasing Approach,2021,ICML,In Reinforcement Learning 1,Yingjie Fei · Zhuoran Yang · Zhaoran Wang,reinforcement learning
98,Variance Reduction via Primal-Dual Accelerated Dual Averaging for Nonsmooth Convex Finite-Sums,2021,ICML,In Optimization (Convex) 1,Chaobing Song · Stephen Wright · Jelena Diakonikolas,
99,Principled Simplicial Neural Networks for Trajectory Prediction,2021,ICML,In Deep Learning Algorithms 2,T. Mitchell Roddenberry · Nicholas Glaze · Santiago Segarra,
100,PAGE: A Simple and Optimal Probabilistic Gradient Estimator for Nonconvex Optimization,2021,ICML,In Optimization 1,Zhize Li · Hongyan Bao · Xiangliang Zhang · Peter Richtarik,optimization
101,Let's Agree to Degree: Comparing Graph Convolutional Networks in the Message-Passing Framework,2021,ICML,In Deep Learning Theory 1,Floris Geerts · Filip Mazowiecki · Guillermo Perez,graph
102,Oops I Took A Gradient: Scalable Sampling for Discrete Distributions,2021,ICML,In Deep Generative Model 1,Will Grathwohl · Kevin Swersky · Milad Hashemi · David Duvenaud · Chris Maddison,
103,Leveraging Sparse Linear Layers for Debuggable Deep Networks,2021,ICML,In Deep Learning Algorithms 1,Eric Wong · Shibani Santurkar · Aleksander Madry,sparse
104,Neural Architecture Search without Training,2021,ICML,In AutoML and Deep Architecture,Joe Mellor · Jack Turner · Amos Storkey · Elliot Crowley,
105,What Are Bayesian Neural Network Posteriors Really Like?,2021,ICML,In Deep Learning (Bayesian),Pavel Izmailov · Sharad Vikram · Matthew Hoffman · Andrew Wilson,bayesian
106,Is Space-Time Attention All You Need for Video Understanding?,2021,ICML,In AutoML and Deep Architecture,Gedas Bertasius · Heng Wang · Lorenzo Torresani,transformer
107,Voice2Series: Reprogramming Acoustic Models for Time Series Classification,2021,ICML,In Deep Learning Algorithms 1,Huck Yang · Yun-Yun Tsai · Pin-Yu Chen,
108,Projection Robust Wasserstein Barycenters,2021,ICML,In Optimization 1,Minhui Huang · Shiqian Ma · Lifeng Lai,
109,Dueling Convex Optimization,2021,ICML,In Optimization (Convex) 1,Aadirupa Saha · Tomer Koren · Yishay Mansour,optimization
110,Multiscale Invertible Generative Networks for High-Dimensional Bayesian Inference,2021,ICML,In Deep Generative Model 1,Shumao Zhang · Pengchuan Zhang · Thomas Hou,generative model/bayesian/inference
111,Scalable Marginal Likelihood Estimation for Model Selection in Deep Learning,2021,ICML,In Deep Learning (Bayesian),Alexander Immer · Matthias Bauer · Vincent Fortuin · Gunnar Ratsch · Khan Emtiyaz,
112,Model-Free Reinforcement Learning: from Clipped Pseudo-Regret to Sample Complexity,2021,ICML,In Reinforcement Learning 1,Zhang Zihan · Yuan Zhou · Xiangyang Ji,reinforcement learning
113,Efficient Differentiable Simulation of Articulated Bodies,2021,ICML,In Deep Learning Algorithms 2,Yi-Ling Qiao · Junbang Liang · Vladlen Koltun · Ming Lin,
114,Fundamental Tradeoffs in Distributionally Adversarial Training,2021,ICML,In Deep Learning Theory 1,Mohammad Mehrabi · Adel Javanmard · Ryan A. Rossi · Anup Rao · Tung Mai,
115,GraphDF: A Discrete Flow Model for Molecular Graph Generation,2021,ICML,In Deep Generative Model 1,Youzhi Luo · Keqiang Yan · Shuiwang Ji,graph/zero_few-shot/generative model/flow
116,Neuro-algorithmic Policies Enable Fast Combinatorial Generalization,2021,ICML,In Reinforcement Learning 1,Marin Vlastelica · Michal Rolinek · Georg Martius,
117,Self-Tuning for Data-Efficient Deep Learning,2021,ICML,In Deep Learning Algorithms 1,Ximei Wang · Jinghan Gao · Mingsheng Long · Jianmin Wang,
118,Amortized Conditional Normalized Maximum Likelihood: Reliable Out of Distribution Uncertainty Estimation,2021,ICML,In Deep Learning (Bayesian),Aurick Zhou · Sergey Levine,
119,A Probabilistic Approach to Neural Network Pruning,2021,ICML,In AutoML and Deep Architecture,Xin Qian · Diego Klabjan,
120,On Monotonic Linear Interpolation of Neural Network Parameters,2021,ICML,In Deep Learning Algorithms 2,James Lucas · Juhan Bae · Michael Zhang · Stanislav Fort · Richard Zemel · Roger Grosse,
121,Efficient Message Passing for 0–1 ILPs with Binary Decision Diagrams,2021,ICML,In Optimization 1,Jan-Hendrik Lange · Paul Swoboda,
122,Towards Understanding Learning in Neural Networks with Linear Teachers,2021,ICML,In Deep Learning Theory 1,Roei Sarussi · Alon Brutzkus · Amir Globerson,
123,Global Optimality Beyond Two Layers: Training Deep ReLU Networks via Convex Programs,2021,ICML,In Optimization (Convex) 1,Tolga Ergen · Mert Pilanci,
124,Hierarchical VAEs Know What They Don’t Know,2021,ICML,In Deep Generative Model 1,Jakob D. Havtorn · Jes Frellsen · Søren Hauberg · Lars Maaløe,
125,PID Accelerated Value Iteration Algorithm,2021,ICML,In Reinforcement Learning 1,Amir-massoud Farahmand · Mohammad Ghavamzadeh,
126,Distributionally Robust Optimization with Markovian Data,2021,ICML,In Optimization 1,Mengmeng Li · Tobias Sutter · Daniel Kuhn,optimization
127,Deep kernel processes,2021,ICML,In Deep Learning (Bayesian),Laurence Aitchison · Adam Yang · Sebastian Ober,
128,KNAS: Green Neural Architecture Search,2021,ICML,In AutoML and Deep Architecture,Jingjing Xu · Liang Zhao · Junyang Lin · Rundong Gao · Xu SUN · Hongxia Yang,
129,Connecting Sphere Manifolds Hierarchically for Regularization,2021,ICML,In Deep Learning Algorithms 2,Damien Scieur · Youngsung Kim,
130,Continual Learning in the Teacher-Student Setup: Impact of Task Similarity,2021,ICML,In Deep Learning Theory 1,Sebastian Lee · Sebastian Goldt · Andrew Saxe,
131,Parameter-free Locally Accelerated Conditional Gradients,2021,ICML,In Optimization (Convex) 1,Alejandro Carderera · Jelena Diakonikolas · Cheuk Yin Lin · Sebastian Pokutta,
132,How Framelets Enhance Graph Neural Networks,2021,ICML,In Deep Learning Algorithms 1,Xuebin Zheng · Bingxin Zhou · Junbin Gao · Yuguang Wang · Pietro Lió · Ming Li · Guido Montufar,graph
133,Global inducing point variational posteriors for Bayesian neural networks and deep Gaussian processes,2021,ICML,In Deep Learning (Bayesian),Sebastian Ober · Laurence Aitchison,bayesian
134,Controlling Graph Dynamics with Reinforcement Learning and Graph Neural Networks,2021,ICML,In Deep Learning Algorithms 2,Eli Meirom · Haggai Maron · Shie Mannor · Gal Chechik,reinforcement learning/graph
135,Federated Continual Learning with Weighted Inter-client Transfer,2021,ICML,In Deep Learning Algorithms 1,Jaehong Yoon · Wonyong Jeong · GiWoong Lee · Eunho Yang · Sung Ju Hwang,transfer learning
136,Principal Component Hierarchy for Sparse Quadratic Programs,2021,ICML,In Optimization (Convex) 1,Robbie Vreugdenhil · Viet Anh Nguyen · Armin Eftekhari · Peyman Mohajerin Esfahani,sparse
137,Order Matters: Probabilistic Modeling of Node Sequence for Graph Generation,2021,ICML,In Deep Generative Model 1,Xiaohui Chen · Xu Han · Jiajing Hu · Francisco R Ruiz · Liping Liu,graph/generative model
138,Provably Efficient Learning of Transferable Rewards,2021,ICML,In Reinforcement Learning 1,Alberto Maria Metelli · Giorgia Ramponi · Alessandro Concetti · Marcello Restelli,transfer learning
139,Efficient Lottery Ticket Finding: Less Data is More,2021,ICML,In AutoML and Deep Architecture,Zhenyu Zhang · Xuxi Chen · Tianlong Chen · Zhangyang Wang,
140,Acceleration via Fractal Learning Rate Schedules,2021,ICML,In Optimization 1,Naman Agarwal · Surbhi Goel · Cyril Zhang,
141,A Functional Perspective on Learning Symmetric Functions with Neural Networks,2021,ICML,In Deep Learning Theory 1,Aaron Zweig · Joan Bruna,metric
142,ConViT: Improving Vision Transformers with Soft Convolutional Inductive Biases,2021,ICML,In AutoML and Deep Architecture,Stéphane d'Ascoli · Hugo Touvron · Matthew Leavitt · Ari Morcos · Giulio Biroli · Levent Sagun,transformer
143,Weisfeiler and Lehman Go Topological: Message Passing Simplicial Networks,2021,ICML,In Deep Learning Theory 1,Cristian Bodnar · Fabrizio Frasca · Yuguang Wang · Nina Otter · Guido Montufar · Pietro Lió · Michael Bronstein,
144,Thinking Like Transformers,2021,ICML,In Deep Learning Algorithms 2,Gail Weiss · Yoav Goldberg · Eran Yahav,transformer
145,A Novel Sequential Coreset Method for Gradient Descent Algorithms,2021,ICML,In Optimization 1,Jiawei Huang · Ruomin Huang · wenjie liu · Nikolaos Freris · Hu Ding,
146,Self Normalizing Flows,2021,ICML,In Deep Learning Algorithms 1,T. Anderson Keller · Jorn Peters · Priyank Jaini · Emiel Hoogeboom · Patrick Forré · Max Welling,zero_few-shot/flow
147,One-sided Frank-Wolfe algorithms for saddle problems,2021,ICML,In Optimization (Convex) 1,Vladimir Kolmogorov · Thomas Pock,
148,Generative Video Transformer: Can Objects be the Words?,2021,ICML,In Deep Generative Model 1,Yi-Fu Wu · Jaesik Yoon · Sungjin Ahn,transformer/generative model
149,Bayesian Deep Learning via Subnetwork Inference,2021,ICML,In Deep Learning (Bayesian),Erik Daxberger · Eric Nalisnick · James Allingham · Javier Antorán · Jose Miguel Hernandez-Lobato,bayesian/inference
150,Reinforcement Learning for Cost-Aware Markov Decision Processes,2021,ICML,In Reinforcement Learning 1,Wesley A Suttle · Kaiqing Zhang · Zhuoran Yang · Ji Liu · David N Kraemer,reinforcement learning
151,Provably Strict Generalisation Benefit for Equivariant Models,2021,ICML,In AutoML and Deep Architecture,Bryn Elesedy · Sheheryar Zaidi,
152,Value Alignment Verification,2021,ICML,In Reinforcement Learning 1,Daniel Brown · Jordan Schneider · Anca Dragan · Scott Niekum,
153,Poisson-Randomised DirBN: Large Mutation is Needed in Dirichlet Belief Networks,2021,ICML,In Deep Generative Model 1,Xuhui Fan · Bin Li · Yaqiong Li · Scott SIsson,
154,Federated Learning of User Verification Models Without Sharing Embeddings,2021,ICML,In Deep Learning Algorithms 2,Hossein Hosseini · Hyunsin Park · Sungrack Yun · Christos Louizos · Joseph B Soriaga · Max Welling,federated learning
155,Loss Surface Simplexes for Mode Connecting Volumes and Fast Ensembling,2021,ICML,In Deep Learning Algorithms 1,Gregory Benton · Wesley Maddox · Sanae Lotfi · Andrew Wilson,
156,"Scalable Optimal Transport in High Dimensions for Graph Distances, Embedding Alignment, and More",2021,ICML,In Optimization 1,Johannes Klicpera · Marten Lienen · Stephan Günnemann,graph
157,Generative Particle Variational Inference via Estimation of Functional Gradients,2021,ICML,In Deep Learning (Bayesian),Neale Ratzlaff · Jerry Bai · Fuxin Li · Wei Xu,generative model/inference
158,ConvexVST: A Convex Optimization Approach to Variance-stabilizing Transformation,2021,ICML,In Optimization (Convex) 1,Mengfan Wang · Boyu Lyu · Guoqiang Yu,optimization
159,On the Random Conjugate Kernel and Neural Tangent Kernel,2021,ICML,In Deep Learning Theory 1,Zhengmian Hu · Heng Huang,
169,OmniNet: Omnidirectional Representations from Transformers,2021,ICML,In AutoML and Neural Network Architectures 1,Yi Tay · Mostafa Dehghani · Vamsi Aribandi · Jai Gupta · Philip Pham · Zhen Qin · Dara Bahri · Da-Cheng Juan · Don Metzler,transformer/representation
170,Stability and Convergence of Stochastic Gradient Clipping: Beyond Lipschitz Continuity and Smoothness,2021,ICML,In Optimization 2,Vien Mai · Mikael Johansson,
171,Spectral Smoothing Unveils Phase Transitions in Hierarchical Variational Autoencoders,2021,ICML,In Deep Generative Model 2,Adeel Pervez · Efstratios Gavves,
172,Coach-Player Multi-agent Reinforcement Learning for Dynamic Team Composition,2021,ICML,In Reinforcement Learning 2,Bo Liu · Qiang Liu · Peter Stone · Animesh Garg · Yuke Zhu · Anima Anandkumar,reinforcement learning/multi-agent
173,Not All Memories are Created Equal: Learning to Forget by Expiring,2021,ICML,In Deep Learning 1,Sainbayar Sukhbaatar · Da JU · Spencer Poff · Stephen Roller · Arthur Szlam · Jason Weston · Angela Fan,
174,Skill Discovery for Exploration and Planning using Deep Skill Graphs,2021,ICML,In Reinforcement Learning and Planning 2,Akhil Bagaria · Jason Senthil · George Konidaris,graph
175,ViLT: Vision-and-Language Transformer Without Convolution or Region Supervision,2021,ICML,In Deep Learning Algorithms 3,Wonjae Kim · Bokyung Son · Ildoo Kim,transformer
176,World Model as a Graph: Learning Latent Landmarks for Planning,2021,ICML,In Reinforcement Learning and Planning 1,Lunjun Zhang · Ge Yang · Bradly Stadie,graph
