Title,Year,Source,Authors,Class,topic
Extending the WILDS Benchmark for Unsupervised Adaptation,2022,ICLR,"Shiori Sagawa, Pang Wei Koh, Tony Lee, Irena Gao, Sang Michael Xie, Kendrick Shen, Ananya Kumar, Weihua Hu, Michihiro Yasunaga, Henrik Marklund, Sara Beery, Etienne David, Ian Stavness, Wei Guo, Jure Leskovec, Kate Saenko, Tatsunori Hashimoto, Sergey Levine, Chelsea Finn, Percy Liang",oral,
Asymmetry Learning for Counterfactually-invariant Classification in OOD Tasks,2022,ICLR,"S Chandra Mouli, Bruno Ribeiro",oral,
Comparing Distributions by Measuring Differences that Affect Decision Making,2022,ICLR,"Shengjia Zhao, Abhishek Sinha, Yutong He, Aidan Perreault, Jiaming Song, Stefano Ermon",oral,
MIDI-DDSP: Detailed Control of Musical Performance via Hierarchical Modeling,2022,ICLR,"Yusong Wu, Ethan Manilow, Yi Deng, Rigel Swavely, Kyle Kastner, Tim Cooijmans, Aaron Courville, Cheng-Zhi Anna Huang, Jesse Engel",oral,
Unsupervised Vision-Language Grammar Induction with Shared Structure Modeling,2022,ICLR,"Bo Wan, Wenjuan Han, Zilong Zheng, Tinne Tuytelaars",oral,
PiCO: Contrastive Label Disambiguation for Partial Label Learning,2022,ICLR,"Haobo Wang, Ruixuan Xiao, Yixuan Li, Lei Feng, Gang Niu, Gang Chen, Junbo Zhao",oral,contrastive learning
Pyraformer: Low-Complexity Pyramidal Attention for Long-Range Time Series Modeling and Forecasting,2022,ICLR,"Shizhan Liu, Hang Yu, Cong Liao, Jianguo Li, Weiyao Lin, Alex X. Liu, Schahram Dustdar",oral,zero_few-shot/transformer
Expressiveness and Approximation Properties of Graph Neural Networks,2022,ICLR,"Floris Geerts, Juan L Reutter",oral,graph
Filtered-CoPhy: Unsupervised Learning of Counterfactual Physics in Pixel Space,2022,ICLR,"Steeven JANNY, Fabien Baradel, Natalia Neverova, Madiha Nadri, Greg Mori, Christian Wolf",oral,
BEiT: BERT Pre-Training of Image Transformers,2022,ICLR,"Hangbo Bao, Li Dong, Songhao Piao, Furu Wei",oral,transformer
Fine-Tuning can Distort Pretrained Features and Underperform Out-of-Distribution,2022,ICLR,"Ananya Kumar, Aditi Raghunathan, Robbie Matthew Jones, Tengyu Ma, Percy Liang",oral,
StyleAlign: Analysis and Applications of Aligned StyleGAN Models,2022,ICLR,"Zongze Wu, Yotam Nitzan, Eli Shechtman, Dani Lischinski",oral,
Variational Inference for Discriminative Learning with Generative Modeling of Feature Incompletion,2022,ICLR,"Kohei Miyaguchi, Takayuki Katsuki, Akira Koseki, Toshiya Iwamori",oral,generative model/inference
Efficiently Modeling Long Sequences with Structured State Spaces,2022,ICLR,"Albert Gu, Karan Goel, Christopher Re",oral,
Large Language Models Can Be Strong Differentially Private Learners,2022,ICLR,"Xuechen Li, Florian Tramer, Percy Liang, Tatsunori Hashimoto",oral,
GeoDiff: A Geometric Diffusion Model for Molecular Conformation Generation,2022,ICLR,"Minkai Xu, Lantao Yu, Yang Song, Chence Shi, Stefano Ermon, Jian Tang",oral,generative model/metric
Frame Averaging for Invariant and Equivariant Network Design,2022,ICLR,"Omri Puny, Matan Atzmon, Edward J. Smith, Ishan Misra, Aditya Grover, Heli Ben-Hamu, Yaron Lipman",oral,
Einops: Clear and Reliable Tensor Manipulations with Einstein-like Notation,2022,ICLR,Alex Rogozhnikov,oral,
A Fine-Grained Analysis on Distribution Shift,2022,ICLR,"Olivia Wiles, Sven Gowal, Florian Stimberg, Sylvestre-Alvise Rebuffi, Ira Ktena, Krishnamurthy Dj Dvijotham, Ali Taylan Cemgil",oral,
Open-Set Recognition: A Good Closed-Set Classifier is All You Need,2022,ICLR,"Sagar Vaze, Kai Han, Andrea Vedaldi, Andrew Zisserman",oral,
Learning Strides in Convolutional Neural Networks,2022,ICLR,"Rachid Riad, Olivier Teboul, David Grangier, Neil Zeghidour",oral,
Understanding over-squashing and bottlenecks on graphs via curvature,2022,ICLR,"Jake Topping, Francesco Di Giovanni, Benjamin Paul Chamberlain, Xiaowen Dong, Michael M. Bronstein",oral,graph
Diffusion-Based Voice Conversion with Fast Maximum Likelihood Sampling Scheme,2022,ICLR,"Vadim Popov, Ivan Vovk, Vladimir Gogoryan, Tasnima Sadekova, Mikhail Sergeevich Kudinov, Jiansheng Wei",oral,
Resolving Training Biases via Influence-based Data Relabeling w,2022,ICLR,"Shuming Kong, Yanyan Shen, Linpeng Huang",oral,
Representational Continuity for Unsupervised Continual Learning,2022,ICLR,"Divyam Madaan, Jaehong Yoon, Yuanchun Li, Yunxin Liu, Sung Ju Hwang",oral,representation
Vision-Based Manipulators Need to Also See from Their Hands,2022,ICLR,"Kyle Hsu, Moo Jin Kim, Rafael Rafailov, Jiajun Wu, Chelsea Finn",oral,
Meta-Learning with Fewer Tasks through Task Interpolation,2022,ICLR,"Huaxiu Yao, Linjun Zhang, Chelsea Finn",oral,meta-learning
DISCOVERING AND EXPLAINING THE REPRESENTATION BOTTLENECK OF DNNS,2022,ICLR,"Huiqi Deng, Qihan Ren, Hao Zhang, Quanshi Zhang",oral,representation
Sparse Communication via Mixed Distributions,2022,ICLR,"António Farinhas, Wilker Aziz, Vlad Niculae, Andre Martins",oral,sparse
Finetuned Language Models are Zero-Shot Learners,2022,ICLR,"Jason Wei, Maarten Bosma, Vincent Zhao, Kelvin Guu, Adams Wei Yu, Brian Lester, Nan Du, Andrew M. Dai, Quoc V Le",oral,zero_few-shot
F8Net: Fixed-Point 8-bit Only Multiplication for Network Quantization,2022,ICLR,"Qing Jin, Jian Ren, Richard Zhuang, Sumant Hanumante, Zhengang Li, Zhiyu Chen, Yanzhi Wang, Kaiyuan Yang, Sergey Tulyakov",oral,
Transform2Act: Learning a Transform-and-Control Policy for Efficient Agent Design,2022,ICLR,"Ye Yuan, Yuda Song, Zhengyi Luo, Wen Sun, Kris M. Kitani",oral,reinforcement learning
ProtoRes: Proto-Residual Network for Pose Authoring via Learned Inverse Kinematics,2022,ICLR,"Boris N. Oreshkin, Florent Bocquelet, Felix G. Harvey, Bay Raitt, Dominic Laflamme",oral,
Hyperparameter Tuning with Renyi Differential Privacy,2022,ICLR,"Nicolas Papernot, Thomas Steinke",oral,
Real-Time Neural Voice Camouflage,2022,ICLR,"Mia Chiquier, Chengzhi Mao, Carl Vondrick",oral,
CycleMLP: A MLP-like Architecture for Dense Prediction,2022,ICLR,"Shoufa Chen, Enze Xie, Chongjian GE, Runjian Chen, Ding Liang, Ping Luo",oral,
Analytic-DPM: an Analytic Estimate of the Optimal Reverse Variance in Diffusion Probabilistic Models,2022,ICLR,"Fan Bao, Chongxuan Li, Jun Zhu, Bo Zhang",oral,
RISP: Rendering-Invariant State Predictor with Differentiable Simulation and Rendering for Cross-Domain Parameter Estimation,2022,ICLR,"Pingchuan Ma, Tao Du, Joshua B. Tenenbaum, Wojciech Matusik, Chuang Gan",oral,
The Information Geometry of Unsupervised Reinforcement Learning,2022,ICLR,"Benjamin Eysenbach, Ruslan Salakhutdinov, Sergey Levine",oral,reinforcement learning
Language modeling via stochastic processes,2022,ICLR,"Rose E Wang, Esin Durmus, Noah Goodman, Tatsunori Hashimoto",oral,
Wiring Up Vision: Minimizing Supervised Synaptic Updates Needed to Produce a Primate Ventral Stream,2022,ICLR,"Franziska Geiger, Martin Schrimpf, Tiago Marques, James J. DiCarlo",spotlight,
Dynamics-Aware Comparison of Learned Reward Functions,2022,ICLR,"Blake Wulfe, Logan Michael Ellis, Jean Mercat, Rowan Thomas McAllister, Adrien Gaidon",spotlight,
Learning Hierarchical Structures with Differentiable Nondeterministic Stacks,2022,ICLR,"Brian DuSell, David Chiang",spotlight,
Sampling with Mirrored Stein Operators,2022,ICLR,"Jiaxin Shi, Chang Liu, Lester Mackey",spotlight,
Planning in Stochastic Environments with a Learned Model,2022,ICLR,"Ioannis Antonoglou, Julian Schrittwieser, Sherjil Ozair, Thomas K Hubert, David Silver",spotlight,
RotoGrad: Gradient Homogenization in Multitask Learning,2022,ICLR,"Adrián Javaloy, Isabel Valera",spotlight,
On Improving Adversarial Transferability of Vision Transformers,2022,ICLR,"Muzammal Naseer, Kanchana Ranasinghe, Salman Khan, Fahad Khan, Fatih Porikli",spotlight,transformer/transfer learning
On Predicting Generalization using GANs,2022,ICLR,"Yi Zhang, Arushi Gupta, Nikunj Saunshi, Sanjeev Arora",spotlight,
On the Connection between Local Attention and Dynamic Depth-wise Convolution,2022,ICLR,"Qi Han, Zejia Fan, Qi Dai, Lei Sun, Ming-Ming Cheng, Jiaying Liu, Jingdong Wang",spotlight,transformer
Strength of Minibatch Noise in SGD,2022,ICLR,"Liu Ziyin, Kangqiao Liu, Takashi Mori, Masahito Ueda",spotlight,
Learning more skills through optimistic exploration,2022,ICLR,"DJ Strouse, Kate Baumli, David Warde-Farley, Volodymyr Mnih, Steven Stenberg Hansen",spotlight,
Reinforcement Learning under a Multi-agent Predictive State Representation Model: Method and Theory,2022,ICLR,"Zhi Zhang, Zhuoran Yang, Han Liu, Pratap Tokekar, Furong Huang",spotlight,reinforcement learning/representation/multi-agent
Adversarial Support Alignment,2022,ICLR,"Shangyuan Tong, Timur Garipov, Yang Zhang, Shiyu Chang, Tommi S. Jaakkola",spotlight,
GreaseLM: Graph REASoning Enhanced Language Models,2022,ICLR,"Xikun Zhang, Antoine Bosselut, Michihiro Yasunaga, Hongyu Ren, Percy Liang, Christopher D Manning, Jure Leskovec",spotlight,graph
Learning meta-features for AutoML,2022,ICLR,"Herilalaina Rakotoarison, Louisot Milijaona, Andry RASOANAIVO, Michele Sebag, Marc Schoenauer",spotlight,meta-learning
Latent Variable Sequential Set Transformers for Joint Multi-Agent Motion Prediction,2022,ICLR,"Roger Girgis, Florian Golemo, Felipe Codevilla, Martin Weiss, Jim Aldon D'Souza, Samira Ebrahimi Kahou, Felix Heide, Christopher Pal",spotlight,reinforcement learning/transformer/multi-agent
Understanding Latent Correlation-Based Multiview Learning and Self-Supervision: An Identifiability Perspective,2022,ICLR,"Qi Lyu, Xiao Fu, Weiran Wang, Songtao Lu",spotlight,
Deconstructing the Inductive Biases of Hamiltonian Neural Networks,2022,ICLR,"Nate Gruver, Marc Anton Finzi, Samuel Don Stanton, Andrew Gordon Wilson",spotlight,
Memorizing Transformers,2022,ICLR,"Yuhuai Wu, Markus Norman Rabe, DeLesley Hutchins, Christian Szegedy",spotlight,transformer
Learning-Augmented -means Clustering,2022,ICLR,"Jon C. Ergun, Zhili Feng, Sandeep Silwal, David Woodruff, Samson Zhou",spotlight,augmentation
On the Uncomputability of Partition Functions in Energy-Based Sequence Models,2022,ICLR,"Chu-Cheng Lin, Arya D. McCarthy",spotlight,
Perceiver IO: A General Architecture for Structured Inputs & Outputs,2022,ICLR,"Andrew Jaegle, Sebastian Borgeaud, Jean-Baptiste Alayrac, Carl Doersch, Catalin Ionescu, David Ding, Skanda Koppula, Daniel Zoran, Andrew Brock, Evan Shelhamer, Olivier J Henaff, Matthew Botvinick, Andrew Zisserman, Oriol Vinyals, Joao Carreira",spotlight,
DR3: Value-Based Deep Reinforcement Learning Requires Explicit Regularization,2022,ICLR,"Aviral Kumar, Rishabh Agarwal, Tengyu Ma, Aaron Courville, George Tucker, Sergey Levine",spotlight,reinforcement learning
MT3: Multi-Task Multitrack Music Transcription,2022,ICLR,"Joshua P Gardner, Ian Simon, Ethan Manilow, Curtis Hawthorne, Jesse Engel",spotlight,multi-task
Does your graph need a confidence boost? Convergent boosted smoothing on graphs with tabular node features,2022,ICLR,"Jiuhai Chen, Jonas Mueller, Vassilis N. Ioannidis, Soji Adeshina, Yangkun Wang, Tom Goldstein, David Wipf",spotlight,graph
Geometric and Physical Quantities improve E(3) Equivariant Message Passing,2022,ICLR,"Johannes Brandstetter, Rob Hesselink, Elise van der Pol, Erik J Bekkers, Max Welling",spotlight,metric
SphereFace2: Binary Classification is All You Need for Deep Face Recognition,2022,ICLR,"Yandong Wen, Weiyang Liu, Adrian Weller, Bhiksha Raj, Rita Singh",spotlight,
Boosting Randomized Smoothing with Variance Reduced Classifiers,2022,ICLR,"Miklós Z. Horváth, Mark Niklas Mueller, Marc Fischer, Martin Vechev",spotlight,
SOSP: Efficiently Capturing Global Correlations by Second-Order Structured Pruning,2022,ICLR,"Manuel Nonnenmacher, Thomas Pfeil, Ingo Steinwart, David Reeb",spotlight,
Relational Multi-Task Learning: Modeling Relations between Data and Tasks,2022,ICLR,"Kaidi Cao, Jiaxuan You, Jure Leskovec",spotlight,multi-task
CoBERL: Contrastive BERT for Reinforcement Learning,2022,ICLR,"Andrea Banino, Adria Puigdomenech Badia, Jacob C Walker, Tim Scholtes, Jovana Mitrovic, Charles Blundell",spotlight,reinforcement learning/transformer/contrastive learning
Optimal Transport for Causal Discovery,2022,ICLR,"Ruibo Tu, Kun Zhang, Hedvig Kjellstrom, Cheng Zhang",spotlight,
On Bridging Generic and Personalized Federated Learning for Image Classification,2022,ICLR,"Hong-You Chen, Wei-Lun Chao",spotlight,federated learning
Value Gradient weighted Model-Based Reinforcement Learning,2022,ICLR,"Claas A Voelcker, Victor Liao, Animesh Garg, Amir-massoud Farahmand",spotlight,reinforcement learning
Fairness in Representation for Multilingual NLP: Insights from Controlled Experiments on Conditional Language Modeling,2022,ICLR,Ada Wan,spotlight,representation
Reinforcement Learning with Sparse Rewards using Guidance from Offline Demonstration,2022,ICLR,"Desik Rengarajan, Gargi Vaidya, Akshay Sarvesh, Dileep Kalathil, Srinivas Shakkottai",spotlight,reinforcement learning/sparse
Linking Emergent and Natural Languages via Corpus Transfer,2022,ICLR,"Shunyu Yao, Mo Yu, Yang Zhang, Karthik R Narasimhan, Joshua B. Tenenbaum, Chuang Gan",spotlight,transfer learning
TAMP-S2GCNets: Coupling Time-Aware Multipersistence Knowledge Representation with Spatio-Supra Graph Convolutional Networks for Time-Series Forecasting,2022,ICLR,"Yuzhou Chen, Ignacio Segovia-Dominguez, Baris Coskunuzer, Yulia Gel",spotlight,graph/representation
The MultiBERTs: BERT Reproductions for Robustness Analysis,2022,ICLR,"Thibault Sellam, Steve Yadlowsky, Ian Tenney, Jason Wei, Naomi Saphra, Alexander D'Amour, Tal Linzen, Jasmijn Bastings, Iulia Raluca Turc, Jacob Eisenstein, Dipanjan Das, Ellie Pavlick",spotlight,transformer
Message Passing Neural PDE Solvers,2022,ICLR,"Johannes Brandstetter, Daniel E. Worrall, Max Welling",spotlight,
Multi-Stage Episodic Control for Strategic Exploration in Text Games,2022,ICLR,"Jens Tuyls, Shunyu Yao, Sham M. Kakade, Karthik R Narasimhan",spotlight,
Exploring the Limits of Large Scale Pre-training,2022,ICLR,"Samira Abnar, Mostafa Dehghani, Behnam Neyshabur, Hanie Sedghi",spotlight,
Universal Approximation Under Constraints is Possible with Transformers,2022,ICLR,"Anastasis Kratsios, Behnoosh Zamanlooy, Tianlin Liu, Ivan Dokmanić",spotlight,optimization/transformer
Scaling Laws for Neural Machine Translation,2022,ICLR,"Behrooz Ghorbani, Orhan Firat, Markus Freitag, Ankur Bapna, Maxim Krikun, Xavier Garcia, Ciprian Chelba, Colin Cherry",spotlight,transformer
"AdaRL: What, Where, and How to Adapt in Transfer Reinforcement Learning",2022,ICLR,"Biwei Huang, Fan Feng, Chaochao Lu, Sara Magliacane, Kun Zhang",spotlight,reinforcement learning/transfer learning
Independent SE(3)-Equivariant Models for End-to-End Rigid Protein Docking,2022,ICLR,"Octavian-Eugen Ganea, Xinyuan Huang, Charlotte Bunne, Yatao Bian, Regina Barzilay, Tommi S. Jaakkola, Andreas Krause",spotlight,
Towards a Unified View of Parameter-Efficient Transfer Learning,2022,ICLR,"Junxian He, Chunting Zhou, Xuezhe Ma, Taylor Berg-Kirkpatrick, Graham Neubig",spotlight,transfer learning
GNN-LM: Language Modeling based on Global Contexts via GNN,2022,ICLR,"Yuxian Meng, Shi Zong, Xiaoya Li, Xiaofei Sun, Tianwei Zhang, Fei Wu, Jiwei Li",spotlight,
Continual Learning with Filter Atom Swapping,2022,ICLR,"Zichen Miao, Ze Wang, Wei Chen, Qiang Qiu",spotlight,
Continual Learning with Recursive Gradient Optimization,2022,ICLR,"Hao Liu, Huaping Liu",spotlight,optimization
NODE-GAM: Neural Generalized Additive Model for Interpretable Deep Learning,2022,ICLR,"Chun-Hao Chang, Rich Caruana, Anna Goldenberg",spotlight,
Learnability of convolutional neural networks for infinite dimensional input via mixed and anisotropic smoothness,2022,ICLR,"Sho Okumoto, Taiji Suzuki",spotlight,
Improved deterministic l2 robustness on CIFAR-10 and CIFAR-100,2022,ICLR,"Sahil Singla, Surbhi Singla, Soheil Feizi",spotlight,
Transition to Linearity of Wide Neural Networks is an Emerging Property of Assembling Weak Models,2022,ICLR,"Chaoyue Liu, Libin Zhu, Misha Belkin",spotlight,zero_few-shot
Looking Back on Learned Experiences For Class/task Incremental Learning,2022,ICLR,"Mozhgan PourKeshavarzi, Guoying Zhao, Mohammad Sabokrou",spotlight,
EntQA: Entity Linking as Question Answering,2022,ICLR,"Wenzheng Zhang, Wenyue Hua, Karl Stratos",spotlight,
Escaping limit cycles: Global convergence for constrained nonconvex-nonconcave minimax problems,2022,ICLR,"Thomas Pethick, Puya Latafat, Panos Patrinos, Olivier Fercoq, Volkan Cevher",spotlight,optimization
Compositional Attention: Disentangling Search and Retrieval,2022,ICLR,"Sarthak Mittal, Sharath Chandra Raparthy, Irina Rish, Yoshua Bengio, Guillaume Lajoie",spotlight,transformer
Contrastive Fine-grained Class Clustering via Generative Adversarial Networks,2022,ICLR,"Yunji Kim, Jung-Woo Ha",spotlight,generative model/contrastive learning
Learning Multimodal VAEs through Mutual Supervision,2022,ICLR,"Tom Joy, Yuge Shi, Philip Torr, Tom Rainforth, Sebastian M Schmon, Siddharth N",spotlight,multimodal
When should agents explore?,2022,ICLR,"Miruna Pislar, David Szepesvari, Georg Ostrovski, Diana L Borsa, Tom Schaul",spotlight,reinforcement learning
Revisiting Design Choices in Offline Model Based Reinforcement Learning,2022,ICLR,"Cong Lu, Philip Ball, Jack Parker-Holder, Michael Osborne, Stephen J. Roberts",spotlight,reinforcement learning
NASPY: Automated Extraction of Automated Machine Learning Models,2022,ICLR,"Xiaoxuan Lou, Shangwei Guo, Jiwei Li, Yaoxin Wu, Tianwei Zhang",spotlight,
COptiDICE: Offline Constrained Reinforcement Learning via Stationary Distribution Correction Estimation,2022,ICLR,"Jongmin Lee, Cosmin Paduraru, Daniel J Mankowitz, Nicolas Heess, Doina Precup, Kee-Eung Kim, Arthur Guez",spotlight,reinforcement learning/optimization
Learning Vision-Guided Quadrupedal Locomotion End-to-End with Cross-Modal Transformers,2022,ICLR,"Ruihan Yang, Minghao Zhang, Nicklas Hansen, Huazhe Xu, Xiaolong Wang",spotlight,transformer
ViTGAN: Training GANs with Vision Transformers,2022,ICLR,"Kwonjoon Lee, Huiwen Chang, Lu Jiang, Han Zhang, Zhuowen Tu, Ce Liu",spotlight,transformer
POETREE: Interpretable Policy Learning with Adaptive Decision Trees,2022,ICLR,"Alizée Pace, Alex Chan, Mihaela van der Schaar",spotlight,adaptive
TRGP: Trust Region Gradient Projection for Continual Learning,2022,ICLR,"Sen Lin, Li Yang, Deliang Fan, Junshan Zhang",spotlight,
Properties from mechanisms: an equivariance perspective on identifiable representation learning,2022,ICLR,"Kartik Ahuja, Jason Hartford, Yoshua Bengio",spotlight,representation
Revisiting Over-smoothing in BERT from the Perspective of Graph,2022,ICLR,"Han Shi, JIAHUI GAO, Hang Xu, Xiaodan Liang, Zhenguo Li, Lingpeng Kong, Stephen M. S. Lee, James Kwok",spotlight,graph/transformer
Training invariances and the low-rank phenomenon: beyond linear networks,2022,ICLR,"Thien Le, Stefanie Jegelka",spotlight,zero_few-shot/low-rank
Learning Long-Term Reward Redistribution via Randomized Return Decomposition,2022,ICLR,"Zhizhou Ren, Ruihan Guo, Yuan Zhou, Jian Peng",spotlight,
What Happens after SGD Reaches Zero Loss? --A Mathematical Framework,2022,ICLR,"Zhiyuan Li, Tianhao Wang, Sanjeev Arora",spotlight,
Graph-Augmented Normalizing Flows for Anomaly Detection of Multiple Time Series,2022,ICLR,"Enyan Dai, Jie Chen",spotlight,graph/zero_few-shot/flow/augmentation
Autoregressive Quantile Flows for Predictive Uncertainty Estimation,2022,ICLR,"Phillip Si, Allan Bishop, Volodymyr Kuleshov",spotlight,zero_few-shot/flow
On the Importance of Firth Bias Reduction in Few-Shot Classification,2022,ICLR,"Saba Ghaffari, Ehsan Saleh, David Forsyth, Yu-Xiong Wang",spotlight,
Finite-Time Convergence and Sample Complexity of Multi-Agent Actor-Critic Reinforcement Learning with Average Reward,2022,ICLR,"FNU Hairi, Jia Liu, Songtao Lu",spotlight,reinforcement learning/multi-agent
Towards Understanding the Data Dependency of Mixup-style Training,2022,ICLR,"Muthu Chidambaram, Xiang Wang, Yuzheng Hu, Chenwei Wu, Rong Ge",spotlight,
Self-Supervision Enhanced Feature Selection with Correlated Gates,2022,ICLR,"Changhee Lee, Fergus Imrie, Mihaela van der Schaar",spotlight,
Score-Based Generative Modeling with Critically-Damped Langevin Diffusion,2022,ICLR,"Tim Dockhorn, Arash Vahdat, Karsten Kreis",spotlight,generative model
Controlling Directions Orthogonal to a Classifier,2022,ICLR,"Yilun Xu, Hao He, Tianxiao Shen, Tommi S. Jaakkola",spotlight,
R5: Rule Discovery with Reinforced and Recurrent Relational Reasoning,2022,ICLR,"Shengyao Lu, Bang Liu, Keith G Mills, SHANGLING JUI, Di Niu",spotlight,
Representation Learning for Online and Offline RL in Low-rank MDPs,2022,ICLR,"Masatoshi Uehara, Xuezhou Zhang, Wen Sun",spotlight,zero_few-shot/representation/online learning/low-rank
Lossless Compression with Probabilistic Circuits,2022,ICLR,"Anji Liu, Stephan Mandt, Guy Van den Broeck",spotlight,
Understanding Domain Randomization for Sim-to-real Transfer,2022,ICLR,"Xiaoyu Chen, Jiachen Hu, Chi Jin, Lihong Li, Liwei Wang",spotlight,transfer learning
$\mathrm{SO}(2)$-Equivariant Reinforcement Learning,2022,ICLR,"Dian Wang, Robin Walters, Robert Platt",spotlight,reinforcement learning
Scarf: Self-Supervised Contrastive Learning using Random Feature Corruption,2022,ICLR,"Dara Bahri, Heinrich Jiang, Yi Tay, Donald Metzler",spotlight,zero_few-shot/contrastive learning
Responsible Disclosure of Generative Models Using Scalable Fingerprinting,2022,ICLR,"Ning Yu, Vladislav Skripniuk, Dingfan Chen, Larry S. Davis, Mario Fritz",spotlight,generative model
Path Auxiliary Proposal for MCMC in Discrete Space,2022,ICLR,"Haoran Sun, Hanjun Dai, Wei Xia, Arun Ramamurthy",spotlight,
Possibility Before Utility: Learning And Using Hierarchical Affordances,2022,ICLR,"Robby Costales, Shariq Iqbal, Fei Sha",spotlight,
Interpretable Unsupervised Diversity Denoising and Artefact Removal,2022,ICLR,"Mangal Prakash, Mauricio Delbracio, Peyman Milanfar, Florian Jug",spotlight,
Half-Inverse Gradients for Physical Deep Learning,2022,ICLR,"Patrick Schnell, Philipp Holl, Nils Thuerey",spotlight,
EE-Net: Exploitation-Exploration Neural Networks in Contextual Bandits,2022,ICLR,"Yikun Ban, Yuchen Yan, Arindam Banerjee, Jingrui He",spotlight,
Spike-inspired rank coding for fast and accurate recurrent neural networks,2022,ICLR,"Alan Jeffares, Qinghai Guo, Pontus Stenetorp, Timoleon Moraitis",spotlight,
How to Robustify Black-Box ML Models? A Zeroth-Order Optimization Perspective,2022,ICLR,"Yimeng Zhang, Yuguang Yao, Jinghan Jia, Jinfeng Yi, Mingyi Hong, Shiyu Chang, Sijia Liu",spotlight,optimization
RelaxLoss: Defending Membership Inference Attacks without Losing Utility,2022,ICLR,"Dingfan Chen, Ning Yu, Mario Fritz",spotlight,inference
Analyzing and Improving the Optimization Landscape of Noise-Contrastive Estimation,2022,ICLR,"Bingbin Liu, Elan Rosenfeld, Pradeep Kumar Ravikumar, Andrej Risteski",spotlight,optimization/contrastive learning
Contact Points Discovery for Soft-Body Manipulations with Differentiable Physics,2022,ICLR,"Sizhe Li, Zhiao Huang, Tao Du, Hao Su, Joshua B. Tenenbaum, Chuang Gan",spotlight,
Leveraging Automated Unit Tests for Unsupervised Code Translation,2022,ICLR,"Baptiste Roziere, Jie Zhang, Francois Charton, Mark Harman, Gabriel Synnaeve, Guillaume Lample",spotlight,
Scalable Sampling for Nonsymmetric Determinantal Point Processes,2022,ICLR,"Insu Han, Mike Gartrell, Jennifer Gillenwater, Elvis Dohmatob, amin karbasi",spotlight,metric
Amortized Tree Generation for Bottom-up Synthesis Planning and Synthesizable Molecular Design,2022,ICLR,"Wenhao Gao, Rocío Mercado, Connor W. Coley",spotlight,generative model
Iterative Refinement Graph Neural Network for Antibody Sequence-Structure Co-design,2022,ICLR,"Wengong Jin, Jeremy Wohlwend, Regina Barzilay, Tommi S. Jaakkola",spotlight,graph
Churn Reduction via Distillation,2022,ICLR,"Heinrich Jiang, Harikrishna Narasimhan, Dara Bahri, Andrew Cotter, Afshin Rostamizadeh",spotlight,distillation
