Title,Year,Source,Authors,Class,topic
Federated Learning Based on Dynamic Regularization,2022,ICLR,"Durmus Alp Emre Acar, Yue Zhao, Ramon Matas, Matthew Mattina, Paul Whatmough, Venkatesh Saligrama",oral,federated learning
Rao-Blackwellizing the Straight-Through Gumbel-Softmax Gradient Estimator,2022,ICLR,"Max B Paulus, Chris J. Maddison, Andreas Krause",oral,
Coupled Oscillatory Recurrent Neural Network (coRNN): An accurate and (gradient) stable architecture for learning long time dependencies,2022,ICLR,"T. Konstantin Rusch, Siddhartha Mishra",oral,
DiffWave: A Versatile Diffusion Model for Audio Synthesis,2022,ICLR,"Zhifeng Kong, Wei Ping, Jiaji Huang, Kexin Zhao, Bryan Catanzaro",oral,
Learning Cross-Domain Correspondence for Control with Dynamics Cycle-Consistency,2022,ICLR,"Qiang Zhang, Tete Xiao, Alexei A Efros, Lerrel Pinto, Xiaolong Wang",oral,
Deformable DETR: Deformable Transformers for End-to-End Object Detection,2022,ICLR,"Xizhou Zhu, Weijie Su, Lewei Lu, Bin Li, Xiaogang Wang, Jifeng Dai",oral,transformer
Learning Generalizable Visual Representations via Interactive Gameplay,2022,ICLR,"Luca Weihs, Aniruddha Kembhavi, Kiana Ehsani, Sarah M Pratt, Winson Han, Alvaro Herrasti, Eric Kolve, Dustin Schwenk, Roozbeh Mottaghi, Ali Farhadi",oral,representation/active learning
Gradient Projection Memory for Continual Learning,2022,ICLR,"Gobinda Saha, Isha Garg, Kaushik Roy",oral,
Augmenting Physical Models with Deep Networks for Complex Dynamics Forecasting,2022,ICLR,"Yuan Yin, Vincent LE GUEN, Jérémie DONA, Emmanuel de Bezenac, Ibrahim Ayed, Nicolas THOME, patrick gallinari",oral,
Human-Level Performance in No-Press Diplomacy via Equilibrium Search,2022,ICLR,"Jonathan Gray, Adam Lerer, Anton Bakhtin, Noam Brown",oral,
How Neural Networks Extrapolate: From Feedforward to Graph Neural Networks,2022,ICLR,"Keyulu Xu, Mozhi Zhang, Jingling Li, Simon Shaolei Du, Ken-Ichi Kawarabayashi, Stefanie Jegelka",oral,graph
Rethinking Attention with Performers,2022,ICLR,"Krzysztof Marcin Choromanski, Valerii Likhosherstov, David Dohan, Xingyou Song, Andreea Gane, Tamas Sarlos, Peter Hawkins, Jared Quincy Davis, Afroz Mohiuddin, Lukasz Kaiser, David Benjamin Belanger, Lucy J Colwell, Adrian Weller",oral,transformer
What Matters for On-Policy Deep Actor-Critic Methods? A Large-Scale Study,2022,ICLR,"Marcin Andrychowicz, Anton Raichuk, Piotr Stańczyk, Manu Orsini, Sertan Girgin, Raphaël Marinier, Leonard Hussenot, Matthieu Geist, Olivier Pietquin, Marcin Michalski, Sylvain Gelly, Olivier Bachem",oral,
Neural Synthesis of Binaural Speech From Mono Audio,2022,ICLR,"Alexander Richard, Dejan Markovic, Israel D. Gebru, Steven Krenn, Gladstone Alexander Butler, Fernando Torre, Yaser Sheikh",oral,
Dataset Condensation with Gradient Matching,2022,ICLR,"Bo Zhao, Konda Reddy Mopuri, Hakan Bilen",oral,
Scalable Learning and MAP Inference for Nonsymmetric Determinantal Point Processes,2022,ICLR,"Mike Gartrell, Insu Han, Elvis Dohmatob, Jennifer Gillenwater, Victor-Emmanuel Brunel",oral,inference/metric
Geometry-aware Instance-reweighted Adversarial Training,2022,ICLR,"Jingfeng Zhang, Jianing Zhu, Gang Niu, Bo Han, Masashi Sugiyama, Mohan Kankanhalli",oral,
Free Lunch for Few-shot Learning: Distribution Calibration,2022,ICLR,"Shuo Yang, Lu Liu, Min Xu",oral,zero_few-shot
Towards Nonlinear Disentanglement in Natural Data with Temporal Sparse Coding,2022,ICLR,"David A. Klindt, Lukas Schott, Yash Sharma, Ivan Ustyuzhaninov, Wieland Brendel, Matthias Bethge, Dylan Paiton",oral,online learning/sparse
Do 2D GANs Know 3D Shape? Unsupervised 3D Shape Reconstruction from 2D Image GANs,2022,ICLR,"Xingang Pan, Bo Dai, Ziwei Liu, Chen Change Loy, Ping Luo",oral,
Practical Real Time Recurrent Learning with a Sparse Approximation,2022,ICLR,"Jacob Menick, Erich Elsen, Utku Evci, Simon Osindero, Karen Simonyan, Alex Graves",spotlight,sparse
Retrieval-Augmented Generation for Code Summarization via Hybrid GNN,2022,ICLR,"Shangqing Liu, Yu Chen, Xiaofei Xie, Jing Kai Siow, Yang Liu",spotlight,generative model/augmentation
Benefit of deep learning with non-convex noisy gradient descent: Provable excess risk bound and superiority to kernel methods,2022,ICLR,"Taiji Suzuki, Shunta Akiyama",spotlight,
Self-supervised Visual Reinforcement Learning with Object-centric Representations,2022,ICLR,"Andrii Zadaianchuk, Maximilian Seitzer, Georg Martius",spotlight,reinforcement learning/zero_few-shot/representation
Discovering a set of policies for the worst case reward,2022,ICLR,"Tom Zahavy, Andre Barreto, Daniel J Mankowitz, Shaobo Hou, Brendan O'Donoghue, Iurii Kemaev, Satinder Singh",spotlight,
Implicit Normalizing Flows,2022,ICLR,"Cheng Lu, Jianfei Chen, Chongxuan Li, Qiuhao Wang, Jun Zhu",spotlight,zero_few-shot/flow
Gauge Equivariant Mesh CNNs: Anisotropic convolutions on geometric graphs,2022,ICLR,"Pim De Haan, Maurice Weiler, Taco Cohen, Max Welling",spotlight,graph/metric
Generalization bounds via distillation,2022,ICLR,"Daniel Hsu, Ziwei Ji, Matus Telgarsky, Lan Wang",spotlight,distillation
Learning Mesh-Based Simulation with Graph Networks,2022,ICLR,"Tobias Pfaff, Meire Fortunato, Alvaro Sanchez-Gonzalez, Peter Battaglia",spotlight,graph
On Statistical Bias In Active Learning: How and When to Fix It,2022,ICLR,"Sebastian Farquhar, Yarin Gal, Tom Rainforth",spotlight,active learning
Winning the L2RPN Challenge: Power Grid Management via Semi-Markov Afterstate Actor-Critic,2022,ICLR,"Deunsol Yoon, Sunghoon Hong, Byung-Jun Lee, Kee-Eung Kim",spotlight,
Expressive Power of Invariant and Equivariant Graph Neural Networks,2022,ICLR,"Waiss Azizian, marc lelarge",spotlight,graph
MARS: Markov Molecular Sampling for Multi-objective Drug Discovery,2022,ICLR,"Yutong Xie, Chence Shi, Hao Zhou, Yuwei Yang, Weinan Zhang, Yong Yu, Lei Li",spotlight,
On Self-Supervised Image Representations for GAN Evaluation,2022,ICLR,"Stanislav Morozov, Andrey Voynov, Artem Babenko",spotlight,zero_few-shot/representation
Identifying nonlinear dynamical systems with multiple time scales and long-range dependencies,2022,ICLR,"Dominik Schmidt, Georgia Koppe, Zahra Monfared, Max Beutelspacher, Daniel Durstewitz",spotlight,online learning
Understanding the role of importance weighting for deep learning,2022,ICLR,"Da Xu, Yuting Ye, Chuanwei Ruan",spotlight,
RMSprop converges with proper hyper-parameter,2022,ICLR,"Naichen Shi, Dawei Li, Mingyi Hong, Ruoyu Sun",spotlight,
The Intrinsic Dimension of Images and Its Impact on Learning,2022,ICLR,"Phil Pope, Chen Zhu, Ahmed Abdelkader, Micah Goldblum, Tom Goldstein",spotlight,
Learning with Feature-Dependent Label Noise: A Progressive Approach,2022,ICLR,"Yikai Zhang, Songzhu Zheng, Pengxiang Wu, Mayank Goswami, Chao Chen",spotlight,
Disentangled Recurrent Wasserstein Autoencoder,2022,ICLR,"Jun Han, Martin Renqiang Min, Ligong Han, Li Erran Li, Xuan Zhang",spotlight,
Influence Estimation for Generative Adversarial Networks,2022,ICLR,"Naoyuki Terashita, Hiroki Ohashi, Yuichi Nonaka, Takashi Kanemaru",spotlight,generative model
Orthogonalizing Convolutional Layers with the Cayley Transform,2022,ICLR,"Asher Trockman, J Zico Kolter",spotlight,
Predicting Infectiousness for Proactive Contact Tracing,2022,ICLR,"Yoshua Bengio, Prateek Gupta, Tegan Maharaj, Nasim Rahaman, Martin Weiss, Tristan Deleu, Eilif Benjamin Muller, Meng Qu, victor schmidt, Pierre-luc St-charles, hannah alsdurf, Olexa Bilaniuk, david buckeridge, gaetan caron, pierre luc carrier, Joumana Ghosn, satya ortiz gagne, Christopher Pal, Irina Rish, Bernhard Schölkopf, abhinav sharma, Jian Tang, andrew williams",spotlight,active learning
Learning a Latent Simplex in Input Sparsity Time,2022,ICLR,"Ainesh Bakshi, Chiranjib Bhattacharyya, Ravi Kannan, David Woodruff, Samson Zhou",spotlight,
CPT: Efficient Deep Neural Network Training via Cyclic Precision,2022,ICLR,"Yonggan Fu, Han Guo, Meng Li, Xin Yang, Yining Ding, Vikas Chandra, Yingyan Lin",spotlight,
Watch-And-Help: A Challenge for Social Perception and Human-AI Collaboration,2022,ICLR,"Xavier Puig, Tianmin Shu, Shuang Li, Zilin Wang, Yuan-Hong Liao, Joshua B. Tenenbaum, Sanja Fidler, Antonio Torralba",spotlight,
Gradient Vaccine: Investigating and Improving Multi-task Optimization in Massively Multilingual Models,2022,ICLR,"Zirui Wang, Yulia Tsvetkov, Orhan Firat, Yuan Cao",spotlight,optimization/multi-task
PlasticineLab: A Soft-Body Manipulation Benchmark with Differentiable Physics,2022,ICLR,"Zhiao Huang, Yuanming Hu, Tao Du, Siyuan Zhou, Hao Su, Joshua B. Tenenbaum, Chuang Gan",spotlight,
Distributional Sliced-Wasserstein and Applications to Generative Modeling,2022,ICLR,"Khai Nguyen, Nhat Ho, Tung Pham, Hung Bui",spotlight,generative model
Systematic generalisation with group invariant predictions,2022,ICLR,"Faruk Ahmed, Yoshua Bengio, Harm van Seijen, Aaron Courville",spotlight,
Memory Optimization for Deep Networks,2022,ICLR,"Aashaka Shah, Chao-Yuan Wu, Jayashree Mohan, Vijay Chidambaram, Philipp Kraehenbuehl",spotlight,optimization
HW-NAS-Bench: Hardware-Aware Neural Architecture Search Benchmark,2022,ICLR,"Chaojian Li, Zhongzhi Yu, Yonggan Fu, Yongan Zhang, Yang Zhao, Haoran You, Qixuan Yu, Yue Wang, Cong Hao, Yingyan Lin",spotlight,
Regularized Inverse Reinforcement Learning,2022,ICLR,"Wonseok Jeon, Chen-Yang Su, Paul Barde, Thang Doan, Derek Nowrouzezahrai, Joelle Pineau",spotlight,reinforcement learning
What are the Statistical Limits of Offline RL with Linear Function Approximation?,2022,ICLR,"Ruosong Wang, Dean Foster, Sham M. Kakade",spotlight,
Behavioral Cloning from Noisy Demonstrations,2022,ICLR,"Fumihiro Sasaki, Ryota Yamashina",spotlight,
How Does Mixup Help With Robustness and Generalization?,2022,ICLR,"Linjun Zhang, Zhun Deng, Kenji Kawaguchi, Amirata Ghorbani, James Zou",spotlight,
Emergent Symbols through Binding in External Memory,2022,ICLR,"Taylor Whittington Webb, Ishan Sinha, Jonathan Cohen",spotlight,
Individually Fair Gradient Boosting,2022,ICLR,"Alexander Vargo, Fan Zhang, Mikhail Yurochkin, Yuekai Sun",spotlight,
Structured Prediction as Translation between Augmented Natural Languages,2022,ICLR,"Giovanni Paolini, Ben Athiwaratkun, Jason Krone, Jie Ma, Alessandro Achille, RISHITA ANUBHAI, Cicero Nogueira dos Santos, Bing Xiang, Stefano Soatto",spotlight,augmentation
Minimum Width for Universal Approximation,2022,ICLR,"Sejun Park, Chulhee Yun, Jaeho Lee, Jinwoo Shin",spotlight,
Topology-Aware Segmentation Using Discrete Morse Theory,2022,ICLR,"Xiaoling Hu, Yusu Wang, Li Fuxin, Dimitris Samaras, Chao Chen",spotlight,segmentation
Interpreting Graph Neural Networks for NLP With Differentiable Edge Masking,2022,ICLR,"Michael Sejr Schlichtkrull, Nicola De Cao, Ivan Titov",spotlight,graph
Regularization Matters in Policy Optimization - An Empirical Study on Continuous Control,2022,ICLR,"Zhuang Liu, Xuanlin Li, Bingyi Kang, Trevor Darrell",spotlight,optimization
Recurrent Independent Mechanisms,2022,ICLR,"Anirudh Goyal, Alex Lamb, Jordan Hoffmann, Shagun Sodhani, Sergey Levine, Yoshua Bengio, Bernhard Schölkopf",spotlight,
Dataset Inference: Ownership Resolution in Machine Learning,2022,ICLR,"Pratyush Maini, Mohammad Yaghini, Nicolas Papernot",spotlight,inference
Learning from Protein Structure with Geometric Vector Perceptrons,2022,ICLR,"Bowen Jing, Stephan Eismann, Patricia Suriana, Raphael John Lamarre Townshend, Ron Dror",spotlight,metric
Unsupervised Object Keypoint Learning using Local Spatial Predictability,2022,ICLR,"Anand Gopalakrishnan, Sjoerd van Steenkiste, Jürgen Schmidhuber",spotlight,
Fast Geometric Projections for Local Robustness Certification,2022,ICLR,"Aymeric Fromherz, Klas Leino, Matt Fredrikson, Bryan Parno, Corina Pasareanu",spotlight,metric
Random Feature Attention,2022,ICLR,"Hao Peng, Nikolaos Pappas, Dani Yogatama, Roy Schwartz, Noah Smith, Lingpeng Kong",spotlight,transformer
Sharpness-aware Minimization for Efficiently Improving Generalization,2022,ICLR,"Pierre Foret, Ariel Kleiner, Hossein Mobahi, Behnam Neyshabur",spotlight,
PMI-Masking: Principled masking of correlated spans,2022,ICLR,"Yoav Levine, Barak Lenz, Opher Lieber, Omri Abend, Kevin Leyton-Brown, Moshe Tennenholtz, Yoav Shoham",spotlight,
"Learning Incompressible Fluid Dynamics from Scratch - Towards Fast, Differentiable Fluid Models that Generalize",2022,ICLR,"Nils Wandel, Michael Weinmann, Reinhard Klein",spotlight,
A Gradient Flow Framework For Analyzing Network Pruning,2022,ICLR,"Ekdeep Singh Lubana, Robert Dick",spotlight,zero_few-shot/flow
Towards Robustness Against Natural Language Word Substitutions,2022,ICLR,"Xinshuai Dong, Anh Tuan Luu, Rongrong Ji, Hong Liu",spotlight,
Iterative Empirical Game Solving via Single Policy Best Response,2022,ICLR,"Max Smith, Thomas Anthony, Michael Wellman",spotlight,
Self-Supervised Policy Adaptation during Deployment,2022,ICLR,"Nicklas Hansen, Rishabh Jangir, Yu Sun, Guillem Alenyà, Pieter Abbeel, Alexei A Efros, Lerrel Pinto, Xiaolong Wang",spotlight,zero_few-shot
Differentially Private Learning Needs Better Features (or Much More Data),2022,ICLR,"Florian Tramer, Dan Boneh",spotlight,
Data-Efficient Reinforcement Learning with Self-Predictive Representations,2022,ICLR,"Max Schwarzer, Ankesh Anand, Rishab Goel, R Devon Hjelm, Aaron Courville, Philip Bachman",spotlight,reinforcement learning/representation
Meta-GMVAE: Mixture of Gaussian VAE for Unsupervised Meta-Learning,2022,ICLR,"Dong Bok Lee, Dongchan Min, Seanie Lee, Sung Ju Hwang",spotlight,meta-learning
Implicit Convex Regularizers of CNN Architectures: Convex Optimization of Two- and Three-Layer Networks in Polynomial Time,2022,ICLR,"Tolga Ergen, Mert Pilanci",spotlight,optimization
Image Augmentation Is All You Need: Regularizing Deep Reinforcement Learning from Pixels,2022,ICLR,"Denis Yarats, Ilya Kostrikov, Rob Fergus",spotlight,reinforcement learning/augmentation
Dynamic Tensor Rematerialization,2022,ICLR,"Marisa Kirisame, Steven Lyubomirsky, Altan Haan, Jennifer Brennan, Mike He, Jared Roesch, Tianqi Chen, Zachary Tatlock",spotlight,
Deep Neural Network Fingerprinting by Conferrable Adversarial Examples,2022,ICLR,"Nils Lukas, Yuxuan Zhang, Florian Kerschbaum",spotlight,
Model-Based Visual Planning with Self-Supervised Functional Distances,2022,ICLR,"Stephen Tian, Suraj Nair, Frederik Ebert, Sudeep Dasari, Benjamin Eysenbach, Chelsea Finn, Sergey Levine",spotlight,zero_few-shot
Mathematical Reasoning via Self-supervised Skip-tree Training,2022,ICLR,"Markus Norman Rabe, Dennis Lee, Kshitij Bansal, Christian Szegedy",spotlight,zero_few-shot
DeepAveragers: Offline Reinforcement Learning By Solving Derived Non-Parametric MDPs,2022,ICLR,"Aayam Kumar Shrestha, Stefan Lee, Prasad Tadepalli, Alan Fern",spotlight,reinforcement learning/metric
On the Theory of Implicit Deep Learning: Global Convergence with Implicit Layers,2022,ICLR,Kenji Kawaguchi,spotlight,
BUSTLE: Bottom-Up Program Synthesis Through Learning-Guided Exploration,2022,ICLR,"Augustus Odena, Kensen Shi, David Bieber, Rishabh Singh, Charles Sutton, Hanjun Dai",spotlight,
The Traveling Observer Model: Multi-task Learning Through Spatial Variable Embeddings,2022,ICLR,"Elliot Meyerson, Risto Miikkulainen",spotlight,multi-task
Fidelity-based Deep Adiabatic Scheduling,2022,ICLR,"Eli Ovits, Lior Wolf",spotlight,
Deciphering and Optimizing Multi-Task Learning: a Random Matrix Approach,2022,ICLR,"Malik Tiomoko, Hafiz Tiomoko Ali, Romain Couillet",spotlight,multi-task
Learning-based Support Estimation in Sublinear Time,2022,ICLR,"Talya Eden, Piotr Indyk, Shyam Narayanan, Ronitt Rubinfeld, Sandeep Silwal, Tal Wagner",spotlight,
Unlearnable Examples: Making Personal Data Unexploitable,2022,ICLR,"Hanxun Huang, Xingjun Ma, Sarah Monazam Erfani, James Bailey, Yisen Wang",spotlight,
How Benign is Benign Overfitting ?,2022,ICLR,"Amartya Sanyal, Puneet K. Dokania, Varun Kanade, Philip Torr",spotlight,
Autoregressive Entity Retrieval,2022,ICLR,"Nicola De Cao, Gautier Izacard, Sebastian Riedel, Fabio Petroni",spotlight,
Neural Approximate Sufficient Statistics for Implicit Models,2022,ICLR,"Yanzhi Chen, Dinghuai Zhang, Michael U. Gutmann, Aaron Courville, Zhanxing Zhu",spotlight,
Large Scale Image Completion via Co-Modulated Generative Adversarial Networks,2022,ICLR,"Shengyu Zhao, Jonathan Cui, Yilun Sheng, Yue Dong, Xiao Liang, Eric I-Chao Chang, Yan Xu",spotlight,generative model
DDPNOpt: Differential Dynamic Programming Neural Optimizer,2022,ICLR,"Guan-Horng Liu, Tianrong Chen, Evangelos Theodorou",spotlight,
Geometry-Aware Gradient Algorithms for Neural Architecture Search,2022,ICLR,"Liam Li, Mikhail Khodak, Nina Balcan, Ameet Talwalkar",spotlight,
Beyond Fully-Connected Layers with Quaternions: Parameterization of Hypercomplex Multiplications with  Parameters,2022,ICLR,"Aston Zhang, Yi Tay, SHUAI Zhang, Alvin Chan, Anh Tuan Luu, Siu Hui, Jie Fu",spotlight,
Tent: Fully Test-Time Adaptation by Entropy Minimization,2022,ICLR,"Dequan Wang, Evan Shelhamer, Shaoteng Liu, Bruno Olshausen, Trevor Darrell",spotlight,
Neural Topic Model via Optimal Transport,2022,ICLR,"He Zhao, Dinh Phung, Viet Huynh, Trung Le, Wray Buntine",spotlight,
"A Panda? No, It's a Sloth: Slowdown Attacks on Adaptive Multi-Exit Neural Network Inference",2022,ICLR,"Sanghyun Hong, Yigitcan Kaya, Ionuț-Vlad Modoranu, Tudor Dumitras",spotlight,zero_few-shot/adaptive/inference
Are Neural Rankers still Outperformed by Gradient Boosted Decision Trees?,2022,ICLR,"Zhen Qin, Le Yan, Honglei Zhuang, Yi Tay, Rama Kumar Pasumarthi, Xuanhui Wang, Michael Bendersky, Marc Najork",spotlight,
Contrastive Behavioral Similarity Embeddings for Generalization in Reinforcement Learning,2022,ICLR,"Rishabh Agarwal, Marlos C. Machado, Pablo Samuel Castro, Marc G Bellemare",spotlight,reinforcement learning/contrastive learning
Very Deep VAEs Generalize Autoregressive Models and Can Outperform Them on Images,2022,ICLR,Rewon Child,spotlight,
Async-RED: A Provably Convergent Asynchronous Block Parallel Stochastic Method using Deep Denoising Priors,2022,ICLR,"Yu Sun, Jiaming Liu, Yiran Sun, Brendt Wohlberg, Ulugbek Kamilov",spotlight,
A Good Image Generator Is What You Need for High-Resolution Video Synthesis,2022,ICLR,"Yu Tian, Jian Ren, Menglei Chai, Kyle Olszewski, Xi Peng, Dimitris N. Metaxas, Sergey Tulyakov",spotlight,
Undistillable: Making A Nasty Teacher That CANNOT teach students,2022,ICLR,"Haoyu Ma, Tianlong Chen, Ting-Kuei Hu, Chenyu You, Xiaohui Xie, Zhangyang Wang",spotlight,distillation
Support-set bottlenecks for video-text representation learning,2022,ICLR,"Mandela Patrick, Po-Yao Huang, Yuki Asano, Florian Metze, Alexander G Hauptmann, Joao F. Henriques, Andrea Vedaldi",spotlight,representation
Grounded Language Learning Fast and Slow,2022,ICLR,"Felix Hill, Olivier Tieleman, Tamara von Glehn, Nathaniel Wong, Hamza Merzic, Stephen Clark",spotlight,zero_few-shot
"GAN ""Steerability"" without optimization",2022,ICLR,"Nurit Spingarn, Ron Banner, Tomer Michaeli",spotlight,optimization
Noise against noise: stochastic label noise helps combat inherent label noise,2022,ICLR,"Pengfei Chen, Guangyong Chen, Junjie Ye, jingwei zhao, Pheng-Ann Heng",spotlight,
VAEBM: A Symbiosis between Variational Autoencoders and Energy-based Models,2022,ICLR,"Zhisheng Xiao, Karsten Kreis, Jan Kautz, Arash Vahdat",spotlight,
Graph-Based Continual Learning,2022,ICLR,"Binh Tang, David S. Matteson",spotlight,graph
Sparse Quantized Spectral Clustering,2022,ICLR,"Zhenyu Liao, Romain Couillet, Michael W. Mahoney",spotlight,sparse
LambdaNetworks: Modeling long-range Interactions without Attention,2022,ICLR,Irwan Bello,spotlight,transformer
Contrastive Divergence Learning is a Time Reversal Adversarial Game,2022,ICLR,"Omer Yair, Tomer Michaeli",spotlight,contrastive learning
Quantifying Differences in Reward Functions,2022,ICLR,"Adam Gleave, Michael D Dennis, Shane Legg, Stuart Russell, Jan Leike",spotlight,
Long-tail learning via logit adjustment,2022,ICLR,"Aditya Krishna Menon, Sadeep Jayasumana, Ankit Singh Rawat, Himanshu Jain, Andreas Veit, Sanjiv Kumar",spotlight,
Locally Free Weight Sharing for Network Width Search,2022,ICLR,"Xiu Su, Shan You, Tao Huang, Fei Wang, Chen Qian, Changshui Zhang, Chang Xu",spotlight,
Mutual Information State Intrinsic Control,2022,ICLR,"Rui Zhao, Yang Gao, Pieter Abbeel, Volker Tresp, Wei Xu",spotlight,
Multivariate Probabilistic Time Series Forecasting via Conditioned Normalizing Flows,2022,ICLR,"Kashif Rasul, Abdul-Saboor Sheikh, Ingmar Schuster, Urs M Bergmann, Roland Vollgraf",spotlight,zero_few-shot/flow
Information Laundering for Model Privacy,2022,ICLR,"Xinran Wang, Yu Xiang, Jun Gao, Jie Ding",spotlight,
UPDeT: Universal Multi-agent RL via Policy Decoupling with Transformers,2022,ICLR,"Siyi Hu, Fengda Zhu, Xiaojun Chang, Xiaodan Liang",spotlight,reinforcement learning/transformer/multi-agent
